method_key,method,feature_contract,layer_subset,structured,macro_auroc,macro_auroc_ci_low,macro_auroc_ci_high,macro_auprc,macro_auprc_ci_low,macro_auprc_ci_high
final_layer_nll__resid-core-L__all__flat,final_layer_nll,resid-core-L,all,flat,0.7297783951728509,0.7188947424732189,0.7396338270893231,0.5892256809639554,0.5746358909370622,0.6068440959048194
equal_mean__resid-core-L__all__flat,equal_mean,resid-core-L,all,flat,0.5961990153110387,0.5835556404973196,0.608895141461398,0.4563318327774422,0.44506269727818987,0.4732196717180307
pc1__resid-core-L__all__flat,pc1,resid-core-L,all,flat,0.6402914019645845,0.6278468869655123,0.6524508846868778,0.49751600623109893,0.48439238925157496,0.5154427625442125
token_length__resid-core-L__all__flat,token_length,resid-core-L,all,flat,0.6444252157881472,0.6321017642325886,0.6554532751338897,0.5183383526755259,0.5049891777077486,0.5352952170026871
upcr__resid-core-L__all__flat,upcr,resid-core-L,all,flat,0.619566226059126,0.6067747159106291,0.6318018902885577,0.4766916934774209,0.4647641765716354,0.4941928897053585
iu_pcr__resid-core-L__all__flat,iu_pcr,resid-core-L,all,flat,0.6205976639086904,0.6081216719091352,0.6329034706022755,0.48121638492337776,0.4685170020928642,0.4990120697678471
dufs_liu_pcr__resid-core-L__all__flat,dufs_liu_pcr,resid-core-L,all,flat,0.618065861609754,0.6055878467673591,0.6302132781747114,0.47854658249382703,0.465866856228086,0.49601699743960187
upcr__resid-core-8__spaced8__flat,upcr,resid-core-8,spaced8,flat,0.621606975042009,0.608986229131089,0.6339227501025612,0.4772345433603527,0.4653482094940318,0.49418423081480056
iu_pcr__resid-core-8__spaced8__flat,iu_pcr,resid-core-8,spaced8,flat,0.635115750354643,0.6227960893235956,0.6473815497338912,0.49635314519690044,0.4829948341969538,0.5143092988224662
dufs_liu_pcr__resid-core-8__spaced8__flat,dufs_liu_pcr,resid-core-8,spaced8,flat,0.635038492167288,0.6226102574982159,0.6473640470000908,0.4963397503550625,0.4830062574368489,0.5142834334120931
upcr__resid-core-8__late8__flat,upcr,resid-core-8,late8,flat,0.5941082171599228,0.5814405380049663,0.606390927098908,0.4571889762188881,0.44721133033430605,0.47318481330708767
iu_pcr__resid-core-8__late8__flat,iu_pcr,resid-core-8,late8,flat,0.6386591940490232,0.6265982739167981,0.6507314899226223,0.49684331193994813,0.48592983084522945,0.5141509107865945
dufs_liu_pcr__resid-core-8__late8__flat,dufs_liu_pcr,resid-core-8,late8,flat,0.6379194260689438,0.6258166429531838,0.6499967215123975,0.49637767943403455,0.4855256040962082,0.5136653753204257
su_pcr__resid-core-L__all__dependency,su_pcr,resid-core-L,all,dependency,0.6167176456676784,0.6039985581711159,0.6291858507247886,0.47654226945302397,0.4634978577278642,0.4940895809729315
lsml_continuous__resid-core-L__all__dependency,lsml_continuous,resid-core-L,all,dependency,0.6387850038430112,0.6260056837514538,0.6510814998901322,0.49642380492529353,0.48313785127703524,0.5143954271603941
