contrast,lhs,rhs,metric,delta,ci_low,ci_high,wins,ties,losses,worst_cell_delta,p_raw,p_holm,primary,per_cell_deltas_json
dufs_all_depth_minus_spilled_energy_min_proxy,dufs_liu_pcr__resid-core-L__all__flat,spilled_energy_eq8_min_proxy__raw-output__full-answer__flat,auroc,0.03312400489001942,0.016243449521932653,0.049003983960972705,6,0,7,-0.16423902894491138,1.0,1.0,False,"{""gsm8k_mistral24b_t1.0"": 0.09739176586549392, ""gsm8k_mistral7b_t1.0"": -0.10051704516183413, ""gsm8k_nemo_t1.0"": -0.06250973512268321, ""gsm8k_phi35_t1.0"": 0.0844815475225591, ""gsm8k_phi3mini_t1.0"": -0.10319836276300653, ""gsm8k_r1distill_t0.0"": -0.06208791208791209, ""gsm8k_t1.0"": -0.04829100354580684, ""nq_open_t0.5"": 0.04385164594922608, ""sciq_t1.0"": 0.4096281669772227, ""squadv2_t0.5"": 0.3231644726375199, ""triviaqa_qwen3_t0.6"": -0.0136617124614975, ""triviaqa_t1.0"": 0.026599264705882364, ""truthfulqa_t0.5"": -0.16423902894491138}"
dufs_all_depth_minus_spilled_energy_min_proxy,dufs_liu_pcr__resid-core-L__all__flat,spilled_energy_eq8_min_proxy__raw-output__full-answer__flat,auprc,0.04972036935528719,0.03405020795172705,0.06421764796943961,8,0,5,-0.06264821305160795,0.541748046875,1.0,False,"{""gsm8k_mistral24b_t1.0"": 0.14962963694094797, ""gsm8k_mistral7b_t1.0"": -0.06264821305160795, ""gsm8k_nemo_t1.0"": 0.008138669625131156, ""gsm8k_phi35_t1.0"": 0.047400240557970735, ""gsm8k_phi3mini_t1.0"": -0.06238181473809712, ""gsm8k_r1distill_t0.0"": -0.01748522778938011, ""gsm8k_t1.0"": 0.03000701792602839, ""nq_open_t0.5"": 0.03803608028038341, ""sciq_t1.0"": 0.2538581492531675, ""squadv2_t0.5"": 0.33998195504909473, ""triviaqa_qwen3_t0.6"": -0.04187934895710499, ""triviaqa_t1.0"": 0.01323399841563111, ""truthfulqa_t0.5"": -0.0495263418934313}"
upcr_spaced8_minus_all_depth,upcr__resid-core-8__spaced8__flat,upcr__resid-core-L__all__flat,auroc,0.0020407489828828587,-0.0008467444289638894,0.004875751360766878,7,2,4,-0.01372355751004617,0.541748046875,1.0,False,"{""gsm8k_mistral24b_t1.0"": -0.01372355751004617, ""gsm8k_mistral7b_t1.0"": -0.010160593103254456, ""gsm8k_nemo_t1.0"": -0.010870545412810295, ""gsm8k_phi35_t1.0"": 0.01798868896453598, ""gsm8k_phi3mini_t1.0"": 0.017829758924745698, ""gsm8k_r1distill_t0.0"": -0.006857956857956982, ""gsm8k_t1.0"": -0.000968912344355588, ""nq_open_t0.5"": 0.003492246844803759, ""sciq_t1.0"": 0.00044497594348802405, ""squadv2_t0.5"": 0.006211566136073987, ""triviaqa_qwen3_t0.6"": 0.007242866477473298, ""triviaqa_t1.0"": 0.012757352941176414, ""truthfulqa_t0.5"": 0.003143845773603493}"
upcr_spaced8_minus_all_depth,upcr__resid-core-8__spaced8__flat,upcr__resid-core-L__all__flat,auprc,0.0005428498829316372,-0.0030258156402807076,0.004064346239282292,7,1,5,-0.029664682990212576,0.635498046875,1.0,False,"{""gsm8k_mistral24b_t1.0"": -0.02195465352479803, ""gsm8k_mistral7b_t1.0"": -0.008872133494633783, ""gsm8k_nemo_t1.0"": -0.007064661746038703, ""gsm8k_phi35_t1.0"": 0.01020413611498383, ""gsm8k_phi3mini_t1.0"": 0.009148435439748026, ""gsm8k_r1distill_t0.0"": 0.003567951904034805, ""gsm8k_t1.0"": -0.029664682990212576, ""nq_open_t0.5"": -0.0002097859165707261, ""sciq_t1.0"": 0.01856937772228756, ""squadv2_t0.5"": 0.015752225466345693, ""triviaqa_qwen3_t0.6"": 0.00853275819192889, ""triviaqa_t1.0"": 0.011144831713483683, ""truthfulqa_t0.5"": -0.0020967504024473893}"
upcr_late8_minus_all_depth,upcr__resid-core-8__late8__flat,upcr__resid-core-L__all__flat,auroc,-0.025458008899203265,-0.0401018720273063,-0.009956654720963921,3,0,10,-0.16932700938813633,0.305419921875,1.0,False,"{""gsm8k_mistral24b_t1.0"": -0.10550458715596323, ""gsm8k_mistral7b_t1.0"": 0.07217791224282388, ""gsm8k_nemo_t1.0"": -0.09607643813380778, ""gsm8k_phi35_t1.0"": 0.16070946128491925, ""gsm8k_phi3mini_t1.0"": 0.19364950499515143, ""gsm8k_r1distill_t0.0"": -0.10750915750915757, ""gsm8k_t1.0"": -0.0017110579698194073, ""nq_open_t0.5"": -0.14333568093793464, ""sciq_t1.0"": -0.03257594719618806, ""squadv2_t0.5"": -0.00926958661045929, ""triviaqa_qwen3_t0.6"": -0.16932700938813633, ""triviaqa_t1.0"": -0.045680147058823506, ""truthfulqa_t0.5"": -0.04650138225224726}"
upcr_late8_minus_all_depth,upcr__resid-core-8__late8__flat,upcr__resid-core-L__all__flat,auprc,-0.019502717258532882,-0.03376853066151771,-0.004638348185185757,4,0,9,-0.12408389665089697,0.339599609375,1.0,False,"{""gsm8k_mistral24b_t1.0"": -0.11315928830808852, ""gsm8k_mistral7b_t1.0"": 0.047588030490708366, ""gsm8k_nemo_t1.0"": -0.07187801329544827, ""gsm8k_phi35_t1.0"": 0.15898068353696412, ""gsm8k_phi3mini_t1.0"": 0.1768121116106099, ""gsm8k_r1distill_t0.0"": -0.07892112298519632, ""gsm8k_t1.0"": -0.061355985200466645, ""nq_open_t0.5"": -0.12408389665089697, ""sciq_t1.0"": -0.06103981912845324, ""squadv2_t0.5"": 0.016573793493840583, ""triviaqa_qwen3_t0.6"": -0.10993736950331667, ""triviaqa_t1.0"": -0.012153302794255527, ""truthfulqa_t0.5"": -0.0209611456269283}"
upcr_hierarchical_minus_flat,upcr__resid-core-L__all__hierarchical-bands,upcr__resid-core-L__all__flat,auroc,0.02125800904244398,0.015479888620387593,0.027120190543492555,8,0,5,-0.03356787273688011,0.414306640625,1.0,False,"{""gsm8k_mistral24b_t1.0"": 0.009636818560922022, ""gsm8k_mistral7b_t1.0"": 0.024386360123828665, ""gsm8k_nemo_t1.0"": 0.006537903443978865, ""gsm8k_phi35_t1.0"": 0.12013472379820256, ""gsm8k_phi3mini_t1.0"": 0.14155560065850303, ""gsm8k_r1distill_t0.0"": -0.01306471306471313, ""gsm8k_t1.0"": 0.04659025315411891, ""nq_open_t0.5"": 0.016124191603415494, ""sciq_t1.0"": -0.03356787273688011, ""squadv2_t0.5"": -0.014034957528144765, ""triviaqa_qwen3_t0.6"": 0.006451653170110538, ""triviaqa_t1.0"": -0.02334558823529409, ""truthfulqa_t0.5"": -0.011050255396276243}"
upcr_hierarchical_minus_flat,upcr__resid-core-L__all__hierarchical-bands,upcr__resid-core-L__all__flat,auprc,0.02103974790240615,0.014113606850402865,0.028233375194069932,9,0,4,-0.044605724872808394,0.243896484375,1.0,False,"{""gsm8k_mistral24b_t1.0"": 0.028732967804037557, ""gsm8k_mistral7b_t1.0"": 0.02656941238792132, ""gsm8k_nemo_t1.0"": 0.0027341489277468434, ""gsm8k_phi35_t1.0"": 0.13156389093446016, ""gsm8k_phi3mini_t1.0"": 0.11787161000991825, ""gsm8k_r1distill_t0.0"": -0.004590996744281983, ""gsm8k_t1.0"": 0.04844214983405176, ""nq_open_t0.5"": 0.0014609582373558139, ""sciq_t1.0"": -0.044605724872808394, ""squadv2_t0.5"": -0.02386134670889095, ""triviaqa_qwen3_t0.6"": 0.0027130906756824835, ""triviaqa_t1.0"": -0.01610591125321792, ""truthfulqa_t0.5"": 0.002592473499305026}"
upcr_lens96_hierarchical_minus_flat,upcr__lens-96__spaced8__hierarchical-module-metric,upcr__lens-96__spaced8__flat,auroc,-0.002918964249810474,-0.01005913807845353,0.004373386710175414,6,0,7,-0.06976268102206362,0.635498046875,1.0,False,"{""gsm8k_mistral24b_t1.0"": -0.06976268102206362, ""gsm8k_mistral7b_t1.0"": -0.010275335915436945, ""gsm8k_nemo_t1.0"": -0.06278026905829592, ""gsm8k_phi35_t1.0"": 0.024202553988580955, ""gsm8k_phi3mini_t1.0"": 0.06013632365875099, ""gsm8k_r1distill_t0.0"": -0.03091168091168106, ""gsm8k_t1.0"": 0.013296775789560455, ""nq_open_t0.5"": -0.06515216769824872, ""sciq_t1.0"": -0.044553216341741586, ""squadv2_t0.5"": 0.0034830049552068143, ""triviaqa_qwen3_t0.6"": 0.05833757826314284, ""triviaqa_t1.0"": 0.12279411764705872, ""truthfulqa_t0.5"": -0.03676153860236908}"
upcr_lens96_hierarchical_minus_flat,upcr__lens-96__spaced8__hierarchical-module-metric,upcr__lens-96__spaced8__flat,auprc,-0.012615878183857065,-0.02187141178980137,-0.0019560026558280495,5,0,8,-0.12674407556441003,0.587890625,1.0,False,"{""gsm8k_mistral24b_t1.0"": -0.12674407556441003, ""gsm8k_mistral7b_t1.0"": -0.011879469565610146, ""gsm8k_nemo_t1.0"": -0.04220330103954151, ""gsm8k_phi35_t1.0"": 0.04162299474410436, ""gsm8k_phi3mini_t1.0"": 0.07486847949788206, ""gsm8k_r1distill_t0.0"": -0.05171851539493194, ""gsm8k_t1.0"": 0.011875132015428003, ""nq_open_t0.5"": -0.06891185159951418, ""sciq_t1.0"": -0.09210001704284776, ""squadv2_t0.5"": -0.03541792905244456, ""triviaqa_qwen3_t0.6"": 0.07510176504879357, ""triviaqa_t1.0"": 0.07132742310253382, ""truthfulqa_t0.5"": -0.00982705153958352}"
upcr_length_residualized_minus_raw,upcr__resid-core-L-length-residualized__all__flat,upcr__resid-core-L__all__flat,auroc,-0.04250873301396189,-0.04895220969709106,-0.035795717665709964,4,0,9,-0.2149816176470587,0.09423828125,1.0,False,"{""gsm8k_mistral24b_t1.0"": 0.025521267723102592, ""gsm8k_mistral7b_t1.0"": -0.013265674102313052, ""gsm8k_nemo_t1.0"": 0.03517351062870444, ""gsm8k_phi35_t1.0"": -0.005952702581005331, ""gsm8k_phi3mini_t1.0"": 0.02199896263220802, ""gsm8k_r1distill_t0.0"": 0.052787952787952785, ""gsm8k_t1.0"": -0.04988867815618048, ""nq_open_t0.5"": -0.035340309267006154, ""sciq_t1.0"": -0.1409183191033735, ""squadv2_t0.5"": -0.13322463591649047, ""triviaqa_qwen3_t0.6"": -0.05314140009227619, ""triviaqa_t1.0"": -0.2149816176470587, ""truthfulqa_t0.5"": -0.041381886087768494}"
