method,n_cells,macro_auroc,macro_auprc,label_use,aggregation
balanced_lr_resid_core,13,0.7759244397296954,0.6519491214309782,supervised,mean_of_five_grouped_fold_metrics_within_cell_then_equal_cell_macro
trilens_l2_logistic_probe,13,0.7689325299729851,0.6455426487561878,supervised,mean_of_five_grouped_fold_metrics_within_cell_then_equal_cell_macro
dola_kl_logistic_probe,13,0.7678391095586053,0.6368137178711387,supervised,mean_of_five_grouped_fold_metrics_within_cell_then_equal_cell_macro
best_single_layer_oracle,13,0.7559620530083783,,evaluation_only,evaluation_selected_within_cell_then_equal_cell_macro
