threshold_pp,held_out,n_dropped,dropped,auroc_full,auroc_pruned,delta
0.0,ars_gsm8k_r1distill8b,8,cusum_shift_idx|high_band_power|hl_ratio|mean_top1_logprob|spectral_centroid|stft_max_high_power|stft_spectral_entropy|sw_var_peak_energy,0.7384857789269554,0.7241839043309631,-0.014301874595992303
0.0,epr_triviaqa_mistral24b,5,cusum_shift_idx|epr_spilled|high_band_power|mean_top1_logprob|sw_var_peak_energy,0.7457496352822355,0.7454550555493211,-0.00029457973291435735
0.0,inside_coqa_llama7b,6,cusum_shift_idx|epr_spilled|high_band_power|mean_top1_logprob|stft_max_high_power|sw_var_peak_energy,0.5354980962521094,0.5257033487405068,-0.009794747511602586
0.0,internalstates_gsm8k_qwen25_7b,7,cusum_shift_idx|high_band_power|hl_ratio|logprob_margin|mean_top1_logprob|stft_spectral_entropy|sw_var_peak_energy,0.708176755121312,0.7120695303617197,0.0038927752404077642
0.0,lapeigvals_gsm8k_llama3b,7,cusum_shift_idx|epr_spilled|high_band_power|logprob_margin|mean_top1_logprob|stft_spectral_entropy|sw_var_peak_energy,0.699160313160369,0.6906703530966943,-0.00848996006367464
0.0,lapeigvals_gsm8k_llama8b,6,cusum_shift_idx|high_band_power|hl_ratio|mean_top1_logprob|spectral_centroid|sw_var_peak_energy,0.8108335335094884,0.8096725118103932,-0.001161021699095155
0.0,lapeigvals_gsm8k_mistral24b,9,cusum_shift_idx|dominant_freq|epr_spilled|high_band_power|hl_ratio|logprob_margin|mean_top1_logprob|stft_spectral_entropy|sw_var_peak_energy,0.8486086890590644,0.8382591553567367,-0.010349533702327718
0.0,lapeigvals_gsm8k_nemo,6,cusum_shift_idx|high_band_power|logprob_margin|mean_top1_logprob|stft_spectral_entropy|sw_var_peak_energy,0.7972699573430835,0.7986390412350194,0.0013690838919359072
0.0,lapeigvals_gsm8k_phi35,8,cusum_shift_idx|high_band_power|hl_ratio|logprob_margin|mean_top1_logprob|spectral_centroid|stft_spectral_entropy|sw_var_peak_energy,0.8088448633398303,0.7981381108767434,-0.010706752463086944
0.0,losnet_hotpotqa_mistral7b,6,cusum_shift_idx|high_band_power|logprob_margin|mean_top1_logprob|stft_spectral_entropy|sw_var_peak_energy,0.5695668496040329,0.5720516991723127,0.0024848495682797678
0.0,math500_dsmath7b,6,cusum_shift_idx|epr_spilled|logprob_margin|mean_top1_logprob|stft_spectral_entropy|sw_var_peak_energy,0.7865136091256949,0.7751064905061007,-0.011407118619594203
0.0,math500_qwenmath7b,6,epr|epr_spilled|mean_logprob_entropy|mean_top1_logprob|pe_mean|renyi_entropy_2,0.9155045638945232,0.9041582150101419,-0.011346348884381241
0.0,math500_r1distill8b,8,cusum_shift_idx|epr_spilled|high_band_power|logprob_margin|mean_top1_logprob|stft_max_high_power|stft_spectral_entropy|sw_var_peak_energy,0.8385677026733319,0.8382960226037818,-0.0002716800695501398
0.0,math500_r1distill8b_mn4096,7,cusum_shift_idx|epr_spilled|high_band_power|logprob_margin|mean_top1_logprob|stft_spectral_entropy|sw_var_peak_energy,0.8357853439820653,0.8226612488907571,-0.013124095091308186
0.0,noise_gsm8k_mistral7b,6,cusum_shift_idx|high_band_power|logprob_margin|mean_top1_logprob|stft_spectral_entropy|sw_var_peak_energy,0.7830679315212743,0.7855970276223276,0.002529096101053341
0.0,noise_gsm8k_phi3mini,7,cusum_shift_idx|high_band_power|hl_ratio|logprob_margin|mean_top1_logprob|stft_spectral_entropy|sw_var_peak_energy,0.6830577313606034,0.6778915891187431,-0.005166142241860294
0.0,sciq_llama8b,6,cusum_shift_idx|high_band_power|logprob_margin|mean_top1_logprob|stft_spectral_entropy|sw_var_peak_energy,0.738976871368349,0.7400022786829213,0.0010254073145723464
0.0,se_nq_open_llama8b,6,cusum_shift_idx|epr_spilled|high_band_power|logprob_margin|mean_top1_logprob|sw_var_peak_energy,0.7468965488308481,0.7463093228693971,-0.0005872259614509989
0.0,se_squad_v2_llama8b,6,cusum_shift_idx|high_band_power|hl_ratio|logprob_margin|mean_top1_logprob|sw_var_peak_energy,0.8102507127768863,0.8113842300278185,0.0011335172509321367
0.0,seiclr_triviaqa_opt30b,5,cusum_shift_idx|high_band_power|mean_top1_logprob|stft_spectral_entropy|sw_var_peak_energy,0.5751284549635978,0.5743768027316858,-0.0007516522319119812
0.0,semenergy_triviaqa_qwen3_8b,7,cusum_shift_idx|epr_spilled|high_band_power|mean_top1_logprob|renyi_entropy_2|sw_var_peak_energy|varentropy,0.8102602404150281,0.7788962288539596,-0.031364011561068494
0.0,spilled_triviaqa_llama8b,7,cusum_shift_idx|dominant_freq|high_band_power|logprob_margin|mean_top1_logprob|spectral_centroid|sw_var_peak_energy,0.93,0.9253333333333333,-0.004666666666666708
0.0,trace_gsm8k_llama8b_k10,8,cusum_shift_idx|high_band_power|hl_ratio|mean_top1_logprob|spectral_centroid|stft_max_high_power|stft_spectral_entropy|sw_var_peak_energy,0.8113494318181818,0.8133668889986826,0.0020174571805008368
0.0,trace_math500_qwenmath15b_k10,6,cusum_shift_idx|high_band_power|logprob_margin|mean_top1_logprob|stft_spectral_entropy|sw_var_peak_energy,0.6860695600152698,0.6850589714028668,-0.0010105886124029961
0.0,truthfulqa_llama8b,6,cusum_shift_idx|high_band_power|mean_top1_logprob|stft_max_high_power|stft_spectral_entropy|sw_var_peak_energy,0.6633585817234888,0.658491190113567,-0.0048673916099217784
0.1,ars_gsm8k_r1distill8b,0,,0.7384857789269554,0.7384857789269554,0.0
0.1,epr_triviaqa_mistral24b,0,,0.7457496352822355,0.7457496352822355,0.0
0.1,inside_coqa_llama7b,0,,0.5354980962521094,0.5354980962521094,0.0
0.1,internalstates_gsm8k_qwen25_7b,0,,0.708176755121312,0.708176755121312,0.0
0.1,lapeigvals_gsm8k_llama3b,0,,0.699160313160369,0.699160313160369,0.0
0.1,lapeigvals_gsm8k_llama8b,0,,0.8108335335094884,0.8108335335094884,0.0
0.1,lapeigvals_gsm8k_mistral24b,0,,0.8486086890590644,0.8486086890590644,0.0
0.1,lapeigvals_gsm8k_nemo,0,,0.7972699573430835,0.7972699573430835,0.0
0.1,lapeigvals_gsm8k_phi35,0,,0.8088448633398303,0.8088448633398303,0.0
0.1,losnet_hotpotqa_mistral7b,0,,0.5695668496040329,0.5695668496040329,0.0
0.1,math500_dsmath7b,0,,0.7865136091256949,0.7865136091256949,0.0
0.1,math500_qwenmath7b,0,,0.9155045638945232,0.9155045638945232,0.0
0.1,math500_r1distill8b,0,,0.8385677026733319,0.8385677026733319,0.0
0.1,math500_r1distill8b_mn4096,0,,0.8357853439820653,0.8357853439820653,0.0
0.1,noise_gsm8k_mistral7b,0,,0.7830679315212743,0.7830679315212743,0.0
0.1,noise_gsm8k_phi3mini,0,,0.6830577313606034,0.6830577313606034,0.0
0.1,sciq_llama8b,0,,0.738976871368349,0.738976871368349,0.0
0.1,se_nq_open_llama8b,0,,0.7468965488308481,0.7468965488308481,0.0
0.1,se_squad_v2_llama8b,0,,0.8102507127768863,0.8102507127768863,0.0
0.1,seiclr_triviaqa_opt30b,0,,0.5751284549635978,0.5751284549635978,0.0
0.1,semenergy_triviaqa_qwen3_8b,1,mean_top1_logprob,0.8102602404150281,0.7987004188684483,-0.011559821546579752
0.1,spilled_triviaqa_llama8b,0,,0.93,0.9299999999999999,-1.1102230246251565e-16
0.1,trace_gsm8k_llama8b_k10,0,,0.8113494318181818,0.8113494318181818,0.0
0.1,trace_math500_qwenmath15b_k10,0,,0.6860695600152698,0.6860695600152698,0.0
0.1,truthfulqa_llama8b,0,,0.6633585817234888,0.6633585817234888,0.0
0.2,ars_gsm8k_r1distill8b,0,,0.7384857789269554,0.7384857789269554,0.0
0.2,epr_triviaqa_mistral24b,0,,0.7457496352822355,0.7457496352822355,0.0
0.2,inside_coqa_llama7b,0,,0.5354980962521094,0.5354980962521094,0.0
0.2,internalstates_gsm8k_qwen25_7b,0,,0.708176755121312,0.708176755121312,0.0
0.2,lapeigvals_gsm8k_llama3b,0,,0.699160313160369,0.699160313160369,0.0
0.2,lapeigvals_gsm8k_llama8b,0,,0.8108335335094884,0.8108335335094884,0.0
0.2,lapeigvals_gsm8k_mistral24b,0,,0.8486086890590644,0.8486086890590644,0.0
0.2,lapeigvals_gsm8k_nemo,0,,0.7972699573430835,0.7972699573430835,0.0
0.2,lapeigvals_gsm8k_phi35,0,,0.8088448633398303,0.8088448633398303,0.0
0.2,losnet_hotpotqa_mistral7b,0,,0.5695668496040329,0.5695668496040329,0.0
0.2,math500_dsmath7b,0,,0.7865136091256949,0.7865136091256949,0.0
