cell,group,removed,n_pool,auroc,n_kept,excluded_by_upcr
ars_gsm8k_r1distill8b,math,__FULL__,30,0.7384857789269554,17,spectral_entropy|high_band_power|hl_ratio|dominant_freq|stft_max_high_power|stft_spectral_entropy|rpdi|pe_mean|hurst_exponent|cusum_shift_idx|min_spilled|sw_var_peak_energy|cusum_max_energy
ars_gsm8k_r1distill8b,math,epr,29,0.7462629282482224,17,spectral_entropy|high_band_power|hl_ratio|dominant_freq|stft_max_high_power|stft_spectral_entropy|rpdi|pe_mean|hurst_exponent|cusum_shift_idx|min_spilled|sw_var_peak_energy|cusum_max_energy
ars_gsm8k_r1distill8b,math,trace_length,29,0.7207296380090498,15,spectral_entropy|high_band_power|hl_ratio|dominant_freq|stft_max_high_power|stft_spectral_entropy|rpdi|pe_mean|hurst_exponent|cusum_shift_idx|min_spilled|sw_var_peak_energy|cusum_max_energy
ars_gsm8k_r1distill8b,math,spectral_entropy,29,0.7301834195216548,16,spectral_entropy|high_band_power|hl_ratio|dominant_freq|stft_max_high_power|stft_spectral_entropy|rpdi|pe_mean|hurst_exponent|cusum_shift_idx|min_spilled|sw_var_peak_energy|cusum_max_energy
ars_gsm8k_r1distill8b,math,low_band_power,29,0.7095790239172592,14,spectral_entropy|high_band_power|hl_ratio|dominant_freq|stft_max_high_power|stft_spectral_entropy|rpdi|pe_mean|hurst_exponent|cusum_shift_idx|min_spilled|sw_var_peak_energy|cusum_max_energy
ars_gsm8k_r1distill8b,math,high_band_power,29,0.735576923076923,17,spectral_entropy|high_band_power|hl_ratio|dominant_freq|stft_max_high_power|stft_spectral_entropy|rpdi|pe_mean|hurst_exponent|cusum_shift_idx|min_spilled|sw_var_peak_energy|cusum_max_energy
ars_gsm8k_r1distill8b,math,hl_ratio,29,0.7344053005817712,16,spectral_entropy|high_band_power|hl_ratio|dominant_freq|stft_max_high_power|stft_spectral_entropy|rpdi|pe_mean|hurst_exponent|cusum_shift_idx|min_spilled|sw_var_peak_energy|cusum_max_energy
ars_gsm8k_r1distill8b,math,dominant_freq,29,0.735576923076923,17,spectral_entropy|high_band_power|hl_ratio|dominant_freq|stft_max_high_power|stft_spectral_entropy|rpdi|pe_mean|hurst_exponent|cusum_shift_idx|min_spilled|sw_var_peak_energy|cusum_max_energy
ars_gsm8k_r1distill8b,math,spectral_centroid,29,0.7333346800258564,16,spectral_entropy|high_band_power|hl_ratio|dominant_freq|stft_max_high_power|stft_spectral_entropy|rpdi|pe_mean|hurst_exponent|cusum_shift_idx|min_spilled|sw_var_peak_energy|cusum_max_energy
ars_gsm8k_r1distill8b,math,stft_max_high_power,29,0.735576923076923,17,spectral_entropy|high_band_power|hl_ratio|dominant_freq|stft_max_high_power|stft_spectral_entropy|rpdi|pe_mean|hurst_exponent|cusum_shift_idx|min_spilled|sw_var_peak_energy|cusum_max_energy
ars_gsm8k_r1distill8b,math,stft_spectral_entropy,29,0.7391725921137686,18,spectral_entropy|high_band_power|hl_ratio|dominant_freq|stft_max_high_power|stft_spectral_entropy|rpdi|pe_mean|hurst_exponent|cusum_shift_idx|min_spilled|sw_var_peak_energy|cusum_max_energy
ars_gsm8k_r1distill8b,math,rpdi,29,0.735576923076923,17,spectral_entropy|high_band_power|hl_ratio|dominant_freq|stft_max_high_power|stft_spectral_entropy|rpdi|pe_mean|hurst_exponent|cusum_shift_idx|min_spilled|sw_var_peak_energy|cusum_max_energy
ars_gsm8k_r1distill8b,math,sw_var_peak,29,0.7326882676147382,16,spectral_entropy|high_band_power|hl_ratio|dominant_freq|stft_max_high_power|stft_spectral_entropy|rpdi|pe_mean|hurst_exponent|cusum_shift_idx|min_spilled|sw_var_peak_energy|cusum_max_energy
ars_gsm8k_r1distill8b,math,pe_mean,29,0.7384857789269554,17,spectral_entropy|high_band_power|hl_ratio|dominant_freq|stft_max_high_power|stft_spectral_entropy|rpdi|pe_mean|hurst_exponent|cusum_shift_idx|min_spilled|sw_var_peak_energy|cusum_max_energy
ars_gsm8k_r1distill8b,math,hurst_exponent,29,0.7220224628312863,15,spectral_entropy|high_band_power|hl_ratio|dominant_freq|stft_max_high_power|stft_spectral_entropy|rpdi|pe_mean|hurst_exponent|cusum_shift_idx|min_spilled|sw_var_peak_energy|cusum_max_energy
ars_gsm8k_r1distill8b,math,cusum_max,29,0.6951155462184875,13,spectral_entropy|high_band_power|hl_ratio|dominant_freq|stft_max_high_power|stft_spectral_entropy|rpdi|pe_mean|hurst_exponent|cusum_shift_idx|min_spilled|sw_var_peak_energy|cusum_max_energy
ars_gsm8k_r1distill8b,math,cusum_shift_idx,29,0.7384857789269554,17,spectral_entropy|high_band_power|hl_ratio|dominant_freq|stft_max_high_power|stft_spectral_entropy|rpdi|pe_mean|hurst_exponent|cusum_shift_idx|min_spilled|sw_var_peak_energy|cusum_max_energy
ars_gsm8k_r1distill8b,math,epr_spilled,29,0.745838720103426,17,spectral_entropy|high_band_power|hl_ratio|dominant_freq|stft_max_high_power|stft_spectral_entropy|rpdi|pe_mean|hurst_exponent|cusum_shift_idx|min_spilled|sw_var_peak_energy|cusum_max_energy
ars_gsm8k_r1distill8b,math,sw_var_peak_spilled,29,0.7338598901098902,16,spectral_entropy|high_band_power|hl_ratio|dominant_freq|stft_max_high_power|stft_spectral_entropy|rpdi|pe_mean|hurst_exponent|cusum_shift_idx|min_spilled|sw_var_peak_energy|cusum_max_energy
ars_gsm8k_r1distill8b,math,cusum_max_spilled,29,0.6932773109243697,13,spectral_entropy|high_band_power|hl_ratio|dominant_freq|stft_max_high_power|stft_spectral_entropy|rpdi|pe_mean|hurst_exponent|cusum_shift_idx|min_spilled|sw_var_peak_energy|cusum_max_energy
ars_gsm8k_r1distill8b,math,min_spilled,29,0.735576923076923,17,spectral_entropy|high_band_power|hl_ratio|dominant_freq|stft_max_high_power|stft_spectral_entropy|rpdi|pe_mean|hurst_exponent|cusum_shift_idx|min_spilled|sw_var_peak_energy|cusum_max_energy
ars_gsm8k_r1distill8b,math,epr_energy,29,0.739920006464124,16,spectral_entropy|high_band_power|hl_ratio|dominant_freq|stft_max_high_power|stft_spectral_entropy|rpdi|pe_mean|hurst_exponent|cusum_shift_idx|min_spilled|sw_var_peak_energy|cusum_max_energy
ars_gsm8k_r1distill8b,math,min_energy,29,0.735576923076923,17,spectral_entropy|high_band_power|hl_ratio|dominant_freq|stft_max_high_power|stft_spectral_entropy|rpdi|pe_mean|hurst_exponent|cusum_shift_idx|min_spilled|sw_var_peak_energy|cusum_max_energy
ars_gsm8k_r1distill8b,math,sw_var_peak_energy,29,0.7384857789269554,17,spectral_entropy|high_band_power|hl_ratio|dominant_freq|stft_max_high_power|stft_spectral_entropy|rpdi|pe_mean|hurst_exponent|cusum_shift_idx|min_spilled|sw_var_peak_energy|cusum_max_energy
ars_gsm8k_r1distill8b,math,cusum_max_energy,29,0.7220224628312863,15,spectral_entropy|high_band_power|hl_ratio|dominant_freq|stft_max_high_power|stft_spectral_entropy|rpdi|pe_mean|hurst_exponent|cusum_shift_idx|min_spilled|sw_var_peak_energy|cusum_max_energy
ars_gsm8k_r1distill8b,math,mean_top1_logprob,29,0.745838720103426,17,spectral_entropy|high_band_power|hl_ratio|dominant_freq|stft_max_high_power|stft_spectral_entropy|rpdi|pe_mean|hurst_exponent|cusum_shift_idx|min_spilled|sw_var_peak_energy|cusum_max_energy
ars_gsm8k_r1distill8b,math,logprob_margin,29,0.7429298642533937,16,spectral_entropy|high_band_power|hl_ratio|dominant_freq|stft_max_high_power|stft_spectral_entropy|rpdi|pe_mean|hurst_exponent|cusum_shift_idx|min_spilled|sw_var_peak_energy|cusum_max_energy
ars_gsm8k_r1distill8b,math,mean_logprob_entropy,29,0.7461215255332903,17,spectral_entropy|high_band_power|hl_ratio|dominant_freq|stft_max_high_power|stft_spectral_entropy|rpdi|pe_mean|hurst_exponent|cusum_shift_idx|min_spilled|sw_var_peak_energy|cusum_max_energy
ars_gsm8k_r1distill8b,math,varentropy,29,0.7433338720103426,17,spectral_entropy|high_band_power|hl_ratio|dominant_freq|stft_max_high_power|stft_spectral_entropy|rpdi|pe_mean|hurst_exponent|cusum_shift_idx|min_spilled|sw_var_peak_energy|cusum_max_energy
