population_id,metric_id,value,ci_low,ci_high,n_rows,n_groups
current_common_eight_qwen,official_macro_f1,0.2957373858731999,0.277905138395967,0.31224093451755797,6800,3400
current_common_eight_qwen,first_error_exact,0.20441578405467112,0.18809153197497996,0.2214496522336078,6800,3400
current_common_eight_qwen,first_error_within_one,0.44417706134554785,0.4238796668553318,0.46489009703680495,6800,3400
current_common_eight_qwen,clean_abstention_accuracy,0.5656371603268795,0.5384925554769276,0.5930474622886824,6800,3400
current_common_eight_qwen,overall_decision_accuracy,0.3283125,0.312875,0.3438125,6800,3400
current_full_twelve_cell,official_macro_f1,0.3014951449505769,0.2858798749062015,0.31578121351935695,10200,3400
current_full_twelve_cell,first_error_exact,0.21263217032966422,0.19789354330056114,0.2276751773345571,10200,3400
current_full_twelve_cell,first_error_within_one,0.4504689177286691,0.43235729012650254,0.4687645114401385,10200,3400
current_full_twelve_cell,clean_abstention_accuracy,0.553672864980232,0.5282035779163422,0.579451162153075,10200,3400
current_full_twelve_cell,overall_decision_accuracy,0.3290416666666667,0.31487499999999996,0.34325,10200,3400
