method,method_id,PB_macro_percent,PB_Q4_percent,PB_Q8_percent,PRMB_within_AUC,PRMB_pooled_AUC,PRMScore,valid_answers,within_answers,pb_gsm8k_q4,pb_gsm8k_q8,pb_math_q4,pb_math_q8,pb_olympiadbench_q4,pb_olympiadbench_q8,pb_omnimath_q4,pb_omnimath_q8
Original RBM (100 iterations),rbm,36.20168449360268,37.351290000539755,35.052078986665606,0.7359819427631672,0.7081098773075334,0.6307492926682718,13769,6030,44.54065469904963,39.16653411802132,35.57224922669023,34.32744978697504,32.965886566748964,31.931918739291703,36.32636950967018,34.78241330237435
RBM before learning,rbm_initial,35.966210065316105,36.767337993745066,35.16508213688714,0.744067528910734,0.6950464031735148,0.6130847986432351,13769,6030,43.00959361862671,38.60993912847434,34.446923617691105,34.460500421703685,33.394983838348914,32.32432836937813,36.21785090031352,35.26556062799243
Fixed variance RBM with matched extra training,rbm_continued,36.20168449360268,37.351290000539755,35.052078986665606,0.7359819427631672,0.70810986135676,0.6307492926682718,13769,6030,44.54065469904963,39.16653411802132,35.57224922669023,34.32744978697504,32.965886566748964,31.931918739291703,36.32636950967018,34.78241330237435
Learned diagonal variance RBM,rbm_diagonal,35.80694910332301,36.78832212625117,34.82557608039484,0.7330448590587003,0.7047273028297086,0.6253013416428403,13769,6030,43.398300313664514,40.75721780750468,34.28349736594928,32.398695854680945,32.821727844462636,31.266651442490673,36.64976298092823,34.87973921690305
Direct probability + change IU-PCR (34 inputs),ref__delta_iu,34.80850537033642,35.55079175814064,34.06621898253219,0.7369310120605546,0.7069415197528663,0.623944861874893,13769,6030,42.616822429906534,39.43973694195017,34.11939229628114,33.78910249118417,31.498297389330304,30.171946402292622,33.9686549170446,32.864090094701815
Direct probability IU-PCR (17 inputs),ref__direct_iu,34.50209795170901,35.31084473042043,33.6933511729976,0.7327565475977551,0.7038074104714571,0.6205441220076804,13769,6030,43.00959361862671,38.60993912847434,32.95128939828081,33.51618211738892,31.197692225506607,30.310875823560096,34.08480367926758,32.33640762256706
Token entropy reference,ref__entropy,35.444376642134145,36.395290139975124,34.493463144293166,0.7301113611124386,0.7026639408146143,0.625425539209566,13769,6030,44.163770000265345,39.70962571886489,34.77175644550869,33.92461952265841,31.197692225506607,30.449199922884134,35.44794188861985,33.89040741276524
Top-15 varentropy / Normalized equal weights,ref__k15__equal,35.598043643273556,36.12819032849405,35.067896958053055,0.746980350290861,0.6999879034964627,0.6128118227013558,13769,6030,43.78300528084493,40.5,32.44005641748942,33.10201967892284,34.789685163521696,33.597156571763584,33.50001445212013,33.07241158152582
Top-15 varentropy / IU-PCR learned weights,ref__k15__iu,35.34983585022531,35.898223922652384,34.801447777798245,0.74682374405604,0.710261309641098,0.6226885909285921,13769,6030,43.398300313664514,39.97626038608109,32.95128939828081,32.398695854680945,34.09907905097744,32.83986346096764,33.14422692768677,33.9909714094633
Top-15 varentropy / Original sum,ref__k15__raw,35.960987290405434,36.63539010061059,35.286584480200275,0.7377863024015934,0.710137783099181,0.6257812284738609,13769,6030,45.28301886792453,40.75721780750468,32.781598193943054,33.37877000263456,35.332716412888026,33.22087642645134,33.14422692768677,33.78947368421053
Top-50 varentropy / Normalized equal weights,ref__k50__equal,34.87403074470651,35.243554110610184,34.50450737880282,0.7463228077696503,0.7172822630254639,0.6272901548806193,13769,6030,41.003790498851785,39.97626038608109,32.44005641748942,32.398695854680945,33.67826581036175,33.09440236467763,33.8521037157378,32.54867090977162
