outcome,n_rows,n_selected,n_abstained,mean_selected_step_length,median_selected_step_length,q90_selected_step_length
all,6800,4806,1994,131.97315855181023,119.0,217.5
error,4442,3740,702,135.83502673796792,122.0,224.0
clean,2358,1066,1292,118.42401500938087,106.0,194.0
