method,sla_macro8,f1_common_gate,within_auc,early,late,mae,tolerance_one,sla_long_cells,late_long_cells,sla_all,sla_steps_2_to_5,sla_steps_6_to_10,sla_steps_11_plus,prmscore_q80,prmscore_inner
ct7,0.3988620140983161,0.41188745848863717,0.7723966352864217,0.26938924036125245,0.3317487455404314,1.6243383039985684,0.6263471307829329,0.3771962870167172,0.34242444174694386,0.3824853669518235,0.4763719512195122,0.3587521663778163,0.29927007299270075,0.6425309772481037,0.647104057213021
ct7_z,0.3988620140983161,0.41188745848863717,0.7723966352864217,0.26938924036125245,0.3317487455404314,1.6243383039985684,0.6263471307829329,0.3771962870167172,0.34242444174694386,0.3824853669518235,0.4763719512195122,0.3587521663778163,0.29927007299270075,0.645689463374375,0.6503701818161702
fam421_raw,0.3979771597223745,0.40755355784370506,0.7801274239837731,0.29798545929819364,0.3040373809794319,1.5601539164363936,0.6394675752902748,0.36459361091012743,0.3037269358719073,0.3795587573165241,0.48246951219512196,0.35008665511265163,0.2980535279805353,0.6572060898423949,0.6632265254862169
fam421_answer,0.39942591739934374,0.4090676812066258,0.7801198444374411,0.29877231334591725,0.30180176925473906,1.552135676305248,0.6411297466763494,0.36780220809688674,0.3005183386851479,0.38226024313372353,0.4847560975609756,0.35225303292894283,0.3029197080291971,0.6562269873134843,0.6626899222180799
fam421_fold,0.39787039750040476,0.4078575965690262,0.779793488564484,0.2989218468975754,0.30320775560201985,1.5576255218102222,0.6392449567480811,0.3655329191407597,0.3025434573319859,0.38045925258892394,0.4763719512195122,0.3531195840554593,0.30413625304136255,0.6563447874883115,0.6626316547704945
fam421_eigen,0.40560197282965815,0.41599775621841883,0.778633496160657,0.29621950168881694,0.2981785254815249,1.5492626333496557,0.6428316026586105,0.3751587107010379,0.29905431344292094,0.38923908149482217,0.4885670731707317,0.3643847487001733,0.3004866180048662,0.6541387067772071,0.659127364267196
fam511_raw,0.4027500387018246,0.4108552601226085,0.771842524847848,0.3057228758899482,0.2915270854082273,1.5476960953347194,0.6399491887676785,0.3623731560158581,0.3039222721193385,0.3811346240432238,0.48323170731707316,0.354419410745234,0.29318734793187345,0.6522073393259689,0.6577037366324799
fam511_answer,0.40303372750504896,0.4110488305521791,0.7720959372027641,0.30510677495647565,0.2918594975384754,1.5482631407366658,0.6389214172464188,0.363837181258085,0.3045321995858074,0.3811346240432238,0.48323170731707316,0.354419410745234,0.29318734793187345,0.6527428075328396,0.6575957989221805
fam511_fold,0.4026982286412991,0.4107034630070527,0.772133361132807,0.30627189919763753,0.29102987216106335,1.5497881255050894,0.639519163881132,0.3614826818470836,0.30334872104588606,0.38045925258892394,0.48246951219512196,0.354419410745234,0.29075425790754256,0.6523681519408746,0.6580818323692107
fam511_eigen,0.4052357727331417,0.41488253900086813,0.7696238323741845,0.3064639272418987,0.28830030002495965,1.5534297235770629,0.6382139323910685,0.3650206597980064,0.30504445892856075,0.38563710040522287,0.47865853658536583,0.3630849220103986,0.3004866180048662,0.6489287387550106,0.6542005317297375
