variant,pool,cells,size_mean,frac_size3,frac_size4,spread_pp,median_spread_pp,max_spread_pp,frac_unstable,macro_spread_pp,macro_mean
a4.recon_adapt,c46,25,4.8,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.719712
a4.recon_adapt,h16,25,5.44,0.0,0.28,0.0,0.0,0.0001,0.0,0.0,0.684543
a4.recon_s4,c46,25,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.716591
a4.recon_s4,h16,25,4.0,0.0,1.0,0.0,0.0,0.0003,0.0,0.0,0.679541
a4.recon_s5,c46,25,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.712352
a4.recon_s5,h16,25,5.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.674913
a4.recon_s6,c46,25,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.715147
a4.recon_s6,h16,25,6.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.669848
a5.mrmr_a0.0_adapt,c46,25,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73656
a5.mrmr_a0.0_adapt,h16,25,8.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.721703
a5.mrmr_a0.0_s4,c46,25,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.732584
a5.mrmr_a0.0_s4,h16,25,4.0,0.0,1.0,0.0,0.0,0.0002,0.0,0.0,0.742684
a5.mrmr_a0.0_s5,c46,25,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.734607
a5.mrmr_a0.0_s5,h16,25,5.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.736308
a5.mrmr_a0.0_s6,c46,25,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.735526
a5.mrmr_a0.0_s6,h16,25,6.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.734553
a5.mrmr_a0.3_adapt,c46,25,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73656
a5.mrmr_a0.3_adapt,h16,25,7.6,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.723746
a5.mrmr_a0.3_s4,c46,25,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.732584
a5.mrmr_a0.3_s4,h16,25,4.0,0.0,1.0,0.0,0.0,0.0002,0.0,0.0,0.741056
a5.mrmr_a0.3_s5,c46,25,5.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.734676
a5.mrmr_a0.3_s5,h16,25,5.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.735791
a5.mrmr_a0.3_s6,c46,25,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.735451
a5.mrmr_a0.3_s6,h16,25,6.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.730689
a5.mrmr_a0.5_adapt,c46,25,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.736622
a5.mrmr_a0.5_adapt,h16,25,7.2,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.725874
