variant,pool,family,bench_csv_date,cells,macro_published,macro_today,drift_pp,max_cell_drift_pp,cells_differing,reproduces,macro_eigen,macro_complete,frac_size3,size_mean,replay_note,chosen_names_missing_from_pool
a5.mrmr_a0.3_adapt,h16,a5_mrmr,2026-07-21,25,0.724525,0.723746,-0.0779,1.9857,18,False,0.729148,0.726809,0.08,7.6,,0
lapscore_adapt,h16,classical_fs,2026-07-21,25,0.664622,0.664091,-0.053,0.7042,19,False,0.662438,0.664587,0.36,4.96,,0
spec_adapt,h16,classical_fs,2026-07-21,25,0.664622,0.664091,-0.053,0.7042,19,False,0.662438,0.664587,0.36,4.96,,0
a1.router@minres,h16,a1_residual,2026-07-21,25,0.680086,0.679718,-0.0368,0.9201,15,False,0.670842,0.671461,1.0,3.0,,0
a1.relres_exh_s4,h16,a1_residual,2026-07-21,19,0.661568,0.661909,0.0341,1.0667,19,False,0.657086,0.63575,0.0,4.0,,0
a1.minres_exh_s4,h16,a1_residual,2026-07-21,19,0.657638,0.657943,0.0305,0.7333,19,False,0.64774,0.624647,0.0,4.0,,0
a1.good5+K_ah,c46,a1_residual,2026-07-22,25,0.739139,0.739266,0.0127,0.3255,3,False,0.739266,0.739266,0.0,5.0,K-rule variant: stored K re-applied,0
mcfs_s4,h16,classical_fs,2026-07-21,25,0.654047,0.65415,0.0103,5.422,25,False,0.661334,0.651699,0.0,4.0,,0
a1.minres+K_ah,h16,a1_residual,2026-07-21,25,0.680491,0.680418,-0.0073,2.4924,20,False,0.681219,0.67862,1.0,3.0,K-rule variant: stored K re-applied,0
a1.relres_greedy,h16,a1_residual,2026-07-21,25,0.680387,0.680418,0.0031,0.9965,18,False,0.681219,0.67862,1.0,3.0,,0
a1.minres_exh_adapt,h16,a1_residual,2026-07-21,19,0.671806,0.6718,-0.0006,0.0106,17,False,0.67249,0.672307,0.895,3.16,,0
lapscore_adapt,c46,classical_fs,2026-07-23,25,0.726057,0.726053,-0.0004,0.0099,1,False,0.724878,0.725087,0.2,6.0,,0
spec_adapt,c46,classical_fs,2026-07-23,25,0.726057,0.726053,-0.0004,0.0099,1,False,0.724878,0.725087,0.2,6.0,,0
a1.good5+K_kn,c46,a1_residual,2026-07-22,25,0.746729,0.746729,0.0,0.0,0,True,0.746729,0.746729,0.0,5.0,K-rule variant: stored K re-applied,0
