cell,rep,arena,family,variant,size,auroc,floor,overlap,overlap_null,fallback,seconds,error
internalstates_gsm8k_qwen25_7b,0,full,a10_mmdufs,mm.shared_union,18,0.6840380952380952,0.6845165714285715,0.3333333333333333,0.3338055555555555,0,17.311349749565125,
internalstates_gsm8k_qwen25_7b,0,full,a10_mmdufs,mm.shared,18,0.6840380952380952,0.6845165714285715,0.3333333333333333,0.3338055555555555,0,17.311349749565125,
internalstates_gsm8k_qwen25_7b,0,full,a10_mmdufs,mm.diff_x,15,0.651047619047619,0.6846537142857143,0.3333333333333333,0.3002,0,17.311349749565125,
internalstates_gsm8k_qwen25_7b,0,full,a10_mmdufs,mm.diff_y,13,0.6554666666666666,0.6827794285714285,0.3076923076923077,0.32792307692307693,0,17.311349749565125,
internalstates_gsm8k_qwen25_7b,0,full,a11_rfae_scfs,rfae.k3,3,0.6256,0.6446994285714287,0.0,0.335,0,0.6762349946158273,
internalstates_gsm8k_qwen25_7b,0,full,a11_rfae_scfs,rfae.k4,4,0.6058666666666667,0.6551161904761905,0.0,0.309625,0,0.6762349946158273,
internalstates_gsm8k_qwen25_7b,0,full,a11_rfae_scfs,rfae.k5,5,0.6415238095238095,0.6615040000000001,0.4,0.31420000000000003,0,0.6762349946158273,
internalstates_gsm8k_qwen25_7b,0,full,a11_rfae_scfs,rfae.k6,6,0.6884571428571428,0.6640243809523809,0.3333333333333333,0.3150833333333334,0,0.6762349946158273,
internalstates_gsm8k_qwen25_7b,0,full,a11_rfae_scfs,rfae.k7,7,0.6700952380952381,0.6802041904761904,0.42857142857142855,0.3073571428571428,0,0.6762349946158273,
internalstates_gsm8k_qwen25_7b,0,full,a11_rfae_scfs,rfae.k8,8,0.6787047619047619,0.6750872380952382,0.25,0.3115,0,0.6762349946158273,
internalstates_gsm8k_qwen25_7b,0,full,a11_rfae_scfs,rfae,8,0.6787047619047619,0.6750872380952382,0.25,0.3115,0,0.6762349946158273,
internalstates_gsm8k_qwen25_7b,0,full,a11_rfae_scfs,scfs.k3,3,0.622247619047619,0.6446994285714287,0.0,0.335,0,0.6762349946158273,
internalstates_gsm8k_qwen25_7b,0,full,a11_rfae_scfs,scfs.k4,4,0.6210285714285714,0.6551161904761905,0.0,0.336625,0,0.6762349946158273,
internalstates_gsm8k_qwen25_7b,0,full,a11_rfae_scfs,scfs.k5,5,0.5384380952380952,0.6615040000000001,0.2,0.3306,0,0.6762349946158273,
internalstates_gsm8k_qwen25_7b,0,full,a11_rfae_scfs,scfs.k6,6,0.5991619047619048,0.6640243809523809,0.16666666666666666,0.33341666666666664,0,0.6762349946158273,
internalstates_gsm8k_qwen25_7b,0,full,a11_rfae_scfs,scfs.k7,7,0.6468571428571428,0.6802041904761904,0.2857142857142857,0.319,0,0.6762349946158273,
internalstates_gsm8k_qwen25_7b,0,full,a11_rfae_scfs,scfs.k8,8,0.6329904761904761,0.6750872380952382,0.25,0.32425,0,0.6762349946158273,
internalstates_gsm8k_qwen25_7b,0,full,a11_rfae_scfs,scfs,3,0.622247619047619,0.6446994285714287,0.0,0.335,0,0.6762349946158273,
internalstates_gsm8k_qwen25_7b,0,keep,a10_mmdufs,mm.shared_union,17,0.6800761904761904,0.6842087619047621,0.29411764705882354,0.3332941176470588,0,12.575987100601196,
internalstates_gsm8k_qwen25_7b,0,keep,a10_mmdufs,mm.shared,17,0.6800761904761904,0.6842087619047621,0.29411764705882354,0.3332941176470588,0,12.575987100601196,
internalstates_gsm8k_qwen25_7b,0,keep,a10_mmdufs,mm.diff_x,9,0.6538666666666666,0.6735695238095238,0.3333333333333333,0.33655555555555555,0,12.575987100601196,
internalstates_gsm8k_qwen25_7b,0,keep,a10_mmdufs,mm.diff_y,11,0.6585904761904762,0.6790460952380952,0.36363636363636365,0.3342272727272727,0,12.575987100601196,
internalstates_gsm8k_qwen25_7b,0,keep,a11_rfae_scfs,rfae.k3,3,0.6905904761904762,0.6772754285714285,0.3333333333333333,0.335,0,0.899511456489563,
internalstates_gsm8k_qwen25_7b,0,keep,a11_rfae_scfs,rfae.k4,4,0.6393904761904762,0.6781409523809525,0.25,0.336625,0,0.899511456489563,
internalstates_gsm8k_qwen25_7b,0,keep,a11_rfae_scfs,rfae.k5,5,0.6742095238095238,0.6635824761904762,0.6,0.3306,0,0.899511456489563,
internalstates_gsm8k_qwen25_7b,0,keep,a11_rfae_scfs,rfae.k6,6,0.6595809523809524,0.6665020952380952,0.16666666666666666,0.33341666666666664,0,0.899511456489563,
internalstates_gsm8k_qwen25_7b,0,keep,a11_rfae_scfs,rfae.k7,7,0.6796190476190477,0.6652586666666666,0.42857142857142855,0.3301428571428571,0,0.899511456489563,
internalstates_gsm8k_qwen25_7b,0,keep,a11_rfae_scfs,rfae.k8,8,0.6624761904761906,0.6723382857142858,0.25,0.3339375,0,0.899511456489563,
internalstates_gsm8k_qwen25_7b,0,keep,a11_rfae_scfs,rfae,8,0.6624761904761906,0.6723382857142858,0.25,0.3339375,0,0.899511456489563,
internalstates_gsm8k_qwen25_7b,0,keep,a11_rfae_scfs,scfs.k3,3,0.6076952380952381,0.6772754285714285,0.3333333333333333,0.335,0,0.899511456489563,
internalstates_gsm8k_qwen25_7b,0,keep,a11_rfae_scfs,scfs.k4,4,0.6280380952380952,0.6781409523809525,0.25,0.336625,0,0.899511456489563,
internalstates_gsm8k_qwen25_7b,0,keep,a11_rfae_scfs,scfs.k5,5,0.6314666666666666,0.6635824761904762,0.2,0.3306,0,0.899511456489563,
internalstates_gsm8k_qwen25_7b,0,keep,a11_rfae_scfs,scfs.k6,6,0.622247619047619,0.6665020952380952,0.16666666666666666,0.33341666666666664,0,0.899511456489563,
