held_group,lambda,trust_factor,candidate_key,held_delta_auroc,held_delta_auroc_pp,held_delta_auprc,held_delta_auprc_pp
gsm8k,0.03,0.5,l00003__t00050,0.0036497268934822303,0.364972689348223,0.002006628178651376,0.20066281786513762
hotpotqa,0.03,0.5,l00003__t00050,0.0013407461699351808,0.13407461699351808,-0.0008188294299927845,-0.08188294299927845
math500,0.03,0.5,l00003__t00050,0.0022821638551575817,0.22821638551575818,0.004402603808519134,0.44026038085191344
nq_open,0.03,0.5,l00003__t00050,-0.002769493672833079,-0.2769493672833079,-0.00024203235445108273,-0.024203235445108273
sciq,0.03,0.5,l00003__t00050,0.005696707303178727,0.5696707303178727,0.0001976747099723397,0.01976747099723397
squad_v2,0.03,0.5,l00003__t00050,0.005911142405319092,0.5911142405319092,0.006022356341649271,0.6022356341649271
triviaqa,0.03,0.5,l00003__t00050,-0.0015730237864075198,-0.15730237864075197,-0.00018919705202613546,-0.018919705202613546
truthfulqa,0.03,0.5,l00003__t00050,0.005580174386336623,0.5580174386336623,0.0021624005771781474,0.21624005771781474
