cell,group,n,n_correct,iu_auroc,primary_auroc,primary_delta_pp,max_mean_auroc,max_mean_delta_pp,primary_candidate,max_mean_candidate
epr_triviaqa_mistral24b,triviaqa,621,469,0.7425934238581529,0.7400263718998991,-0.25670519582537965,0.7357339243631467,-0.6859499495006194,l00003__t00050,l00300__t00100
losnet_hotpotqa_mistral7b,hotpotqa,500,169,0.5721589588659075,0.5734997050358427,0.13407461699351808,0.573017036414666,0.08580775487584402,l00003__t00050,l00300__t00100
sciq_llama8b,sciq,198,131,0.7369260567392047,0.7426227640423835,0.5696707303178727,0.7517374957274695,1.4811438988264758,l00003__t00050,l00300__t00100
se_nq_open_llama8b,nq_open,8460,4105,0.739502916412037,0.736733422739204,-0.2769493672833079,0.7348273156842975,-0.4675600727739537,l00003__t00050,l01000__t00100
se_squad_v2_llama8b,squad_v2,2933,820,0.812104509828818,0.8180156522341371,0.5911142405319092,0.8211264760541594,0.902196622534146,l00003__t00050,l01000__t00100
seiclr_triviaqa_opt30b,triviaqa,5000,2324,0.8266982889919704,0.8286083957868631,0.19101067948926742,0.8283057759545549,0.16074869625845034,l00003__t00050,l00300__t00100
semenergy_triviaqa_qwen3_8b,triviaqa,4392,2094,0.8072191008667475,0.8031569746708861,-0.40621261958614374,0.7994911484011262,-0.7727952465621302,l00003__t00050,l00300__t00100
truthfulqa_llama8b,truthfulqa,7633,809,0.6631464677130233,0.66872664209936,0.5580174386336623,0.6730075049595915,0.9861037246568172,l00003__t00050,l00300__t00100
ars_gsm8k_r1distill8b,gsm8k,500,364,0.7589689722042663,0.7682207498383969,0.9251777634130653,0.7757352941176471,1.6766321913380788,l00003__t00050,l01000__t00100
internalstates_gsm8k_qwen25_7b,gsm8k,500,147,0.7131294444123258,0.720857181399472,0.7727736987146128,0.7244608891715326,1.1331444759206777,l00003__t00050,l01000__t00100
lapeigvals_gsm8k_llama3b,gsm8k,1319,587,0.6947338043771702,0.6907052624719562,-0.4028541905214067,0.6889318662086557,-0.5801938168514598,l00003__t00050,l01000__t00100
lapeigvals_gsm8k_llama8b,gsm8k,500,362,0.8180598927055809,0.824185283049083,0.6125390343502124,0.8250060052846505,0.694611257906963,l00003__t00050,l01000__t00100
lapeigvals_gsm8k_mistral24b,gsm8k,1319,1210,0.8466525134581848,0.8506861778755023,0.4033664417317451,0.853665933732656,0.701342027447116,l00003__t00050,l01000__t00100
lapeigvals_gsm8k_nemo,gsm8k,1319,1094,0.7974812106439163,0.8023481616900264,0.4866951046110124,0.8092423319114361,1.1761121267519825,l00003__t00050,l01000__t00100
lapeigvals_gsm8k_phi35,gsm8k,1319,1118,0.809703717548216,0.8102421701866338,0.05384526384177857,0.8123336804350341,0.2629962886818049,l00003__t00050,l01000__t00100
noise_gsm8k_mistral7b,gsm8k,1319,658,0.7856016259788752,0.7930210742680566,0.7419448289181396,0.8005784732536592,1.4976847274783989,l00003__t00050,l01000__t00100
noise_gsm8k_phi3mini,gsm8k,1319,936,0.6727700787753008,0.6712079623306778,-0.15621164446230074,0.6715538595434156,-0.12162192318851961,l00003__t00050,l01000__t00100
math500_dsmath7b,math500,300,57,0.7882463360046207,0.7884629268644863,0.021659085986558413,0.7893292903039492,0.10829542993284758,l00003__t00050,l00300__t00100
math500_qwenmath7b,math500,300,68,0.9307809330628803,0.9378169371196754,0.7036004056795053,0.9440289046653143,1.324797160243396,l00003__t00050,l00300__t00100
math500_r1distill8b,math500,300,86,0.8384046946316018,0.8322103890458596,-0.6194305585742188,0.8186263855683548,-1.9778309063247068,l00003__t00050,l00300__t00100
math500_r1distill8b_mn4096,math500,300,117,0.8320956517677829,0.8379804773247395,0.5884825556956574,0.8471346504133389,1.5038998645556023,l00003__t00050,l00300__t00100
trace_gsm8k_llama8b_k10,gsm8k,5000,3680,0.8148908926218709,0.8170153985507246,0.2124505928853715,0.8167568346508565,0.1865942028985601,l00003__t00050,l01000__t00100
trace_math500_qwenmath15b_k10,math500,3000,529,0.686874358819394,0.6913420632073068,0.4467704387912885,0.6962465928016408,0.9372233982246847,l00003__t00050,l00300__t00100
