feature,epr,trace_length,spectral_entropy,low_band_power,high_band_power,hl_ratio,dominant_freq,spectral_centroid,stft_max_high_power,stft_spectral_entropy,rpdi,sw_var_peak,pe_mean,hurst_exponent,cusum_max,cusum_shift_idx
epr,1.000,0.321,0.270,0.261,0.179,0.203,0.234,0.219,0.273,0.321,0.246,0.633,0.546,0.186,0.505,0.200
trace_length,0.321,1.000,0.838,0.399,0.206,0.328,0.432,0.365,0.561,0.550,0.248,0.326,0.209,0.248,0.679,0.171
spectral_entropy,0.270,0.838,1.000,0.334,0.195,0.246,0.308,0.256,0.539,0.492,0.249,0.292,0.174,0.285,0.555,0.136
low_band_power,0.261,0.399,0.334,1.000,0.412,0.765,0.494,0.731,0.200,0.377,0.217,0.269,0.175,0.537,0.615,0.155
high_band_power,0.179,0.206,0.195,0.412,1.000,0.839,0.332,0.755,0.200,0.251,0.179,0.192,0.132,0.237,0.298,0.114
hl_ratio,0.203,0.328,0.246,0.765,0.839,1.000,0.483,0.880,0.179,0.322,0.202,0.223,0.167,0.390,0.476,0.127
dominant_freq,0.234,0.432,0.308,0.494,0.332,0.483,1.000,0.563,0.187,0.239,0.177,0.198,0.172,0.456,0.536,0.116
spectral_centroid,0.219,0.365,0.256,0.731,0.755,0.880,0.563,1.000,0.166,0.349,0.205,0.219,0.174,0.411,0.530,0.132
stft_max_high_power,0.273,0.561,0.539,0.200,0.200,0.179,0.187,0.166,1.000,0.583,0.154,0.259,0.198,0.131,0.395,0.149
stft_spectral_entropy,0.321,0.550,0.492,0.377,0.251,0.322,0.239,0.349,0.583,1.000,0.247,0.273,0.300,0.316,0.420,0.183
rpdi,0.246,0.248,0.249,0.217,0.179,0.202,0.177,0.205,0.154,0.247,1.000,0.182,0.166,0.194,0.287,0.256
sw_var_peak,0.633,0.326,0.292,0.269,0.192,0.223,0.198,0.219,0.259,0.273,0.182,1.000,0.322,0.133,0.525,0.149
pe_mean,0.546,0.209,0.174,0.175,0.132,0.167,0.172,0.174,0.198,0.300,0.166,0.322,1.000,0.197,0.234,0.160
hurst_exponent,0.186,0.248,0.285,0.537,0.237,0.390,0.456,0.411,0.131,0.316,0.194,0.133,0.197,1.000,0.489,0.126
cusum_max,0.505,0.679,0.555,0.615,0.298,0.476,0.536,0.530,0.395,0.420,0.287,0.525,0.234,0.489,1.000,0.161
cusum_shift_idx,0.200,0.171,0.136,0.155,0.114,0.127,0.116,0.132,0.149,0.183,0.256,0.149,0.160,0.126,0.161,1.000
