domain,cell_key,feature,auroc
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,epr,85.6%
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,trace_length,66.2%
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,spectral_entropy,83.7%
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,low_band_power,86.4%
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,high_band_power,84.9%
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,hl_ratio,85.6%
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,dominant_freq,76.7%
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,spectral_centroid,86.6%
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,stft_max_high_power,55.8%
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,stft_spectral_entropy,82.5%
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,rpdi,77.1%
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,sw_var_peak,79.6%
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,pe_mean,52.4%
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,hurst_exponent,86.8%
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,cusum_max,87.2%
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,cusum_shift_idx,58.8%
math500,Qwen-Math-7B_T1.0,epr,96.6%
math500,Qwen-Math-7B_T1.0,trace_length,92.2%
math500,Qwen-Math-7B_T1.0,spectral_entropy,90.0%
math500,Qwen-Math-7B_T1.0,low_band_power,94.1%
math500,Qwen-Math-7B_T1.0,high_band_power,94.1%
math500,Qwen-Math-7B_T1.0,hl_ratio,94.3%
math500,Qwen-Math-7B_T1.0,dominant_freq,93.8%
math500,Qwen-Math-7B_T1.0,spectral_centroid,94.3%
math500,Qwen-Math-7B_T1.0,stft_max_high_power,83.0%
math500,Qwen-Math-7B_T1.0,stft_spectral_entropy,92.2%
math500,Qwen-Math-7B_T1.0,rpdi,89.3%
math500,Qwen-Math-7B_T1.0,sw_var_peak,90.3%
math500,Qwen-Math-7B_T1.0,pe_mean,55.3%
math500,Qwen-Math-7B_T1.0,hurst_exponent,91.8%
math500,Qwen-Math-7B_T1.0,cusum_max,93.4%
math500,Qwen-Math-7B_T1.0,cusum_shift_idx,69.6%
math500,deepseek-math-7b-instruct_T1.0,epr,70.8%
math500,deepseek-math-7b-instruct_T1.0,trace_length,71.2%
math500,deepseek-math-7b-instruct_T1.0,spectral_entropy,64.4%
math500,deepseek-math-7b-instruct_T1.0,low_band_power,63.7%
math500,deepseek-math-7b-instruct_T1.0,high_band_power,59.6%
math500,deepseek-math-7b-instruct_T1.0,hl_ratio,62.4%
math500,deepseek-math-7b-instruct_T1.0,dominant_freq,68.8%
math500,deepseek-math-7b-instruct_T1.0,spectral_centroid,65.2%
math500,deepseek-math-7b-instruct_T1.0,stft_max_high_power,61.0%
math500,deepseek-math-7b-instruct_T1.0,stft_spectral_entropy,60.8%
math500,deepseek-math-7b-instruct_T1.0,rpdi,63.3%
math500,deepseek-math-7b-instruct_T1.0,sw_var_peak,63.9%
math500,deepseek-math-7b-instruct_T1.0,pe_mean,54.4%
math500,deepseek-math-7b-instruct_T1.0,hurst_exponent,67.6%
math500,deepseek-math-7b-instruct_T1.0,cusum_max,70.4%
math500,deepseek-math-7b-instruct_T1.0,cusum_shift_idx,57.5%
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,epr,82.1%
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,trace_length,82.5%
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,spectral_entropy,80.0%
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,low_band_power,75.1%
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,high_band_power,70.6%
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,hl_ratio,74.1%
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,dominant_freq,73.5%
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,spectral_centroid,75.5%
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,stft_max_high_power,63.4%
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,stft_spectral_entropy,59.8%
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,rpdi,79.6%
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,sw_var_peak,82.7%
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,pe_mean,76.5%
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,hurst_exponent,62.9%
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,cusum_max,80.7%
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,cusum_shift_idx,58.0%
gsm8k,Llama-8B_T1.0,epr,70.8%
gsm8k,Llama-8B_T1.0,trace_length,71.5%
gsm8k,Llama-8B_T1.0,spectral_entropy,65.0%
gsm8k,Llama-8B_T1.0,low_band_power,69.3%
gsm8k,Llama-8B_T1.0,high_band_power,60.9%
gsm8k,Llama-8B_T1.0,hl_ratio,66.3%
gsm8k,Llama-8B_T1.0,dominant_freq,63.0%
gsm8k,Llama-8B_T1.0,spectral_centroid,68.0%
gsm8k,Llama-8B_T1.0,stft_max_high_power,52.7%
gsm8k,Llama-8B_T1.0,stft_spectral_entropy,57.0%
gsm8k,Llama-8B_T1.0,rpdi,62.5%
gsm8k,Llama-8B_T1.0,sw_var_peak,73.9%
gsm8k,Llama-8B_T1.0,pe_mean,62.8%
gsm8k,Llama-8B_T1.0,hurst_exponent,58.7%
gsm8k,Llama-8B_T1.0,cusum_max,71.4%
gsm8k,Llama-8B_T1.0,cusum_shift_idx,55.5%
gpqa,Llama-8B_T1.0,epr,51.1%
gpqa,Llama-8B_T1.0,trace_length,53.4%
