contrast_id,left_variant_id,right_variant_id,metric_id,source_metric_id,delta,ci_low,ci_high,wins,ties,losses,worst_unit_delta,worst_unit_id,family_wins,family_ties,family_losses,worst_family_delta,worst_family_id,multiplicity_family_size,inference
pb::C2_ENT_SWADAPT::P2A_TOPK10_REFERENCE::official_macro_f1,C2_ENT_SWADAPT,P2A_TOPK10_REFERENCE,macro_f1,official_macro_f1,-0.020907289602071277,-0.0354606780712074,-0.006430318889436698,0,0,8,-0.053385448454684015,processbench_gsm8k_qwen3_4b,0,0,4,-0.04305952724226336,gsm8k,4,Bonferroni simultaneous percentile interval across four opened atomic primary contrasts
pb::C2_ENT_SWADAPT::P2A_TOPK10_REFERENCE::first_error_exact,C2_ENT_SWADAPT,P2A_TOPK10_REFERENCE,first_error_exact,first_error_exact,-0.021620298115891057,-0.034904442850114785,-0.008496693799361476,0,0,8,-0.06280193236714976,processbench_gsm8k_qwen3_4b,0,0,4,-0.05797101449275363,gsm8k,1,unadjusted paired diagnostic percentile interval
pb::C2_ENT_SWADAPT::P2A_TOPK10_REFERENCE::first_error_within_one,C2_ENT_SWADAPT,P2A_TOPK10_REFERENCE,first_error_within_one,first_error_within_one,-0.004260619636696661,-0.016921878944035247,0.008345033606716299,2,1,5,-0.028985507246376885,processbench_gsm8k_qwen3_8b,0,0,4,-0.007246376811594207,omnimath,1,unadjusted paired diagnostic percentile interval
pb::C2_ENT_SWADAPT::P2A_TOPK10_REFERENCE::clean_abstention_accuracy,C2_ENT_SWADAPT,P2A_TOPK10_REFERENCE,clean_abstention_accuracy,clean_abstention_accuracy,-0.015260016652750119,-0.02432856787436479,-0.00631449420353928,2,0,6,-0.04187192118226607,processbench_math_qwen3_4b,0,0,4,-0.024630541871921235,math,1,unadjusted paired diagnostic percentile interval
pb::C2_ENT_SWADAPT::P2A_TOPK10_REFERENCE::overall_decision_accuracy,C2_ENT_SWADAPT,P2A_TOPK10_REFERENCE,overall_decision_accuracy,overall_decision_accuracy,-0.018125000000000058,-0.02681249999999996,-0.009624999999999993,1,0,7,-0.04999999999999999,processbench_gsm8k_qwen3_4b,0,0,4,-0.035,gsm8k,1,unadjusted paired diagnostic percentile interval
pb::C2_ENT_SWADAPT::R1_ENTROPY_TOP5::official_macro_f1,C2_ENT_SWADAPT,R1_ENTROPY_TOP5,macro_f1,official_macro_f1,-0.008933042181043016,-0.02328641556968838,0.00525124157735012,2,0,6,-0.033950950597556206,processbench_gsm8k_qwen3_8b,1,0,3,-0.03319637843531914,gsm8k,4,Bonferroni simultaneous percentile interval across four opened atomic primary contrasts
pb::C2_ENT_SWADAPT::R1_ENTROPY_TOP5::first_error_exact,C2_ENT_SWADAPT,R1_ENTROPY_TOP5,first_error_exact,first_error_exact,-0.013126396504677118,-0.025825379410653944,-0.0004612824300368326,2,1,5,-0.05797101449275366,processbench_gsm8k_qwen3_8b,1,0,3,-0.04830917874396137,gsm8k,1,unadjusted paired diagnostic percentile interval
pb::C2_ENT_SWADAPT::R1_ENTROPY_TOP5::first_error_within_one,C2_ENT_SWADAPT,R1_ENTROPY_TOP5,first_error_within_one,first_error_within_one,-0.007697787362984987,-0.019856469373863816,0.004526249297966213,2,0,6,-0.028985507246376885,processbench_gsm8k_qwen3_8b,0,0,4,-0.01690821256038652,gsm8k,1,unadjusted paired diagnostic percentile interval
pb::C2_ENT_SWADAPT::R1_ENTROPY_TOP5::clean_abstention_accuracy,C2_ENT_SWADAPT,R1_ENTROPY_TOP5,clean_abstention_accuracy,clean_abstention_accuracy,0.0033185840707965486,-0.004399609499889973,0.011156410460148978,4,1,3,-0.020725388601036288,processbench_gsm8k_qwen3_4b,1,3,0,-5.551115123125783e-17,omnimath,1,unadjusted paired diagnostic percentile interval
pb::C2_ENT_SWADAPT::R1_ENTROPY_TOP5::overall_decision_accuracy,C2_ENT_SWADAPT,R1_ENTROPY_TOP5,overall_decision_accuracy,overall_decision_accuracy,-0.005750000000000033,-0.013939062500000095,0.002437500000000037,4,0,4,-0.030000000000000027,processbench_gsm8k_qwen3_4b,1,0,3,-0.025000000000000022,gsm8k,1,unadjusted paired diagnostic percentile interval
