outcome,n_rows,n_selected,n_abstained,mean_selected_step_length,median_selected_step_length,q90_selected_step_length
all,6800,4793,2007,123.20321301898602,110.0,204.80000000000018
error,4442,3715,727,126.29878869448183,113.0,211.0
clean,2358,1078,1280,112.5352504638219,101.0,190.0
