held_family,candidate,candidate_role,graph_role,cell_count,tie_seed_count,eligible_cell_fraction,mean_exact_effect,mean_crt_effect,mean_min_conditional_effect,mean_liu_delta_auroc
hotpotqa,supervised_sall,supervised_metric,metric_graph,1,3,1.0,0.02662736077095409,0.020585752533388478,0.020585752533388478,-0.00026814923398699175
math500,equal_all,no_label_baseline,linear_score_graph,2,3,0.5,0.045627131914001216,0.0672311752866358,0.045627131914001216,
math500,equal_all,no_label_baseline,metric_graph,2,3,0.5,0.04815798632626151,0.0684186744087248,0.04815798632626151,0.00034578807933849376
math500,supervised_s10,supervised_metric,linear_score_graph,2,3,0.5,0.0347908251435655,0.05763079128998693,0.0347908251435655,
math500,supervised_s10,supervised_metric,metric_graph,2,3,0.5,0.04836259514793014,0.06876551830588473,0.04836259514793014,0.0026469618462635625
math500,supervised_s15,supervised_metric,linear_score_graph,2,3,0.5,0.03451444254672321,0.05587953266443849,0.03451444254672321,
math500,supervised_s15,supervised_metric,metric_graph,2,3,0.5,0.05549561648234829,0.07351206560469269,0.05549561648234829,0.0021764758533583395
math500,supervised_s5,supervised_metric,linear_score_graph,2,3,0.5,0.04659698571775343,0.06319724585942132,0.04659698571775343,
math500,supervised_s5,supervised_metric,metric_graph,2,3,0.5,0.051675818531780625,0.07668846213580353,0.051675818531780625,0.0007749631070130825
math500,supervised_sall,supervised_metric,linear_score_graph,2,3,0.5,0.04390516201017538,0.0645507186443156,0.04390516201017538,
math500,supervised_sall,supervised_metric,metric_graph,2,3,0.5,0.04792558276960233,0.06818505928121876,0.04792558276960233,0.00283133115405243
nq_open,equal_all,no_label_baseline,linear_score_graph,1,3,1.0,0.214269125653527,0.218260212220331,0.214269125653527,
nq_open,equal_all,no_label_baseline,metric_graph,1,3,1.0,0.40561499971263526,0.411990745262516,0.40561499971263526,1.454360354147255e-06
nq_open,supervised_s10,supervised_metric,linear_score_graph,1,3,1.0,0.2222215475217654,0.22574002390674638,0.2222215475217654,
nq_open,supervised_s10,supervised_metric,metric_graph,1,3,1.0,0.36882298692041576,0.3746449270896446,0.36882298692041576,7.4955495174000575e-06
nq_open,supervised_s15,supervised_metric,linear_score_graph,1,3,1.0,0.2173544632322529,0.2213354382676104,0.2173544632322529,
nq_open,supervised_s15,supervised_metric,metric_graph,1,3,1.0,0.39639304592254726,0.402731654281943,0.39639304592254726,0.0035712377865195766
nq_open,supervised_s5,supervised_metric,linear_score_graph,1,3,1.0,0.2113134208231775,0.21424377899399408,0.2113134208231775,
nq_open,supervised_s5,supervised_metric,metric_graph,1,3,1.0,0.3558914585527024,0.36208551009957163,0.3558914585527024,0.0014875868945352089
nq_open,supervised_sall,supervised_metric,linear_score_graph,1,3,1.0,0.22039204851099825,0.225252621053896,0.22039204851099825,
nq_open,supervised_sall,supervised_metric,metric_graph,1,3,1.0,0.40097636880565246,0.40725857805229765,0.40097636880565246,0.0026974468983667066
sciq,equal_all,no_label_baseline,linear_score_graph,1,3,1.0,0.049988927397534015,0.09992393657314065,0.049988927397534015,
sciq,equal_all,no_label_baseline,metric_graph,1,3,1.0,0.04041910728655988,0.10247308898096581,0.04041910728655988,0.0014811438988264758
sciq,supervised_s10,supervised_metric,linear_score_graph,1,3,1.0,0.05577820935052305,0.09201427059940055,0.05577820935052305,
sciq,supervised_s10,supervised_metric,metric_graph,1,3,1.0,0.006922923458574916,0.0641533004426649,0.006922923458574916,0.0007975390224449486
sciq,supervised_s15,supervised_metric,linear_score_graph,1,3,1.0,0.0765087305289805,0.1371962986716774,0.0765087305289805,
sciq,supervised_s15,supervised_metric,metric_graph,1,3,1.0,0.04073901509510342,0.08334988845298864,0.04073901509510342,0.004101629258288719
sciq,supervised_s5,supervised_metric,linear_score_graph,1,3,1.0,0.05756236285618255,0.12719430845383872,0.05756236285618255,
sciq,supervised_s5,supervised_metric,metric_graph,1,3,1.0,0.10210100890596963,0.1602841239909163,0.10210100890596963,0.0007975390224450596
sciq,supervised_sall,supervised_metric,linear_score_graph,1,3,1.0,0.04592420346460465,0.09929023512855419,0.04592420346460465,
sciq,supervised_sall,supervised_metric,metric_graph,1,3,1.0,0.01985768379794727,0.06905148010926239,0.01985768379794727,0.00455736584254296
squad_v2,equal_all,no_label_baseline,linear_score_graph,1,3,0.0,,,,
squad_v2,equal_all,no_label_baseline,metric_graph,1,3,1.0,0.4503846427997596,0.49559848969459486,0.4503846427997596,0.000624473353110111
squad_v2,supervised_s10,supervised_metric,linear_score_graph,1,3,1.0,0.28205249570055213,0.30323790254261446,0.28205249570055213,
squad_v2,supervised_s10,supervised_metric,metric_graph,1,3,1.0,0.28838110966408115,0.3250901103638914,0.28838110966408115,0.0013505246268743498
squad_v2,supervised_s15,supervised_metric,linear_score_graph,1,3,1.0,0.2880627512296807,0.31349790137340156,0.2880627512296807,
squad_v2,supervised_s15,supervised_metric,metric_graph,1,3,1.0,0.34344639883006733,0.38040676285332903,0.34344639883006733,0.000580033012824166
squad_v2,supervised_s5,supervised_metric,linear_score_graph,1,3,0.0,,,,
squad_v2,supervised_s5,supervised_metric,metric_graph,1,3,1.0,0.4389911935914727,0.4702183558416082,0.4389911935914727,0.010907506377477394
squad_v2,supervised_sall,supervised_metric,linear_score_graph,1,3,0.0,,,,
squad_v2,supervised_sall,supervised_metric,metric_graph,1,3,1.0,0.34273785770093396,0.3847194036412684,0.34273785770093396,0.0012016206295523135
triviaqa,equal_all,no_label_baseline,linear_score_graph,4,3,0.25,0.15397067498331218,0.15346175772040138,0.15346175772040138,
triviaqa,equal_all,no_label_baseline,metric_graph,4,3,0.75,0.3557195882278859,0.3606051650529605,0.3557195882278859,-0.0010600855581601731
triviaqa,supervised_s10,supervised_metric,linear_score_graph,4,3,0.25,0.11698071268822287,0.11905887249279508,0.11698071268822287,
triviaqa,supervised_s10,supervised_metric,metric_graph,4,3,0.75,0.35436280036748574,0.3573527245341641,0.35436280036748574,0.0009715528238033455
triviaqa,supervised_s15,supervised_metric,linear_score_graph,4,3,0.25,0.1304687779941571,0.13301835500104875,0.1304687779941571,
triviaqa,supervised_s15,supervised_metric,metric_graph,4,3,0.75,0.3493795175118482,0.3527380544172223,0.3493795175118482,0.00016928252999407847
triviaqa,supervised_s5,supervised_metric,linear_score_graph,4,3,0.25,0.12373598650505735,0.12485554462977584,0.12373598650505735,
triviaqa,supervised_s5,supervised_metric,metric_graph,4,3,0.75,0.35283867662373347,0.35566749953216187,0.35283867662373347,0.0008128515411129541
triviaqa,supervised_sall,supervised_metric,linear_score_graph,4,3,0.25,0.15419208130395576,0.15330439940201562,0.15330439940201562,
triviaqa,supervised_sall,supervised_metric,metric_graph,4,3,0.75,0.35265129942278634,0.35534247113654777,0.35265129942278634,-0.0005296828971066425
truthfulqa,equal_all,no_label_baseline,linear_score_graph,1,3,1.0,0.07078841972951645,0.0809880083687907,0.07078841972951645,
truthfulqa,equal_all,no_label_baseline,metric_graph,1,3,1.0,0.2633254001666089,0.2794195294015518,0.2633254001666089,0.0002619272921716709
truthfulqa,supervised_s10,supervised_metric,linear_score_graph,1,3,1.0,0.06869813128888715,0.07695171011682067,0.06869813128888715,
truthfulqa,supervised_s10,supervised_metric,metric_graph,1,3,1.0,0.23515851617547057,0.25197804881099023,0.23515851617547057,0.0023714744876296434
truthfulqa,supervised_s15,supervised_metric,linear_score_graph,1,3,1.0,0.07515958334144017,0.08506217502653142,0.07515958334144017,
truthfulqa,supervised_s15,supervised_metric,metric_graph,1,3,1.0,0.25616462503596904,0.2721537229241195,0.25616462503596904,0.0012466000170994196
truthfulqa,supervised_s5,supervised_metric,linear_score_graph,1,3,1.0,0.04349812555620486,0.05128175842174659,0.04349812555620486,
truthfulqa,supervised_s5,supervised_metric,metric_graph,1,3,1.0,0.18049231263638318,0.19592559672816215,0.18049231263638318,-0.00021954071791974172
truthfulqa,supervised_sall,supervised_metric,linear_score_graph,1,3,1.0,0.06592866446618612,0.0754736486146413,0.06592866446618612,
truthfulqa,supervised_sall,supervised_metric,metric_graph,1,3,1.0,0.2575068411272465,0.273085194046238,0.2575068411272465,0.0008354140190154347
