held_family,fit_seed,feature,weight,kind
hotpotqa,29,varentropy,0.08812639267754639,seed
hotpotqa,43,cusum_max,0.041577729461054716,seed
hotpotqa,43,cusum_max_energy,0.022020182563685504,seed
hotpotqa,43,cusum_max_spilled,0.04073073600127011,seed
hotpotqa,43,epr,0.08279426552290997,seed
hotpotqa,43,epr_energy,0.07369885787489273,seed
hotpotqa,43,epr_spilled,0.07366776615457016,seed
hotpotqa,43,logprob_margin,0.07708523366352199,seed
hotpotqa,43,mean_logprob_entropy,0.08221832201804348,seed
hotpotqa,43,mean_top1_logprob,0.07801953818903426,seed
hotpotqa,43,min_energy,0.061224878626261324,seed
hotpotqa,43,renyi_entropy_2,0.07967811988277847,seed
hotpotqa,43,sw_var_peak,0.06267093086446372,seed
hotpotqa,43,sw_var_peak_energy,0.030001841964162113,seed
hotpotqa,43,sw_var_peak_spilled,0.04177795807259131,seed
hotpotqa,43,topk_tail_mass,0.06749299877242133,seed
hotpotqa,43,varentropy,0.08534064036833874,seed
hotpotqa,ensemble,cusum_max,0.040386668700997115,ensemble
hotpotqa,ensemble,cusum_max_energy,0.016557084670853314,ensemble
hotpotqa,ensemble,cusum_max_spilled,0.04016495111410603,ensemble
hotpotqa,ensemble,epr,0.08497580666311971,ensemble
hotpotqa,ensemble,epr_energy,0.07590103299078406,ensemble
hotpotqa,ensemble,epr_spilled,0.0741764358824705,ensemble
hotpotqa,ensemble,logprob_margin,0.08282678060125186,ensemble
hotpotqa,ensemble,mean_logprob_entropy,0.08418041144960632,ensemble
hotpotqa,ensemble,mean_top1_logprob,0.07968929125797013,ensemble
hotpotqa,ensemble,min_energy,0.059184950168770074,ensemble
hotpotqa,ensemble,renyi_entropy_2,0.08147656712912882,ensemble
hotpotqa,ensemble,sw_var_peak,0.062014535254024616,ensemble
hotpotqa,ensemble,sw_var_peak_energy,0.02520723533880101,ensemble
hotpotqa,ensemble,sw_var_peak_spilled,0.038980800996188676,ensemble
hotpotqa,ensemble,topk_tail_mass,0.06676645601205987,ensemble
hotpotqa,ensemble,varentropy,0.08751099176986794,ensemble
sciq,17,cusum_max,0.03307786809072849,seed
sciq,17,cusum_max_energy,0.013074748776909022,seed
sciq,17,cusum_max_spilled,0.036261331823980406,seed
sciq,17,epr,0.08481575347902466,seed
sciq,17,epr_energy,0.06888060775030053,seed
sciq,17,epr_spilled,0.07635456927663035,seed
sciq,17,logprob_margin,0.08452810084180858,seed
sciq,17,mean_logprob_entropy,0.08512926972525284,seed
sciq,17,mean_top1_logprob,0.07995795781982748,seed
sciq,17,min_energy,0.061007292186792496,seed
sciq,17,renyi_entropy_2,0.08171630185532376,seed
sciq,17,sw_var_peak,0.06934831895086674,seed
sciq,17,sw_var_peak_energy,0.019886990680123416,seed
sciq,17,sw_var_peak_spilled,0.049716512886882364,seed
sciq,17,topk_tail_mass,0.06545904565712475,seed
sciq,17,varentropy,0.09078533019842426,seed
sciq,29,cusum_max,0.03690485285584057,seed
sciq,29,cusum_max_energy,0.014999196871965288,seed
sciq,29,cusum_max_spilled,0.03721572136731453,seed
sciq,29,epr,0.08501082981004131,seed
sciq,29,epr_energy,0.07219777851603074,seed
sciq,29,epr_spilled,0.07440269614269032,seed
sciq,29,logprob_margin,0.08561459612000502,seed
sciq,29,mean_logprob_entropy,0.08488820944723348,seed
sciq,29,mean_top1_logprob,0.07962859499970143,seed
sciq,29,min_energy,0.06379083301155575,seed
sciq,29,renyi_entropy_2,0.08165193017728382,seed
sciq,29,sw_var_peak,0.06905781785205273,seed
sciq,29,sw_var_peak_energy,0.018810957465952398,seed
sciq,29,sw_var_peak_spilled,0.04438405233181264,seed
sciq,29,topk_tail_mass,0.06246774877579663,seed
sciq,29,varentropy,0.08897418425472338,seed
sciq,43,cusum_max,0.03978438878039159,seed
sciq,43,cusum_max_energy,0.01985118853244497,seed
sciq,43,cusum_max_spilled,0.03989201573718188,seed
sciq,43,epr,0.08288489322370675,seed
sciq,43,epr_energy,0.072292576015822,seed
sciq,43,epr_spilled,0.07371561808883235,seed
sciq,43,logprob_margin,0.0764831365901818,seed
sciq,43,mean_logprob_entropy,0.08289536926707583,seed
sciq,43,mean_top1_logprob,0.07858844047780501,seed
sciq,43,min_energy,0.06583919451824195,seed
sciq,43,renyi_entropy_2,0.08031879726808458,seed
sciq,43,sw_var_peak,0.06790034786371006,seed
sciq,43,sw_var_peak_energy,0.023582588510992375,seed
sciq,43,sw_var_peak_spilled,0.045774846010142325,seed
sciq,43,topk_tail_mass,0.06493310986094578,seed
sciq,43,varentropy,0.08526348925444081,seed
sciq,ensemble,cusum_max,0.03658903657565355,ensemble
sciq,ensemble,cusum_max_energy,0.015975044727106428,ensemble
sciq,ensemble,cusum_max_spilled,0.03778968964282561,ensemble
sciq,ensemble,epr,0.0842371588375909,ensemble
sciq,ensemble,epr_energy,0.07112365409405108,ensemble
sciq,ensemble,epr_spilled,0.07482429450271767,ensemble
sciq,ensemble,logprob_margin,0.08220861118399847,ensemble
sciq,ensemble,mean_logprob_entropy,0.0843042828131874,ensemble
