held_family,cell,candidate,candidate_role,support_size,selected_features,graph_role,tie_seed,n,error_rate,graph_eligible,selected_k,largest_component_fraction,isolated_fraction,logistic_auroc,exact_eligible,crt_eligible,exact_effect,exact_z,exact_p,crt_effect,crt_z,crt_p,min_conditional_effect,fixed_k_positive_count,fixed_k_sensitivity,iu_auroc,liu_auroc,liu_delta_auroc
triviaqa,seiclr_triviaqa_opt30b,equal_all,no_label_baseline,16,cusum_max|cusum_max_energy|cusum_max_spilled|epr|epr_energy|epr_spilled|logprob_margin|mean_logprob_entropy|mean_top1_logprob|min_energy|renyi_entropy_2|sw_var_peak|sw_var_peak_energy|sw_var_peak_spilled|topk_tail_mass|varentropy,linear_score_graph,307,5000,0.5352,False,,0.6934,0.0,0.7760110750497184,True,True,nan,,,nan,,,nan,0,,nan,nan,nan
triviaqa,semenergy_triviaqa_qwen3_8b,equal_all,no_label_baseline,16,cusum_max|cusum_max_energy|cusum_max_spilled|epr|epr_energy|epr_spilled|logprob_margin|mean_logprob_entropy|mean_top1_logprob|min_energy|renyi_entropy_2|sw_var_peak|sw_var_peak_energy|sw_var_peak_spilled|topk_tail_mass|varentropy,metric_graph,101,4392,0.523224043715847,True,25,1.0,0.0,0.7779456909085014,True,True,0.44737648201830416,99.0261019386609,0.005,0.4511697410623426,74.57864007327547,0.005,0.44737648201830416,4,"{""10"": {""healthy"": false, ""min_conditional_effect"": 0.7321709119228522, ""positive"": true}, ""15"": {""healthy"": false, ""min_conditional_effect"": 0.5823879257742298, ""positive"": true}, ""5"": {""healthy"": false, ""min_conditional_effect"": 0.8676114158233346, ""positive"": true}, ""7"": {""healthy"": false, ""min_conditional_effect"": 0.8396271783952044, ""positive"": true}}",0.7949838861582225,0.7932748297385791,-0.0017090564196433622
triviaqa,semenergy_triviaqa_qwen3_8b,equal_all,no_label_baseline,16,cusum_max|cusum_max_energy|cusum_max_spilled|epr|epr_energy|epr_spilled|logprob_margin|mean_logprob_entropy|mean_top1_logprob|min_energy|renyi_entropy_2|sw_var_peak|sw_var_peak_energy|sw_var_peak_spilled|topk_tail_mass|varentropy,linear_score_graph,101,4392,0.523224043715847,False,,0.5514571948998178,0.0,0.7779456909085014,True,True,nan,,,nan,,,nan,0,,nan,nan,nan
triviaqa,semenergy_triviaqa_qwen3_8b,equal_all,no_label_baseline,16,cusum_max|cusum_max_energy|cusum_max_spilled|epr|epr_energy|epr_spilled|logprob_margin|mean_logprob_entropy|mean_top1_logprob|min_energy|renyi_entropy_2|sw_var_peak|sw_var_peak_energy|sw_var_peak_spilled|topk_tail_mass|varentropy,metric_graph,211,4392,0.523224043715847,True,25,1.0,0.0,0.7779456909085014,True,True,0.44739692979038365,96.7404772948432,0.005,0.4512531931924612,75.87673719493166,0.005,0.44739692979038365,4,"{""10"": {""healthy"": false, ""min_conditional_effect"": 0.7321669054727626, ""positive"": true}, ""15"": {""healthy"": false, ""min_conditional_effect"": 0.5823973218885158, ""positive"": true}, ""5"": {""healthy"": false, ""min_conditional_effect"": 0.8676030063842091, ""positive"": true}, ""7"": {""healthy"": false, ""min_conditional_effect"": 0.8396689290152567, ""positive"": true}}",0.7949838861582225,0.7932748297385791,-0.0017090564196433622
triviaqa,semenergy_triviaqa_qwen3_8b,equal_all,no_label_baseline,16,cusum_max|cusum_max_energy|cusum_max_spilled|epr|epr_energy|epr_spilled|logprob_margin|mean_logprob_entropy|mean_top1_logprob|min_energy|renyi_entropy_2|sw_var_peak|sw_var_peak_energy|sw_var_peak_spilled|topk_tail_mass|varentropy,linear_score_graph,211,4392,0.523224043715847,False,,0.5514571948998178,0.0,0.7779456909085014,True,True,nan,,,nan,,,nan,0,,nan,nan,nan
triviaqa,semenergy_triviaqa_qwen3_8b,equal_all,no_label_baseline,16,cusum_max|cusum_max_energy|cusum_max_spilled|epr|epr_energy|epr_spilled|logprob_margin|mean_logprob_entropy|mean_top1_logprob|min_energy|renyi_entropy_2|sw_var_peak|sw_var_peak_energy|sw_var_peak_spilled|topk_tail_mass|varentropy,metric_graph,307,4392,0.523224043715847,True,25,1.0,0.0,0.7779456909085014,True,True,0.44739457722021836,97.82071505405074,0.005,0.4511867743427587,75.70011042464161,0.005,0.44739457722021836,4,"{""10"": {""healthy"": false, ""min_conditional_effect"": 0.732267626942528, ""positive"": true}, ""15"": {""healthy"": false, ""min_conditional_effect"": 0.58243306589108, ""positive"": true}, ""5"": {""healthy"": false, ""min_conditional_effect"": 0.8675819015978775, ""positive"": true}, ""7"": {""healthy"": false, ""min_conditional_effect"": 0.8396464150488275, ""positive"": true}}",0.7949838861582225,0.7932748297385791,-0.0017090564196433622
triviaqa,semenergy_triviaqa_qwen3_8b,equal_all,no_label_baseline,16,cusum_max|cusum_max_energy|cusum_max_spilled|epr|epr_energy|epr_spilled|logprob_margin|mean_logprob_entropy|mean_top1_logprob|min_energy|renyi_entropy_2|sw_var_peak|sw_var_peak_energy|sw_var_peak_spilled|topk_tail_mass|varentropy,linear_score_graph,307,4392,0.523224043715847,False,,0.5514571948998178,0.0,0.7779456909085014,True,True,nan,,,nan,,,nan,0,,nan,nan,nan
triviaqa,spilled_triviaqa_llama8b,equal_all,no_label_baseline,16,cusum_max|cusum_max_energy|cusum_max_spilled|epr|epr_energy|epr_spilled|logprob_margin|mean_logprob_entropy|mean_top1_logprob|min_energy|renyi_entropy_2|sw_var_peak|sw_var_peak_energy|sw_var_peak_spilled|topk_tail_mass|varentropy,metric_graph,101,256,0.9765625,True,3,1.0,0.0,0.9306666666666668,False,False,0.014998464836246965,0.3534171124397169,0.28,0.024052831208021416,0.58888049274218,0.2,nan,0,"{""10"": {""healthy"": true, ""min_conditional_effect"": null, ""positive"": false}, ""15"": {""healthy"": true, ""min_conditional_effect"": null, ""positive"": false}, ""5"": {""healthy"": true, ""min_conditional_effect"": null, ""positive"": false}, ""7"": {""healthy"": true, ""min_conditional_effect"": null, ""positive"": false}}",0.8953333333333333,0.8933333333333333,-0.0020000000000000018
triviaqa,spilled_triviaqa_llama8b,equal_all,no_label_baseline,16,cusum_max|cusum_max_energy|cusum_max_spilled|epr|epr_energy|epr_spilled|logprob_margin|mean_logprob_entropy|mean_top1_logprob|min_energy|renyi_entropy_2|sw_var_peak|sw_var_peak_energy|sw_var_peak_spilled|topk_tail_mass|varentropy,linear_score_graph,101,256,0.9765625,True,5,1.0,0.0,0.9306666666666668,False,False,0.17247450341288695,3.1626051192661118,0.02,0.1882966629339365,6.355720915602313,0.005,nan,0,{},nan,nan,nan
triviaqa,spilled_triviaqa_llama8b,equal_all,no_label_baseline,16,cusum_max|cusum_max_energy|cusum_max_spilled|epr|epr_energy|epr_spilled|logprob_margin|mean_logprob_entropy|mean_top1_logprob|min_energy|renyi_entropy_2|sw_var_peak|sw_var_peak_energy|sw_var_peak_spilled|topk_tail_mass|varentropy,metric_graph,211,256,0.9765625,True,3,1.0,0.0,0.9306666666666668,False,False,0.014998464836246965,0.3534171124397169,0.28,0.024052831208021416,0.58888049274218,0.2,nan,0,"{""10"": {""healthy"": true, ""min_conditional_effect"": null, ""positive"": false}, ""15"": {""healthy"": true, ""min_conditional_effect"": null, ""positive"": false}, ""5"": {""healthy"": true, ""min_conditional_effect"": null, ""positive"": false}, ""7"": {""healthy"": true, ""min_conditional_effect"": null, ""positive"": false}}",0.8953333333333333,0.8933333333333333,-0.0020000000000000018
