contrast_id,left_variant_id,right_variant_id,metric_id,candidate_minus_parent_delta,ci_low,ci_high,wins,ties,losses,worst_unit_delta,worst_unit_id,multiplicity_family_size,conditional_contribution,contribution_sign
pb::P2C_F6_MINUS_PARTITION_LEVEL_VIEW::P2C_F6_TOP10_REFERENCE::official_macro_f1,P2C_F6_MINUS_PARTITION_LEVEL_VIEW,P2C_F6_TOP10_REFERENCE,macro_f1,0.004212244493953909,-0.0028018001354219394,0.011216286868304655,7,0,1,-0.009922726311964725,processbench_gsm8k_qwen3_8b,13,-0.004212244493953909,parent-minus-ablated
pb::P2C_F6_MINUS_PARTITION_LEVEL_VIEW::P2C_F6_TOP10_REFERENCE::first_error_exact,P2C_F6_MINUS_PARTITION_LEVEL_VIEW,P2C_F6_TOP10_REFERENCE,first_error_exact,-0.000737964618448772,-0.006055682564161424,0.004524697301589748,4,1,3,-0.014492753623188415,processbench_gsm8k_qwen3_8b,1,,
pb::P2C_F6_MINUS_PARTITION_LEVEL_VIEW::P2C_F6_TOP10_REFERENCE::first_error_within_one,P2C_F6_MINUS_PARTITION_LEVEL_VIEW,P2C_F6_TOP10_REFERENCE,first_error_within_one,-0.004165982879065777,-0.010108615521595773,0.0017378981315930998,3,1,4,-0.019323671497584516,processbench_gsm8k_qwen3_4b,1,,
pb::P2C_F6_MINUS_PARTITION_LEVEL_VIEW::P2C_F6_TOP10_REFERENCE::clean_abstention_accuracy,P2C_F6_MINUS_PARTITION_LEVEL_VIEW,P2C_F6_TOP10_REFERENCE,clean_abstention_accuracy,0.01645896598002272,0.009982340115215168,0.02313623513055916,6,2,0,0.0,processbench_gsm8k_qwen3_8b,1,,
pb::P2C_F6_MINUS_PARTITION_LEVEL_VIEW::P2C_F6_TOP10_REFERENCE::overall_decision_accuracy,P2C_F6_MINUS_PARTITION_LEVEL_VIEW,P2C_F6_TOP10_REFERENCE,overall_decision_accuracy,0.0059374999999999845,0.0020000000000000018,0.009874999999999967,7,0,1,-0.007500000000000007,processbench_gsm8k_qwen3_8b,1,,
