arm,nested_graph_delta_vs_iu_pp,graph_ci_low_pp,graph_ci_high_pp,positive_groups,worst_group_pp,matched_upstream_delta_vs_iu_pp,graph_increment_pp,increment_ci_low_pp,increment_ci_high_pp,independent_upstream_delta_vs_iu_pp,nrm_gain_recovery_fraction
iu_observed_mean,0.4516058351238263,-0.009230460991611872,0.9151790392339106,6,-0.5119236572687869,0.0,0.4516058351238263,-0.01223340955480201,0.9182540193957625,0.0,1.6303459751762681
su_observed_mean,-0.17107170403464805,-1.4225310472219603,0.6872403577251645,6,-4.170909410454341,-0.41082283992428026,0.23975113588963218,-0.23593459914251594,0.7008882420448227,-0.41082283992428026,-0.617587379186455
iu_all_sparse_mean,0.4261304838829142,-0.05944265175238109,0.9026516497420819,6,-0.6560386811683989,-0.014803058717541236,0.4409335426004554,-0.020008557248844244,0.8987651134521107,-0.01857819374981024,1.5383771981332641
su_all_sparse_mean,0.40338681963745626,-0.1148297462809067,0.8775698069685857,6,-0.9325654679025353,-0.011255247334359356,0.4146420669718156,-0.03324509863216421,0.8437847771219185,-0.011255247334359356,1.4562701069944268
iu_cross_sparse_mean,0.5016157170768337,0.05896736874958643,0.9419559401115319,6,-0.47102816284919635,0.00515847112962306,0.49645724594721063,0.04282762344373933,0.9422574040254439,0.00515847112962306,1.8108870652593274
su_cross_sparse_mean,0.35503549159190717,-0.1927698687612856,0.867759048370089,5,-1.1045179047326679,-0.11908710591302968,0.47412259750493685,0.05845781073712762,0.8934093290412173,-0.260532136399694,1.2817165761440692
iu_shared_cross_mean,0.45302180872722364,0.014153659500821869,0.8896200193552756,6,-0.43705656183546565,0.00896823010871887,0.4440535786185048,-0.017875340996334588,0.8959773561569238,0.007395503780416127,1.6354577932390744
su_shared_cross_mean,-0.15877555770167384,-1.369316525195494,0.6354186305489323,6,-4.045981670936893,-0.39543596995500085,0.23666041225332698,-0.21831232192547861,0.6495233737438688,-0.39377500160160617,-0.5731969592118189
iu_observed_geomedian,0.45319853691011236,-0.00011485334581801121,0.8848121804043935,6,-0.5215061643220682,0.0,0.45319853691011236,-0.0009825118968623259,0.8862278167414688,0.0,1.636095801119539
iu_cross_sparse_geomedian,0.4750392715795003,0.031045776843158693,0.9030805485696819,6,-0.5421072283108064,0.00515847112962306,0.46988080044987723,0.01892700131458277,0.9012382601038,0.00515847112962306,1.714943218698557
