target_cell,method,contract,source_count,source_cells_json,n_groups,selected_eigenvalue,distance_from_unit,unit_distance_gap,direction_json,correction_scale
gsm8k_t1.0,nrm_layer_lodo,triad,5,"[""triviaqa_t1.0"", ""sciq_t1.0"", ""truthfulqa_t0.5"", ""squadv2_t0.5"", ""nq_open_t0.5""]",32,0.9907377331550409,0.009262266844959122,0.15329441411948752,"[-0.057032179819257824, -0.036097417442136695, -0.009515162663917484, 0.012683380205729077, 0.1162062731134992, 0.16762185949679487, 0.14970602171595035, -0.054936825057199636, -0.042447649103763786, -0.23681738606208863, -0.1605988604513304, -0.05889397376657636, -0.011185174443468478, 0.09606397958573101, 0.0485428048493684, 0.011505331131045009, 0.010062646230151316, 0.07688514851810954, 0.04601598831882147, -0.03420864407621222, -0.1729887001366324, -0.2118759636129891, -0.08973781233849458, 0.11146507334484312, 0.16483309239018828, 0.12311312659182344, 0.02769626074585696, -0.12431656587967088, -0.1983460746738731, -0.1995720697805981, 0.02819843506822293, 0.7655501784685504]",0.031249999999999997
gsm8k_t1.0,nrm_layer_lomo,triad,4,"[""gsm8k_r1distill_t0.0"", ""gsm8k_phi35_t1.0"", ""gsm8k_mistral7b_t1.0"", ""gsm8k_phi3mini_t1.0""]",32,1.0228170730604376,0.022817073060437565,0.1459007009793627,"[-0.04002552632651307, 0.05834154495443819, 0.3025826513889654, 0.2313133909536801, -0.05581983653590425, -0.3346176969000034, -0.4533149275178863, -0.17657928079834118, 0.08269389381748608, 0.3253427520115171, 0.21042409939352996, 0.19693939197196972, 0.06890024132602496, 0.014489366402486912, -0.0224352985192251, -0.1654012372693804, -0.2579133444081882, -0.0901424701425511, 0.1837011143526127, 0.24654802821205532, 0.13638616589019054, 0.030666100519105, -0.10550560767457903, -0.10254158791046437, -0.07581947267596306, 0.030852106625567564, 0.055169549480490035, 0.07863847891623021, 0.06188910378966137, 0.04453929562267338, -0.12566059409423516, -0.14733404168030606]",0.03125
gsm8k_t1.0,nrm_layer_loco,triad,9,"[""triviaqa_t1.0"", ""sciq_t1.0"", ""truthfulqa_t0.5"", ""squadv2_t0.5"", ""nq_open_t0.5"", ""gsm8k_r1distill_t0.0"", ""gsm8k_phi35_t1.0"", ""gsm8k_mistral7b_t1.0"", ""gsm8k_phi3mini_t1.0""]",32,0.895720609961338,0.10427939003866205,0.027080020319460996,"[-0.298743984745868, -0.2749432148609604, -0.0774047322456877, 0.01445806912213825, 0.1960172944170169, 0.4093546876060729, 0.4560873229863337, 0.11019103414388229, -0.12305483136252558, -0.43594961790229503, -0.2010921962847054, -0.11239363391303593, 0.01957700450334035, 0.11199682582790758, 0.08715945990641709, -0.007113168403414409, 0.05052091006429619, 0.09550867624069206, 0.03920105933927859, -0.02655887393256949, -0.09168180531611062, -0.11203506441815227, -0.025822928541574395, 0.05873305915446105, 0.10476706876803192, 0.07343043576016614, 0.042324906950982295, -0.054575584781736804, -0.09752775580502389, -0.09099258441130313, 0.04964988711723625, 0.20876409577988053]",0.03125
gsm8k_t1.0,nrm_layer_kl_lodo,kl_sensitivity,5,"[""triviaqa_t1.0"", ""sciq_t1.0"", ""truthfulqa_t0.5"", ""squadv2_t0.5"", ""nq_open_t0.5""]",32,0.9624960107709195,0.03750398922908049,0.0632452342877905,"[-0.03077627612226405, -0.009623383990456869, 0.10021847059525324, 0.10438851252646983, 0.06958428404188746, -0.05369599499513961, 0.002365161671952138, -0.010860042068630393, -0.01109931673149263, 0.12755509202382254, -0.019844575879881126, -0.09730655844700956, -0.07123060478752977, -0.0606503923757326, 0.09176732050598728, 0.38294938729362726, 0.35665793313571476, 0.06506578665131237, -0.1454191044214681, -0.26357956860016285, -0.15390981877716026, 0.055717234823379674, 0.281257239421039, 0.22927589678553534, 0.10656314258773612, -0.03870882405118043, -0.12304103809154288, -0.14313488851295822, -0.09064846604048099, 0.015174909661738414, 0.31267924992950996, -0.4948429703348004]",0.03125
gsm8k_t1.0,nrm_layer_llama_loco,triad,5,"[""triviaqa_t1.0"", ""sciq_t1.0"", ""truthfulqa_t0.5"", ""squadv2_t0.5"", ""nq_open_t0.5""]",32,0.9907377331550409,0.009262266844959122,0.15329441411948752,"[-0.057032179819257824, -0.036097417442136695, -0.009515162663917484, 0.012683380205729077, 0.1162062731134992, 0.16762185949679487, 0.14970602171595035, -0.054936825057199636, -0.042447649103763786, -0.23681738606208863, -0.1605988604513304, -0.05889397376657636, -0.011185174443468478, 0.09606397958573101, 0.0485428048493684, 0.011505331131045009, 0.010062646230151316, 0.07688514851810954, 0.04601598831882147, -0.03420864407621222, -0.1729887001366324, -0.2118759636129891, -0.08973781233849458, 0.11146507334484312, 0.16483309239018828, 0.12311312659182344, 0.02769626074585696, -0.12431656587967088, -0.1983460746738731, -0.1995720697805981, 0.02819843506822293, 0.7655501784685504]",0.031249999999999997
gsm8k_t1.0,nrm_layer_gsm8k_loco,triad,4,"[""gsm8k_r1distill_t0.0"", ""gsm8k_phi35_t1.0"", ""gsm8k_mistral7b_t1.0"", ""gsm8k_phi3mini_t1.0""]",32,1.0228170730604376,0.022817073060437565,0.1459007009793627,"[-0.04002552632651307, 0.05834154495443819, 0.3025826513889654, 0.2313133909536801, -0.05581983653590425, -0.3346176969000034, -0.4533149275178863, -0.17657928079834118, 0.08269389381748608, 0.3253427520115171, 0.21042409939352996, 0.19693939197196972, 0.06890024132602496, 0.014489366402486912, -0.0224352985192251, -0.1654012372693804, -0.2579133444081882, -0.0901424701425511, 0.1837011143526127, 0.24654802821205532, 0.13638616589019054, 0.030666100519105, -0.10550560767457903, -0.10254158791046437, -0.07581947267596306, 0.030852106625567564, 0.055169549480490035, 0.07863847891623021, 0.06188910378966137, 0.04453929562267338, -0.12566059409423516, -0.14733404168030606]",0.03125
triviaqa_t1.0,nrm_layer_lodo,triad,9,"[""gsm8k_t1.0"", ""sciq_t1.0"", ""truthfulqa_t0.5"", ""squadv2_t0.5"", ""nq_open_t0.5"", ""gsm8k_r1distill_t0.0"", ""gsm8k_phi35_t1.0"", ""gsm8k_mistral7b_t1.0"", ""gsm8k_phi3mini_t1.0""]",32,1.0934214448377317,0.09342144483773174,0.006919906905292872,"[-0.3464470527747814, -0.27279180211174764, 0.13625844464168865, 0.19233082490825273, 0.1030041080868193, -0.11720325578356415, -0.227058401337749, 0.03399228658558701, 0.2497342235332027, 0.26644013309421766, 0.06088115273383824, -0.17467960790424242, -0.25439918706718645, -0.1784329965862065, -0.011501284335185779, 0.2916062325170157, 0.280445855863671, 0.1277904049917435, -0.091578289056851, -0.1886556855948452, -0.19548874480299064, -0.07852442907937883, 0.0646906465489993, 0.15444750231132653, 0.13648288512239318, 0.03883509821464663, -0.011552334412588855, -0.09583165081163963, -0.12559393563353385, -0.06232224397828938, 0.19281264156735736, 0.16117436881183192]",0.03125
triviaqa_t1.0,nrm_layer_lomo,triad,4,"[""gsm8k_r1distill_t0.0"", ""gsm8k_phi35_t1.0"", ""gsm8k_mistral7b_t1.0"", ""gsm8k_phi3mini_t1.0""]",32,1.0228170730604376,0.022817073060437565,0.1459007009793627,"[-0.04002552632651307, 0.05834154495443819, 0.3025826513889654, 0.2313133909536801, -0.05581983653590425, -0.3346176969000034, -0.4533149275178863, -0.17657928079834118, 0.08269389381748608, 0.3253427520115171, 0.21042409939352996, 0.19693939197196972, 0.06890024132602496, 0.014489366402486912, -0.0224352985192251, -0.1654012372693804, -0.2579133444081882, -0.0901424701425511, 0.1837011143526127, 0.24654802821205532, 0.13638616589019054, 0.030666100519105, -0.10550560767457903, -0.10254158791046437, -0.07581947267596306, 0.030852106625567564, 0.055169549480490035, 0.07863847891623021, 0.06188910378966137, 0.04453929562267338, -0.12566059409423516, -0.14733404168030606]",0.031249999999999997
triviaqa_t1.0,nrm_layer_loco,triad,9,"[""gsm8k_t1.0"", ""sciq_t1.0"", ""truthfulqa_t0.5"", ""squadv2_t0.5"", ""nq_open_t0.5"", ""gsm8k_r1distill_t0.0"", ""gsm8k_phi35_t1.0"", ""gsm8k_mistral7b_t1.0"", ""gsm8k_phi3mini_t1.0""]",32,1.0934214448377317,0.09342144483773174,0.006919906905292872,"[-0.3464470527747814, -0.27279180211174764, 0.13625844464168865, 0.19233082490825273, 0.1030041080868193, -0.11720325578356415, -0.227058401337749, 0.03399228658558701, 0.2497342235332027, 0.26644013309421766, 0.06088115273383824, -0.17467960790424242, -0.25439918706718645, -0.1784329965862065, -0.011501284335185779, 0.2916062325170157, 0.280445855863671, 0.1277904049917435, -0.091578289056851, -0.1886556855948452, -0.19548874480299064, -0.07852442907937883, 0.0646906465489993, 0.15444750231132653, 0.13648288512239318, 0.03883509821464663, -0.011552334412588855, -0.09583165081163963, -0.12559393563353385, -0.06232224397828938, 0.19281264156735736, 0.16117436881183192]",0.03125
triviaqa_t1.0,nrm_layer_kl_lodo,kl_sensitivity,9,"[""gsm8k_t1.0"", ""sciq_t1.0"", ""truthfulqa_t0.5"", ""squadv2_t0.5"", ""nq_open_t0.5"", ""gsm8k_r1distill_t0.0"", ""gsm8k_phi35_t1.0"", ""gsm8k_mistral7b_t1.0"", ""gsm8k_phi3mini_t1.0""]",32,0.9365637650521662,0.06343623494783379,0.07904525196960488,"[0.4665765947216744, 0.4374484224631112, -0.006139145927789955, -0.034873971403380895, -0.13514890517995956, -0.023116003482960633, -0.030984294947424502, -0.07816269734953979, -0.0704242150818688, 0.036119544353240836, 0.06425413468518396, 0.1444772842975921, 0.18539448801622424, 0.06508576560993953, -0.01634913277400165, -0.11452998427513329, -0.1255745742802338, -0.06637166230394681, 0.03285952090084567, 0.09385628961097782, 0.13946107475766917, 0.11740249954708794, -0.008864784224822732, -0.07424751392788001, -0.09358826168562832, -0.05152020126299006, 0.0033652122950583283, 0.08507008150690466, 0.11448873199223189, 0.06664553071172424, -0.4776446358496318, -0.38382566351238107]",0.031249999999999997
triviaqa_t1.0,nrm_layer_llama_loco,triad,5,"[""gsm8k_t1.0"", ""sciq_t1.0"", ""truthfulqa_t0.5"", ""squadv2_t0.5"", ""nq_open_t0.5""]",32,0.9279683653642976,0.07203163463570239,0.044356731628081514,"[0.10903634303696606, 0.03348156708050108, 0.040731595507988105, 0.06957265381382678, -0.1469436192165487, -0.31089783955960737, -0.2593823079097021, -0.004762929883010005, 0.08419193318290684, 0.38309196081111374, 0.2261525289561528, 0.0609915152643883, -0.017084925814656836, -0.19007232344261535, -0.06706766799598218, 0.11915758825015889, 0.08865879867338726, -0.058195184389411486, -0.1405460813719621, -0.05554775155050715, 0.13772549553531402, 0.22782857917954968, 0.18674998166414913, -0.06068461157007983, -0.1616097063664671, -0.1784348499278149, -0.08121961672849591, 0.16653907665989595, 0.2816131236193492, 0.23629414511587377, -0.057464232418657814, -0.39605614605503614]",0.03125
sciq_t1.0,nrm_layer_lodo,triad,9,"[""gsm8k_t1.0"", ""triviaqa_t1.0"", ""truthfulqa_t0.5"", ""squadv2_t0.5"", ""nq_open_t0.5"", ""gsm8k_r1distill_t0.0"", ""gsm8k_phi35_t1.0"", ""gsm8k_mistral7b_t1.0"", ""gsm8k_phi3mini_t1.0""]",32,1.0440814152337095,0.04408141523370945,0.08168653320058783,"[0.22135509839832698, 0.1850982273159536, -0.010457505351393783, -0.04675982841389538, -0.054435267029040564, 0.05652243355511515, 0.1937340466810645, -0.055728312368615446, -0.2713847952732164, -0.27241996314477873, 0.02444460110637167, 0.22264473552594907, 0.2823038959439785, 0.16043545122938746, -0.011855337952418853, -0.32513050940758725, -0.30513223539648865, -0.10666757300365887, 0.15853970071305387, 0.26902828653871586, 0.21979555149212848, 0.04489668001663111, -0.12461352719209748, -0.1843784931313711, -0.10812916758793638, 0.0017461364484856006, 0.051167242072032416, 0.14057381142146358, 0.15736686676303455, 0.06585373790754749, -0.22306268582511732, -0.20870005927389537]",0.03125
sciq_t1.0,nrm_layer_lomo,triad,4,"[""gsm8k_r1distill_t0.0"", ""gsm8k_phi35_t1.0"", ""gsm8k_mistral7b_t1.0"", ""gsm8k_phi3mini_t1.0""]",32,1.0228170730604376,0.022817073060437565,0.1459007009793627,"[-0.04002552632651307, 0.05834154495443819, 0.3025826513889654, 0.2313133909536801, -0.05581983653590425, -0.3346176969000034, -0.4533149275178863, -0.17657928079834118, 0.08269389381748608, 0.3253427520115171, 0.21042409939352996, 0.19693939197196972, 0.06890024132602496, 0.014489366402486912, -0.0224352985192251, -0.1654012372693804, -0.2579133444081882, -0.0901424701425511, 0.1837011143526127, 0.24654802821205532, 0.13638616589019054, 0.030666100519105, -0.10550560767457903, -0.10254158791046437, -0.07581947267596306, 0.030852106625567564, 0.055169549480490035, 0.07863847891623021, 0.06188910378966137, 0.04453929562267338, -0.12566059409423516, -0.14733404168030606]",0.03125
sciq_t1.0,nrm_layer_loco,triad,9,"[""gsm8k_t1.0"", ""triviaqa_t1.0"", ""truthfulqa_t0.5"", ""squadv2_t0.5"", ""nq_open_t0.5"", ""gsm8k_r1distill_t0.0"", ""gsm8k_phi35_t1.0"", ""gsm8k_mistral7b_t1.0"", ""gsm8k_phi3mini_t1.0""]",32,1.0440814152337095,0.04408141523370945,0.08168653320058783,"[0.22135509839832698, 0.1850982273159536, -0.010457505351393783, -0.04675982841389538, -0.054435267029040564, 0.05652243355511515, 0.1937340466810645, -0.055728312368615446, -0.2713847952732164, -0.27241996314477873, 0.02444460110637167, 0.22264473552594907, 0.2823038959439785, 0.16043545122938746, -0.011855337952418853, -0.32513050940758725, -0.30513223539648865, -0.10666757300365887, 0.15853970071305387, 0.26902828653871586, 0.21979555149212848, 0.04489668001663111, -0.12461352719209748, -0.1843784931313711, -0.10812916758793638, 0.0017461364484856006, 0.051167242072032416, 0.14057381142146358, 0.15736686676303455, 0.06585373790754749, -0.22306268582511732, -0.20870005927389537]",0.03125
