cell,dataset,model,method,display_method,auroc,auprc,prevalence,n_samples,n_groups,n_layers,labels_seen_during_fit
gsm8k_t1.0,GSM8K,meta-llama/Llama-3.1-8B-Instruct,final_nll,Final-layer NLL,0.770161622825101,0.6531795472926021,0.2701612903225806,496,496,32,False
gsm8k_t1.0,GSM8K,meta-llama/Llama-3.1-8B-Instruct,iu_compressed,IU-PCR · one averaged expert/layer,0.5802754184876721,0.38334638098309926,0.2701612903225806,496,496,32,False
gsm8k_t1.0,GSM8K,meta-llama/Llama-3.1-8B-Instruct,iu_layer_triad,IU-PCR · layer-organic triad,0.6901129710563207,0.5005338739255198,0.2701612903225806,496,496,32,False
gsm8k_t1.0,GSM8K,meta-llama/Llama-3.1-8B-Instruct,nrm_layer_lodo,Layer-organic NRM · leave-dataset-out,0.6944627690277894,0.5089182342414869,0.2701612903225806,496,496,32,False
gsm8k_t1.0,GSM8K,meta-llama/Llama-3.1-8B-Instruct,nrm_layer_lomo,Layer-organic NRM · leave-model-out,0.6909994227756246,0.5004632178255211,0.2701612903225806,496,496,32,False
gsm8k_t1.0,GSM8K,meta-llama/Llama-3.1-8B-Instruct,nrm_layer_loco,Layer-organic NRM · leave-cell-out,0.6885462191803413,0.49887601607700377,0.2701612903225806,496,496,32,False
gsm8k_t1.0,GSM8K,meta-llama/Llama-3.1-8B-Instruct,iu_layer_kl,IU-PCR · layer-organic + KL sensitivity,0.49381545312113473,0.30334087105854435,0.2701612903225806,496,496,32,False
gsm8k_t1.0,GSM8K,meta-llama/Llama-3.1-8B-Instruct,nrm_layer_kl_lodo,Layer-organic NRM + KL · leave-dataset-out,0.48934196421208875,0.30014020517175055,0.2701612903225806,496,496,32,False
gsm8k_t1.0,GSM8K,meta-llama/Llama-3.1-8B-Instruct,nrm_layer_llama_loco,Layer-organic NRM · Llama-only leave-cell-out,0.6944627690277894,0.5089182342414869,0.2701612903225806,496,496,32,False
gsm8k_t1.0,GSM8K,meta-llama/Llama-3.1-8B-Instruct,nrm_layer_gsm8k_loco,Layer-organic NRM · GSM8K-32L leave-model-out,0.6909994227756246,0.5004632178255211,0.2701612903225806,496,496,32,False
triviaqa_t1.0,TriviaQA,meta-llama/Llama-3.1-8B-Instruct,final_nll,Final-layer NLL,0.8254595588235294,0.9062045500881047,0.68,500,500,32,False
triviaqa_t1.0,TriviaQA,meta-llama/Llama-3.1-8B-Instruct,iu_compressed,IU-PCR · one averaged expert/layer,0.8278676470588235,0.9044594549503961,0.68,500,500,32,False
triviaqa_t1.0,TriviaQA,meta-llama/Llama-3.1-8B-Instruct,iu_layer_triad,IU-PCR · layer-organic triad,0.22106617647058827,0.5554177157405994,0.68,500,500,32,False
triviaqa_t1.0,TriviaQA,meta-llama/Llama-3.1-8B-Instruct,nrm_layer_lodo,Layer-organic NRM · leave-dataset-out,0.22229779411764702,0.5555604337449381,0.68,500,500,32,False
triviaqa_t1.0,TriviaQA,meta-llama/Llama-3.1-8B-Instruct,nrm_layer_lomo,Layer-organic NRM · leave-model-out,0.2200551470588235,0.5541183679144726,0.68,500,500,32,False
triviaqa_t1.0,TriviaQA,meta-llama/Llama-3.1-8B-Instruct,nrm_layer_loco,Layer-organic NRM · leave-cell-out,0.22229779411764702,0.5555604337449381,0.68,500,500,32,False
triviaqa_t1.0,TriviaQA,meta-llama/Llama-3.1-8B-Instruct,iu_layer_kl,IU-PCR · layer-organic + KL sensitivity,0.8622610294117647,0.9376135530441467,0.68,500,500,32,False
triviaqa_t1.0,TriviaQA,meta-llama/Llama-3.1-8B-Instruct,nrm_layer_kl_lodo,Layer-organic NRM + KL · leave-dataset-out,0.8606617647058823,0.936873049388315,0.68,500,500,32,False
triviaqa_t1.0,TriviaQA,meta-llama/Llama-3.1-8B-Instruct,nrm_layer_llama_loco,Layer-organic NRM · Llama-only leave-cell-out,0.22218749999999998,0.5581777492923328,0.68,500,500,32,False
sciq_t1.0,SciQ,meta-llama/Llama-3.1-8B-Instruct,final_nll,Final-layer NLL,0.7098571441814758,0.24060572459738386,0.123,1000,1000,32,False
sciq_t1.0,SciQ,meta-llama/Llama-3.1-8B-Instruct,iu_compressed,IU-PCR · one averaged expert/layer,0.7617802745872385,0.3482525379516697,0.123,1000,1000,32,False
sciq_t1.0,SciQ,meta-llama/Llama-3.1-8B-Instruct,iu_layer_triad,IU-PCR · layer-organic triad,0.7121469162240083,0.2820313360137606,0.123,1000,1000,32,False
sciq_t1.0,SciQ,meta-llama/Llama-3.1-8B-Instruct,nrm_layer_lodo,Layer-organic NRM · leave-dataset-out,0.7116555886197402,0.27928688570533444,0.123,1000,1000,32,False
sciq_t1.0,SciQ,meta-llama/Llama-3.1-8B-Instruct,nrm_layer_lomo,Layer-organic NRM · leave-model-out,0.709810792520696,0.2762829167061348,0.123,1000,1000,32,False
sciq_t1.0,SciQ,meta-llama/Llama-3.1-8B-Instruct,nrm_layer_loco,Layer-organic NRM · leave-cell-out,0.7116555886197402,0.27928688570533444,0.123,1000,1000,32,False
sciq_t1.0,SciQ,meta-llama/Llama-3.1-8B-Instruct,iu_layer_kl,IU-PCR · layer-organic + KL sensitivity,0.7805712378674526,0.38208000490279487,0.123,1000,1000,32,False
sciq_t1.0,SciQ,meta-llama/Llama-3.1-8B-Instruct,nrm_layer_kl_lodo,Layer-organic NRM + KL · leave-dataset-out,0.7793475540228606,0.3752683056689643,0.123,1000,1000,32,False
sciq_t1.0,SciQ,meta-llama/Llama-3.1-8B-Instruct,nrm_layer_llama_loco,Layer-organic NRM · Llama-only leave-cell-out,0.7119707799130442,0.2841683540800248,0.123,1000,1000,32,False
truthfulqa_t0.5,TruthfulQA,meta-llama/Llama-3.1-8B-Instruct,final_nll,Final-layer NLL,0.6242406400468683,0.919964520288771,0.8843329253365974,8170,817,32,False
truthfulqa_t0.5,TruthfulQA,meta-llama/Llama-3.1-8B-Instruct,iu_compressed,IU-PCR · one averaged expert/layer,0.5023946101316343,0.8788651263964861,0.8843329253365974,8170,817,32,False
truthfulqa_t0.5,TruthfulQA,meta-llama/Llama-3.1-8B-Instruct,iu_layer_triad,IU-PCR · layer-organic triad,0.5300424378901887,0.8777748861699046,0.8843329253365974,8170,817,32,False
truthfulqa_t0.5,TruthfulQA,meta-llama/Llama-3.1-8B-Instruct,nrm_layer_lodo,Layer-organic NRM · leave-dataset-out,0.5261716922062943,0.876777722753034,0.8843329253365974,8170,817,32,False
truthfulqa_t0.5,TruthfulQA,meta-llama/Llama-3.1-8B-Instruct,nrm_layer_lomo,Layer-organic NRM · leave-model-out,0.5286498599439775,0.8771391504858518,0.8843329253365974,8170,817,32,False
