contrast,cohort,n_cells,lhs,rhs,metric,delta,ci_low,ci_high,wins,ties,losses,worst_cell_delta,p_raw,p_holm,focal,analysis_role,per_cell_deltas_json
organic_lodo_minus_atomic_iu,all_32layer,10,nrm_layer_lodo,iu_layer_triad,auroc,0.0013567690951741818,0.0007948707006854084,0.0019360968401050654,6,1,3,-0.003870745683894339,0.232421875,1.0,True,retrospective_post_v2,"{""gsm8k_mistral7b_t1.0"": 0.004828564871839358, ""gsm8k_phi35_t1.0"": 0.005844635363195905, ""gsm8k_phi3mini_t1.0"": 0.0023115260582279307, ""gsm8k_r1distill_t0.0"": 0.005209605209605228, ""gsm8k_t1.0"": 0.004349797971468616, ""nq_open_t0.5"": -0.0020523640226335904, ""sciq_t1.0"": -0.0004913276042680659, ""squadv2_t0.5"": -0.0037936188588579833, ""triviaqa_t1.0"": 0.001231617647058758, ""truthfulqa_t0.5"": -0.003870745683894339}"
organic_lodo_minus_atomic_iu,all_32layer,10,nrm_layer_lodo,iu_layer_triad,auprc,0.001854343005891862,0.0009052759344794237,0.0028380423425888165,5,2,3,-0.0033815776857849533,0.232421875,1.0,False,retrospective_post_v2,"{""gsm8k_mistral7b_t1.0"": 0.004981563398662847, ""gsm8k_phi35_t1.0"": 0.007454025584996582, ""gsm8k_phi3mini_t1.0"": 0.0029893058605065526, ""gsm8k_r1distill_t0.0"": 0.0035064777459345997, ""gsm8k_t1.0"": 0.00838436031596701, ""nq_open_t0.5"": -0.0017918294404059565, ""sciq_t1.0"": -0.002744450308426183, ""squadv2_t0.5"": -0.0033815776857849533, ""triviaqa_t1.0"": 0.00014271800433873771, ""truthfulqa_t0.5"": -0.0009971634168706167}"
organic_lomo_minus_atomic_iu,all_32layer,10,nrm_layer_lomo,iu_layer_triad,auroc,-0.0004946964153375282,-0.0010266996876929077,6.507494047746294e-05,1,4,5,-0.0024756848523423414,0.322265625,1.0,True,retrospective_post_v2,"{""gsm8k_mistral7b_t1.0"": -8.43008416033797e-05, ""gsm8k_phi35_t1.0"": 0.000490805280884743, ""gsm8k_phi3mini_t1.0"": -0.0016800847935412033, ""gsm8k_r1distill_t0.0"": 0.0027472527472527375, ""gsm8k_t1.0"": 0.0008864517193039045, ""nq_open_t0.5"": -0.0024756848523423414, ""sciq_t1.0"": -0.002336123703312265, ""squadv2_t0.5"": -9.167235204154967e-05, ""triviaqa_t1.0"": -0.0010110294117647578, ""truthfulqa_t0.5"": -0.001392577946211171}"
organic_lomo_minus_atomic_iu,all_32layer,10,nrm_layer_lomo,iu_layer_triad,auprc,-0.0006493625235644673,-0.0014933776487442948,0.00010511741643516823,1,5,4,-0.005748419307625818,0.4921875,1.0,False,retrospective_post_v2,"{""gsm8k_mistral7b_t1.0"": 0.0008708743610600367, ""gsm8k_phi35_t1.0"": 0.0008400037735153409, ""gsm8k_phi3mini_t1.0"": -0.0010664472238707257, ""gsm8k_r1distill_t0.0"": 0.0022527488367591886, ""gsm8k_t1.0"": -7.06560999987893e-05, ""nq_open_t0.5"": -0.0025188857110794993, ""sciq_t1.0"": -0.005748419307625818, ""squadv2_t0.5"": 0.0008822396457752735, ""triviaqa_t1.0"": -0.0012993478261268399, ""truthfulqa_t0.5"": -0.0006357356840528405}"
organic_loco_minus_atomic_iu,all_32layer,10,nrm_layer_loco,iu_layer_triad,auroc,-0.0009069518005581755,-0.0014697166813124247,-0.000329694949840633,2,3,5,-0.003870745683894339,0.193359375,1.0,False,retrospective_post_v2,"{""gsm8k_mistral7b_t1.0"": -8.43008416033797e-05, ""gsm8k_phi35_t1.0"": 0.000490805280884743, ""gsm8k_phi3mini_t1.0"": -0.0016800847935412033, ""gsm8k_r1distill_t0.0"": 0.0027472527472527375, ""gsm8k_t1.0"": -0.001566751875979433, ""nq_open_t0.5"": -0.0020523640226335904, ""sciq_t1.0"": -0.0004913276042680659, ""squadv2_t0.5"": -0.0037936188588579833, ""triviaqa_t1.0"": 0.001231617647058758, ""truthfulqa_t0.5"": -0.003870745683894339}"
organic_loco_minus_atomic_iu,all_32layer,10,nrm_layer_loco,iu_layer_triad,auprc,-0.0007532980948201206,-0.0015469712307066938,7.981145980903293e-05,1,4,5,-0.0033815776857849533,0.193359375,1.0,False,retrospective_post_v2,"{""gsm8k_mistral7b_t1.0"": 0.0008708743610600367, ""gsm8k_phi35_t1.0"": 0.0008400037735153409, ""gsm8k_phi3mini_t1.0"": -0.0010664472238707257, ""gsm8k_r1distill_t0.0"": 0.0022527488367591886, ""gsm8k_t1.0"": -0.0016578578485160755, ""nq_open_t0.5"": -0.0017918294404059565, ""sciq_t1.0"": -0.002744450308426183, ""squadv2_t0.5"": -0.0033815776857849533, ""triviaqa_t1.0"": 0.00014271800433873771, ""truthfulqa_t0.5"": -0.0009971634168706167}"
atomic_iu_minus_compressed_iu,all_32layer,10,iu_layer_triad,iu_compressed,auroc,-0.039247136423805964,-0.059727234493431224,-0.017985090999608558,5,0,5,-0.6068014705882353,1.0,1.0,False,retrospective_post_v2,"{""gsm8k_mistral7b_t1.0"": 0.09819408863765156, ""gsm8k_phi35_t1.0"": 0.10102033464815119, ""gsm8k_phi3mini_t1.0"": 0.1931139074938547, ""gsm8k_r1distill_t0.0"": -0.09538054538054541, ""gsm8k_t1.0"": 0.10983755256864869, ""nq_open_t0.5"": -0.1328917004677329, ""sciq_t1.0"": -0.04963335836323024, ""squadv2_t0.5"": -0.03757800054517624, ""triviaqa_t1.0"": -0.6068014705882353, ""truthfulqa_t0.5"": 0.027647827758554344}"
atomic_iu_minus_compressed_iu,all_32layer,10,iu_layer_triad,iu_compressed,auprc,-0.01601357788641055,-0.03328765202319747,0.002895636315250955,4,0,6,-0.34904173920979675,1.0,1.0,False,retrospective_post_v2,"{""gsm8k_mistral7b_t1.0"": 0.08786075472598798, ""gsm8k_phi35_t1.0"": 0.07076255607501597, ""gsm8k_phi3mini_t1.0"": 0.1784898082166954, ""gsm8k_r1distill_t0.0"": -0.07374409737544807, ""gsm8k_t1.0"": 0.11718749294242059, ""nq_open_t0.5"": -0.11158947968906463, ""sciq_t1.0"": -0.06622120193790909, ""squadv2_t0.5"": -0.01274963238542548, ""triviaqa_t1.0"": -0.34904173920979675, ""truthfulqa_t0.5"": -0.0010902402265814404}"
organic_lodo_minus_final_nll,all_32layer,10,nrm_layer_lodo,final_nll,auroc,-0.13643779580972373,-0.15303091210801362,-0.11827694784020056,3,0,7,-0.6031617647058823,0.02734375,0.4375,False,retrospective_post_v2,"{""gsm8k_mistral7b_t1.0"": -0.07557570449744977, ""gsm8k_phi35_t1.0"": -0.08994794762342173, ""gsm8k_phi3mini_t1.0"": 0.00648072976569003, ""gsm8k_r1distill_t0.0"": -0.2115588115588114, ""gsm8k_t1.0"": -0.07569885379731167, ""nq_open_t0.5"": -0.2437167576848452, ""sciq_t1.0"": 0.0017984444382643794, ""squadv2_t0.5"": 0.025071655407104543, ""triviaqa_t1.0"": -0.6031617647058823, ""truthfulqa_t0.5"": -0.09806894784057396}"
organic_lodo_minus_final_nll,all_32layer,10,nrm_layer_lodo,final_nll,auprc,-0.10201266415999029,-0.11802176328299173,-0.08425164493931778,3,0,7,-0.3506441163431666,0.048828125,0.732421875,False,retrospective_post_v2,"{""gsm8k_mistral7b_t1.0"": -0.08513539902899059, ""gsm8k_phi35_t1.0"": -0.15535957364132008, ""gsm8k_phi3mini_t1.0"": 0.013840243732037683, ""gsm8k_r1distill_t0.0"": -0.20087631181475024, ""gsm8k_t1.0"": -0.14426131305111523, ""nq_open_t0.5"": -0.20846239413867035, ""sciq_t1.0"": 0.038681161107950585, ""squadv2_t0.5"": 0.1152778591138588, ""triviaqa_t1.0"": -0.3506441163431666, ""truthfulqa_t0.5"": -0.043186797535736954}"
