cohort,n_cells,method,display_method,macro_auroc,macro_auroc_ci_low,macro_auroc_ci_high,macro_auprc,macro_auprc_ci_low,macro_auprc_ci_high
all_32layer,10,final_nll,Final-layer NLL,0.714045129957887,0.7009656547723931,0.7258317563498425,0.6007450651382943,0.5857454518716884,0.6193334035126299
all_32layer,10,iu_compressed,IU-PCR · one averaged expert/layer,0.6154977014767951,0.6009848970931608,0.62864846057294,0.5128916358588226,0.49940978241978584,0.5310904488513111
all_32layer,10,iu_layer_triad,IU-PCR · layer-organic triad,0.5762505650529891,0.5620502857584878,0.5905979079628294,0.4968780579724121,0.48281853896237953,0.5157331323504413
all_32layer,10,nrm_layer_lodo,Layer-organic NRM · leave-dataset-out,0.5776073341481633,0.5636543196264688,0.5920193952875917,0.49873240097830396,0.4847561111446959,0.517800404947845
all_32layer,10,nrm_layer_lomo,Layer-organic NRM · leave-model-out,0.5757558686376516,0.5616919468879715,0.5900318511981271,0.49622869544884757,0.48244574351732633,0.515132893384566
all_32layer,10,nrm_layer_loco,Layer-organic NRM · leave-cell-out,0.575343613252431,0.5612292924068071,0.5897979054034019,0.49612475987759197,0.48233206876784596,0.5149703357473508
all_32layer,10,iu_layer_kl,IU-PCR · layer-organic + KL sensitivity,0.6018325746007867,0.588109761097963,0.614980100293428,0.5047216208870109,0.49237423113229845,0.5222150733230507
all_32layer,10,nrm_layer_kl_lodo,Layer-organic NRM + KL · leave-dataset-out,0.60084952689759,0.5872145671812286,0.6140768291450168,0.5036624965968202,0.4914635253423062,0.5213312063441596
same_model_llama_six,6,final_nll,Final-layer NLL,0.7230878758121765,0.7062871938786083,0.7388411945998583,0.662718456632265,0.6443447080219583,0.6820280320767148
same_model_llama_six,6,iu_compressed,IU-PCR · one averaged expert/layer,0.6731328034796856,0.6547901829398067,0.6904035197614218,0.6346013136640415,0.6142812542482415,0.6580494203679218
same_model_llama_six,6,iu_layer_triad,IU-PCR · layer-organic triad,0.5582296118734903,0.5395130251863787,0.5772737116263007,0.5640171802463154,0.5436432741154493,0.5883516586088561
same_model_llama_six,6,nrm_layer_lodo,Layer-organic NRM · leave-dataset-out,0.5574585051149691,0.5387187440929381,0.5765378466767714,0.563952523157785,0.5436202837210053,0.5884419271299257
same_model_llama_six,6,nrm_layer_lomo,Layer-organic NRM · leave-model-out,0.5571595057824288,0.5384315479040507,0.5762579318408958,0.562452046082464,0.5418458418312341,0.5868978999719812
same_model_llama_six,6,nrm_layer_loco,Layer-organic NRM · leave-cell-out,0.5564724134737278,0.5378149441522307,0.5754806047984042,0.5622788201303711,0.5421086400403297,0.5869621684156674
same_model_llama_six,6,iu_layer_kl,IU-PCR · layer-organic + KL sensitivity,0.666100604277437,0.6482945867838381,0.6839452101566891,0.6351083856207269,0.6163734529728305,0.6571605070923587
same_model_llama_six,6,nrm_layer_kl_lodo,Layer-organic NRM + KL · leave-dataset-out,0.6653461401548493,0.6473585314587103,0.6832538200357294,0.6334380484805762,0.6150418598559205,0.6555155793099177
same_model_llama_six,6,nrm_layer_llama_loco,Layer-organic NRM · Llama-only leave-cell-out,0.5574783543895507,0.5388691074522802,0.5766786900370612,0.5650105716890984,0.5447200756902897,0.5895269997726587
same_dataset_gsm8k_32layer,5,final_nll,Final-layer NLL,0.7144171335061825,0.6956390216447126,0.7322285579132205,0.5368638917763909,0.50922168616882,0.5694899929095324
same_dataset_gsm8k_32layer,5,iu_compressed,IU-PCR · one averaged expert/layer,0.539291122475502,0.5182972999468678,0.5588447810732818,0.34093097151741525,0.3204421879305631,0.3677028384042391
same_dataset_gsm8k_32layer,5,iu_layer_triad,IU-PCR · layer-organic triad,0.6206481900690543,0.6008631363526861,0.6402328978763371,0.4170422744343497,0.39593870643714724,0.4452725183266633
same_dataset_gsm8k_32layer,5,nrm_layer_lodo,Layer-organic NRM · leave-dataset-out,0.6251570159639217,0.6055057872235455,0.6448123382835566,0.42250542101556315,0.4017028403049055,0.45060519136086774
same_dataset_gsm8k_32layer,5,nrm_layer_lomo,Layer-organic NRM · leave-model-out,0.6211202148915136,0.6012217602097668,0.6407960926062533,0.41760757916384267,0.3964625259624003,0.4462512758853163
same_dataset_gsm8k_32layer,5,nrm_layer_loco,Layer-organic NRM · leave-cell-out,0.620629574172457,0.6006744760079624,0.640411577219449,0.41729013881413923,0.396255160217572,0.4455102110510656
same_dataset_gsm8k_32layer,5,iu_layer_kl,IU-PCR · layer-organic + KL sensitivity,0.5031075146928756,0.482609814415725,0.5235560960138187,0.30798135324085846,0.28966422227348226,0.33410746332167396
same_dataset_gsm8k_32layer,5,nrm_layer_kl_lodo,Layer-organic NRM + KL · leave-dataset-out,0.5011520784517784,0.48066604384975137,0.5214557368557632,0.307227376051299,0.28903567074610087,0.3331129408656358
same_dataset_gsm8k_32layer,5,nrm_layer_gsm8k_loco,Layer-organic NRM · GSM8K-32L leave-model-out,0.6191099409547512,0.5991704944290078,0.6386024236043162,0.41604128718188765,0.3949702858330042,0.44451055187016686
