cell,domain,arena,arm,n_seeds,mean_auc,std_auc,min_auc,max_auc,range_auc
epr_triviaqa_mistral24b,QA,full,deem_deep_hard,5,0.7253605094826618,0.0013611188166918096,0.7235930310851756,0.7277942991807878,0.004201268095612165
epr_triviaqa_mistral24b,QA,full,deem_deep_soft,1,0.704452362248906,0.0,0.704452362248906,0.704452362248906,0.0
epr_triviaqa_mistral24b,QA,full,deem_irbm_hard,5,0.7198308270676691,0.00020316313534090024,0.7195741218718438,0.7201211985186846,0.0005470766468408383
losnet_hotpotqa_mistral7b,QA,full,deem_deep_hard,5,0.5643254259103666,0.0015663792133083284,0.5619245964354028,0.5661792309479969,0.004254634512594113
losnet_hotpotqa_mistral7b,QA,full,deem_deep_soft,1,0.5748583278213768,0.0,0.5748583278213768,0.5748583278213768,0.0
losnet_hotpotqa_mistral7b,QA,full,deem_irbm_hard,5,0.5629560771554729,0.00010153539978305378,0.5628273655231592,0.5630955147571461,0.00026814923398699175
sciq_llama8b,QA,full,deem_deep_hard,5,0.7151076677680301,0.0025310310916626002,0.7121453799703772,0.719665033610573,0.0075196536401958
sciq_llama8b,QA,full,deem_irbm_hard,5,0.7193574114162015,0.00036137066257618073,0.7189244616611599,0.7200068360487639,0.001082374387604057
se_nq_open_llama8b,QA,full,deem_deep_hard,5,0.7338458350056147,0.0008683822561753354,0.7325037233023488,0.7351769774755941,0.0026732541732452653
se_nq_open_llama8b,QA,full,deem_irbm_hard,5,0.7277928207738595,0.0001043517990251157,0.727622666206119,0.7279511558668756,0.00032848966075660346
