cell,domain,arena,arm,seed,auc,runtime_seconds
epr_triviaqa_mistral24b,QA,full,deem_irbm_hard,0,0.7201211985186846,26.92958950996399
epr_triviaqa_mistral24b,QA,full,deem_irbm_hard,1,0.7197564807541241,32.15891790390015
epr_triviaqa_mistral24b,QA,full,deem_irbm_hard,2,0.7196933565256425,28.350995540618896
epr_triviaqa_mistral24b,QA,full,deem_irbm_hard,3,0.7200089776680507,24.408034801483154
epr_triviaqa_mistral24b,QA,full,deem_irbm_hard,4,0.7195741218718438,21.820684909820557
epr_triviaqa_mistral24b,QA,full,deem_deep_hard,0,0.7252412748288631,35.43743968009949
epr_triviaqa_mistral24b,QA,full,deem_deep_hard,1,0.7277942991807878,34.37401032447815
epr_triviaqa_mistral24b,QA,full,deem_deep_hard,2,0.7235930310851756,35.13580870628357
epr_triviaqa_mistral24b,QA,full,deem_deep_hard,3,0.725248288632028,36.76313877105713
epr_triviaqa_mistral24b,QA,full,deem_deep_hard,4,0.724925653686455,33.31731557846069
epr_triviaqa_mistral24b,QA,full,deem_deep_soft,4,0.704452362248906,29.378777503967285
losnet_hotpotqa_mistral7b,QA,full,deem_irbm_hard,0,0.5630955147571461,18.613995790481567
losnet_hotpotqa_mistral7b,QA,full,deem_irbm_hard,1,0.5630240082947496,18.51279592514038
losnet_hotpotqa_mistral7b,QA,full,deem_irbm_hard,2,0.5629793167557517,16.896205186843872
losnet_hotpotqa_mistral7b,QA,full,deem_irbm_hard,3,0.5628541804465579,21.211766719818115
losnet_hotpotqa_mistral7b,QA,full,deem_irbm_hard,4,0.5628273655231592,19.038851499557495
losnet_hotpotqa_mistral7b,QA,full,deem_deep_hard,0,0.5661792309479969,26.346585273742676
losnet_hotpotqa_mistral7b,QA,full,deem_deep_hard,1,0.5656786857112212,21.818655490875244
losnet_hotpotqa_mistral7b,QA,full,deem_deep_hard,2,0.5632474659897388,21.577324151992798
losnet_hotpotqa_mistral7b,QA,full,deem_deep_hard,3,0.5645971504674735,29.529213428497314
losnet_hotpotqa_mistral7b,QA,full,deem_deep_hard,4,0.5619245964354028,26.95282554626465
losnet_hotpotqa_mistral7b,QA,full,deem_deep_soft,1,0.5748583278213768,24.209855794906616
sciq_llama8b,QA,full,deem_irbm_hard,0,0.7189244616611599,11.932586193084717
sciq_llama8b,QA,full,deem_irbm_hard,1,0.7193801982454142,10.359081745147705
sciq_llama8b,QA,full,deem_irbm_hard,2,0.7200068360487639,10.330171346664429
sciq_llama8b,QA,full,deem_irbm_hard,3,0.7193232311723823,9.378532886505127
sciq_llama8b,QA,full,deem_irbm_hard,4,0.7191523299532869,11.484611988067627
sciq_llama8b,QA,full,deem_deep_hard,0,0.7121453799703772,26.829349517822266
sciq_llama8b,QA,full,deem_deep_hard,1,0.7140252933804261,17.285776615142822
sciq_llama8b,QA,full,deem_deep_hard,2,0.719665033610573,25.689146041870117
sciq_llama8b,QA,full,deem_deep_hard,3,0.7140822604534579,35.43663048744202
sciq_llama8b,QA,full,deem_deep_hard,4,0.7156203714253162,28.32484459877014
se_nq_open_llama8b,QA,full,deem_irbm_hard,0,0.7277906727954903,243.48455810546875
se_nq_open_llama8b,QA,full,deem_irbm_hard,1,0.72778712080001,230.20601272583008
se_nq_open_llama8b,QA,full,deem_irbm_hard,2,0.7278124882008025,230.21963500976562
se_nq_open_llama8b,QA,full,deem_irbm_hard,3,0.727622666206119,227.74971318244934
se_nq_open_llama8b,QA,full,deem_irbm_hard,4,0.7279511558668756,224.94290375709534
se_nq_open_llama8b,QA,full,deem_deep_hard,0,0.7351769774755941,337.1597898006439
se_nq_open_llama8b,QA,full,deem_deep_hard,1,0.7338265479498414,310.42373061180115
se_nq_open_llama8b,QA,full,deem_deep_hard,2,0.7341743358537585,284.814327955246
se_nq_open_llama8b,QA,full,deem_deep_hard,3,0.7325037233023488,301.5021023750305
se_nq_open_llama8b,QA,full,deem_deep_hard,4,0.7335475904465307,302.1602146625519
