contrast,reference,candidate,primary,n_cells,mean_delta_pp,n_dataset_families
H1_sparse_reliability,full.iu_pcr,full.su_pcr_reproduction,True,24,0.012647569549589602,8
H2_dependency_weights,full.su_pcr_reproduction,full.sdsf,True,24,-0.05647006977792057,8
A1_ridge_without_sparse,full.iu_pcr,full.iu_ridge,False,24,-0.022409094753859157,8
P1_sdsf_vs_deployed,deployed.upcr_signrho,full.sdsf,False,24,-0.06373773794583983,8
P3_sdsf_vs_dufs,deployed.dufs_lsml,full.sdsf,False,24,-0.05829548964458725,8
K1_keep_sparse_reliability,keep.iu_pcr,keep.su_pcr_reproduction,False,24,-0.0006740233797029038,8
K2_keep_dependency_weights,keep.su_pcr_reproduction,keep.sdsf,False,24,-0.03823757265372365,8
A4_factorial_interaction,(iu_ridge-iu_pcr),(sdsf-su_pcr),False,24,-0.03406097502406141,8
