cell,arena,arm,seeds_ok,seeds_failed,ensemble_eligible
epr_triviaqa_mistral24b,full,deem_deep_hard,5,0,1
epr_triviaqa_mistral24b,full,deem_deep_soft,1,4,0
epr_triviaqa_mistral24b,full,deem_irbm_hard,5,0,1
losnet_hotpotqa_mistral7b,full,deem_deep_hard,5,0,1
losnet_hotpotqa_mistral7b,full,deem_deep_soft,1,4,0
losnet_hotpotqa_mistral7b,full,deem_irbm_hard,5,0,1
sciq_llama8b,full,deem_deep_hard,5,0,1
sciq_llama8b,full,deem_deep_soft,0,5,0
sciq_llama8b,full,deem_irbm_hard,5,0,1
se_nq_open_llama8b,full,deem_deep_hard,5,0,1
se_nq_open_llama8b,full,deem_irbm_hard,5,0,1
