benchmark,stratum,n_err,teacher_top1,true_step_mass,true_step_rank,conf_c_err,conf_c_clean,agree_v_err,agree_v_clean,agree_keep_err,agree_keep_clean,teacher_top1_on_kept,n_answers,steps,hard_pseudo_precision,hard_pseudo_recall,pseudo_positives_per_answer,true_errors_per_answer,soft_auprc,agree_selected_step_fraction,agreement_with_teacher,both_correct,student_only,teacher_only,both_wrong,net,student_top1_kept,teacher_top1_kept,n_kept,student_top1_abstained,teacher_top1_abstained,n_abstained,mean_delta_auc_vs_teacher,answers_improved,answers_worsened,pairs_corrected,pairs_destroyed
pb,pb_gsm8k_q4,207.0,0.4251207729468599,0.27521750945696066,2.2028985507246377,0.06044230757828166,0.05585495050355812,0.8514492753623188,0.8212435233160622,0.12560386473429952,0.05181347150259067,0.6538461538461539,,,,,,,,,,,,,,,,,,,,,,,,,
pb,pb_gsm8k_q8,207.0,0.4396135265700483,0.2700352074892624,2.2270531400966185,0.05924463747880721,0.05560362401560232,0.8369565217391305,0.8186528497409327,0.11594202898550725,0.09326424870466321,0.625,,,,,,,,,,,,,,,,,,,,,,,,,
pb,pb_math_q4,594.0,0.3181818181818182,0.22281507119866248,2.9023569023569022,0.05145116724590713,0.05971590764029041,0.8181818181818182,0.8399014778325123,0.05555555555555555,0.0960591133004926,0.5454545454545454,,,,,,,,,,,,,,,,,,,,,,,,,
pb,pb_math_q8,594.0,0.3265993265993266,0.21900393981090374,2.9276094276094278,0.049774603395768294,0.0587867884736537,0.8244949494949495,0.8318965517241379,0.058922558922558925,0.09359605911330049,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,
pb,pb_olympiadbench_q4,661.0,0.264750378214826,0.17343333880163803,3.496217851739788,0.049552136007045715,0.056612000189001616,0.8101361573373677,0.8207964601769911,0.015128593040847202,0.0471976401179941,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
pb,pb_olympiadbench_q8,661.0,0.26626323751891073,0.17133384703243898,3.5476550680786687,0.04644312001451266,0.05386794284038262,0.7934947049924357,0.799410029498525,0.01059001512859304,0.035398230088495575,0.5714285714285714,,,,,,,,,,,,,,,,,,,,,,,,,
pb,pb_omnimath_q4,759.0,0.2872200263504611,0.17486366348051358,3.461133069828722,0.04465019604490974,0.05463263282783967,0.7961133069828722,0.8195020746887967,0.017127799736495388,0.04564315352697095,0.5384615384615384,,,,,,,,,,,,,,,,,,,,,,,,,
pb,pb_omnimath_q8,759.0,0.27140974967061926,0.1711906958051218,3.4808959156785244,0.042115513931844116,0.05395113346695888,0.7806324110671937,0.7946058091286307,0.015810276679841896,0.06224066390041494,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
pb,all_pb,4442.0,0.3009905447996398,0.19492439745197493,3.220396217919856,0.048224075526920054,0.05650762844294613,0.8063935164340387,0.8199745547073791,0.03601981089599279,0.06743002544529263,0.525,,,,,,,,,,,,,,,,,,,,,,,,,
prm,clean,,,,,,,,,,,,934.0,13452.0,0.0,,7.553533190578158,0.0,,0.009671490892725385,,,,,,,,,,,,,,,,,
prm,single,,,,,,,,,,,,1965.0,25508.0,0.13416043769746475,0.8860050890585242,6.6040712468193385,1.0,0.42009170164297416,0.011440035374613638,,,,,,,,,,,,,,,,,
prm,multi,,,,,,,,,,,,4070.0,55243.0,0.28905620731920856,0.7380185979971388,7.015970515970516,2.747911547911548,0.38621153351059107,0.009109379208189201,,,,,,,,,,,,,,,,,
prm,all_prm,,,,,,,,,,,,6969.0,94203.0,0.20571346244880317,0.7601338504829265,6.971875448414407,1.8867843306069738,0.3209842499736627,0.0098418733508755,,,,,,,,,,,,,,,,,
pb,student=P_HARD,,,,,,,,,,,,,,,,,,,,0.8433138226024314,1210.0,171.0,127.0,2934.0,44.0,0.51875,0.525,160.0,0.3031293787949556,0.29262027090144793,4282.0,,,,,
prm,student=P_HARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0007900019126866343,877.0,863.0,1621.0,1635.0
pb,student=P_SOFT,,,,,,,,,,,,,,,,,,,,0.8320576316974336,1185.0,182.0,152.0,2923.0,30.0,0.50625,0.525,160.0,0.3003269500233536,0.29262027090144793,4282.0,,,,,
prm,student=P_SOFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0010764133590285083,658.0,795.0,1212.0,1445.0
pb,student=P_AGREE,,,,,,,,,,,,,,,,,,,,0.8093201260693381,1179.0,224.0,158.0,2881.0,66.0,0.5125,0.525,160.0,0.3085007006071929,0.29262027090144793,4282.0,,,,,
prm,student=P_AGREE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.010766099045271392,963.0,1697.0,2803.0,4454.0
pb,student=P_RANDOM,,,,,,,,,,,,,,,,,,,,0.002926609635299415,5.0,228.0,1332.0,2877.0,-1104.0,0.03125,0.525,160.0,0.053246146660439045,0.29262027090144793,4282.0,,,,,
prm,student=P_RANDOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.21165475148011006,1471.0,3918.0,24690.0,48827.0
pb,student=P_POSITION_LENGTH,,,,,,,,,,,,,,,,,,,,0.4385411976587123,684.0,503.0,653.0,2602.0,-150.0,0.4625,0.525,160.0,0.2599252685660906,0.29262027090144793,4282.0,,,,,
prm,student=P_POSITION_LENGTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0834968972035358,1656.0,3268.0,16842.0,26830.0
pb,student=P_SOFT_COVERAGE_MATCH,,,,,,,,,,,,,,,,,,,,0.8336334984241333,1198.0,189.0,139.0,2916.0,50.0,0.525,0.525,160.0,0.3042970574497898,0.29262027090144793,4282.0,,,,,
prm,student=P_SOFT_COVERAGE_MATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0010966231515430465,715.0,852.0,1338.0,1575.0
