conf_quintile,n,teacher_top1,P_HARD_top1,P_SOFT_top1,P_AGREE_top1,P_RANDOM_top1,P_POSITION_LENGTH_top1,P_SOFT_COVERAGE_MATCH_top1
1,1003.0,0.24227318045862412,0.2642073778664008,0.27517447657028915,0.28713858424725824,0.08574277168494517,0.22931206380857427,0.28015952143569295
2,963.0,0.25752855659397716,0.26791277258566976,0.2585669781931464,0.2699896157840083,0.04984423676012461,0.23260643821391486,0.26479750778816197
3,901.0,0.26970033296337403,0.2885682574916759,0.2885682574916759,0.28967813540510545,0.04772475027746948,0.24084350721420644,0.2874583795782464
4,837.0,0.32855436081242534,0.32855436081242534,0.31780167264038234,0.32735961768219835,0.038231780167264036,0.2915173237753883,0.32616487455197135
5,738.0,0.4444444444444444,0.43766937669376693,0.4281842818428184,0.43360433604336046,0.032520325203252036,0.3685636856368564,0.43224932249322495
