contrast_id,primary,endpoint,paired_N,delta,ci95_lo,ci95_hi,ci_adj_lo,ci_adj_hi,family_K,B,invalid_draw_rate,units
P_SOFT - P_HARD,True,pb_sla_macro8,100000,-0.004300359600300396,-0.009618322953839702,0.0009656299390349391,-0.011083952211605302,0.0023514786381196866,4.0,100000,0.0,fraction (x100 = pp)
P_SOFT - P_HARD,True,prm_within_auc,100000,-0.0018664152717150495,-0.00259870766732849,-0.001129314308526519,-0.002798149109225332,-0.0009329357609481292,4.0,100000,0.0,AUC
P_AGREE - P_SOFT,True,pb_sla_macro8,100000,0.010973406808110486,0.003851436880160142,0.018261759196325104,0.001979094218519821,0.020320059225302826,4.0,100000,0.0,fraction (x100 = pp)
P_AGREE - P_SOFT,True,prm_within_auc,100000,-0.009689685686242733,-0.011546253327397935,-0.007872532536219187,-0.012054430183122748,-0.007364659624639283,4.0,100000,0.0,AUC
P_HARD - BASE,False,pb_sla_macro8,100000,0.0071552697268016385,-0.001146503159865436,0.015562617973622966,,,,100000,0.0,fraction (x100 = pp)
P_HARD - BASE,False,prm_within_auc,100000,0.0007900019126867441,-0.0002938050197570235,0.001881783845129664,,,,100000,0.0,AUC
P_SOFT - BASE,False,pb_sla_macro8,100000,0.002854910126501242,-0.006105004869816675,0.01185866189151362,,,,100000,0.0,fraction (x100 = pp)
P_SOFT - BASE,False,prm_within_auc,100000,-0.0010764133590283054,-0.0019666476028532636,-0.00017949366393710063,,,,100000,0.0,AUC
P_AGREE - BASE,False,pb_sla_macro8,100000,0.013828316934611729,0.003926687368794905,0.023791048632451427,,,,100000,0.0,fraction (x100 = pp)
P_AGREE - BASE,False,prm_within_auc,100000,-0.010766099045271038,-0.012643621557544954,-0.008909494122270809,,,,100000,0.0,AUC
P_RANDOM - BASE,False,pb_sla_macro8,100000,-0.2678896000279938,-0.2930193937666288,-0.24287169053293442,,,,100000,0.0,fraction (x100 = pp)
P_RANDOM - BASE,False,prm_within_auc,100000,-0.21165475148010993,-0.22594705211722452,-0.1975499224613327,,,,100000,0.0,AUC
P_POSITION_LENGTH - BASE,False,pb_sla_macro8,100000,-0.03606830102423075,-0.058954884474535854,-0.013242024429022118,,,,100000,0.0,fraction (x100 = pp)
P_POSITION_LENGTH - BASE,False,prm_within_auc,100000,-0.0834968972035357,-0.09089793973694554,-0.07606375080674986,,,,100000,0.0,AUC
P_SOFT_COVERAGE_MATCH - BASE,False,pb_sla_macro8,100000,0.009085751616008775,0.00017350806641109064,0.01811730829793853,,,,100000,0.0,fraction (x100 = pp)
P_SOFT_COVERAGE_MATCH - BASE,False,prm_within_auc,100000,-0.0010966231515429081,-0.00206037550773662,-0.0001241044234114062,,,,100000,0.0,AUC
P_HARD - BASE,False,pb_sla_macro8,100000,0.0071552697268016385,-0.001146503159865436,0.015562617973622966,,,,100000,0.0,fraction (x100 = pp)
P_HARD - BASE,False,prm_within_auc,100000,0.0007900019126867441,-0.0002938050197570235,0.001881783845129664,,,,100000,0.0,AUC
P_SOFT - P_RANDOM,False,pb_sla_macro8,100000,0.270744510154495,0.24559306527939648,0.29606011193305576,,,,100000,0.0,fraction (x100 = pp)
P_SOFT - P_RANDOM,False,prm_within_auc,100000,0.21057833812108162,0.19644736941220026,0.2248664645328272,,,,100000,0.0,AUC
P_SOFT - P_POSITION_LENGTH,False,pb_sla_macro8,100000,0.038923211150731996,0.016445001732482846,0.06149724750783768,,,,100000,0.0,fraction (x100 = pp)
P_SOFT - P_POSITION_LENGTH,False,prm_within_auc,100000,0.0824204838445074,0.07492285397814574,0.08986860189482243,,,,100000,0.0,AUC
P_AGREE - P_SOFT_COVERAGE_MATCH,False,pb_sla_macro8,100000,0.004742565318602954,-0.0008305231479020429,0.010454039274752051,,,,100000,0.0,fraction (x100 = pp)
P_AGREE - P_SOFT_COVERAGE_MATCH,False,prm_within_auc,100000,-0.00966947589372813,-0.011574051137210528,-0.007798567337138737,,,,100000,0.0,AUC
P_AGREE - P_HARD,False,pb_sla_macro8,100000,0.00667304720781009,-0.0015553541655244404,0.015063676028665542,,,,100000,0.0,fraction (x100 = pp)
P_AGREE - P_HARD,False,prm_within_auc,100000,-0.011556100957957782,-0.013608401617790944,-0.009533220696904534,,,,100000,0.0,AUC
