cell,m,n,auroc_deployed,auroc_greedy_start,auroc_oracle_mask_insample,delta_insample_pp,delta_insample_vs_start_pp,greedy_converged_insample,n_cols_oracle_insample,n_cols_deployed,auroc_splithalf_oracle,auroc_splithalf_deployed,auroc_splithalf_NULL,delta_splithalf_pp,delta_splithalf_vs_null_pp,null_delta_vs_deployed_pp,n_splits_used,n_splits_greedy_unconverged,oracle_cols
ars_gsm8k_r1distill8b,30,500,0.7384857789269554,0.7384857789269554,0.801288784744667,6.280300581771159,6.280300581771159,True,12,17,0.7851652993720313,0.7379482372307073,0.5156448221621265,4.721706214132393,26.95204772099048,-22.230341506858085,5,0,trace_length|spectral_entropy|dominant_freq|spectral_centroid|stft_max_high_power|rpdi|cusum_shift_idx|cusum_max_spilled|epr_energy|sw_var_peak_energy|logprob_margin|varentropy
epr_triviaqa_mistral24b,28,621,0.7457496352822355,0.7457496352822355,0.7536471776456066,0.7897542363371146,0.7897542363371146,True,13,22,0.749510311018945,0.7506251095859467,0.6493236690193047,-0.11147985670016958,10.018664199964034,-10.130144056664204,5,0,epr|spectral_entropy|low_band_power|dominant_freq|spectral_centroid|cusum_shift_idx|epr_energy|min_energy|cusum_max_energy|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
internalstates_gsm8k_qwen25_7b,29,500,0.708176755121312,0.708176755121312,0.770326260815941,6.214950569462907,6.214950569462907,True,7,21,0.7303944417530739,0.7157674789878914,0.6397472775831197,1.4626962765182494,9.064716416995422,-7.602020140477173,5,0,trace_length|spectral_entropy|rpdi|hurst_exponent|epr_energy|logprob_margin|topk_tail_mass
lapeigvals_gsm8k_llama3b,30,1319,0.699160313160369,0.699160313160369,0.7230662533396635,2.3905940179294483,2.3905940179294483,True,13,22,0.7258694370326582,0.7087097411596833,0.6455900927875,1.7159695872974834,8.027934424515815,-6.311964837218332,5,0,trace_length|low_band_power|rpdi|hurst_exponent|cusum_max|epr_energy|sw_var_peak_energy|cusum_max_energy|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
lapeigvals_gsm8k_llama8b,29,500,0.8108335335094884,0.8108335335094884,0.8375770678196813,2.674353431019294,2.674353431019294,True,8,22,0.8220847369453834,0.8122603579807505,0.7910270202240323,0.9824378964632952,3.105771672135116,-2.1233337756718207,5,0,trace_length|spectral_entropy|low_band_power|stft_max_high_power|rpdi|sw_var_peak|min_energy|varentropy
lapeigvals_gsm8k_mistral24b,30,1319,0.8486086890590644,0.8486086890590644,0.8630677079384336,1.4459018879369179,1.4459018879369179,True,13,21,0.8384834686221267,0.8328329972695366,0.8146664228119528,0.5650471352590114,2.3817045810173965,-1.816657445758385,5,0,epr|high_band_power|hl_ratio|spectral_centroid|sw_var_peak|sw_var_peak_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
lapeigvals_gsm8k_nemo,29,1319,0.7972699573430835,0.7972699573430835,0.8288360755636807,3.1566118220597184,3.1566118220597184,True,9,20,0.8114989238899704,0.7898404275966466,0.6982713456985814,2.1658496293323726,11.322757819138896,-9.156908189806522,5,0,epr|trace_length|spectral_entropy|stft_spectral_entropy|rpdi|epr_energy|cusum_max_energy|logprob_margin|varentropy
lapeigvals_gsm8k_phi35,29,1319,0.8088448633398303,0.8088448633398303,0.8261687982271113,1.7323934887281012,1.7323934887281012,True,12,18,0.8138416901817074,0.8150322294194577,0.7308429904556815,-0.11905392377503654,8.299869972602592,-8.418923896377628,5,0,epr|trace_length|spectral_entropy|spectral_centroid|stft_spectral_entropy|pe_mean|hurst_exponent|cusum_max_energy|logprob_margin|mean_logprob_entropy|varentropy|topk_tail_mass
losnet_hotpotqa_mistral7b,29,500,0.5695668496040329,0.5695668496040329,0.6194247305100198,4.985788090598686,4.985788090598686,True,5,23,0.5709828399599453,0.5511230316686331,0.5317206075949202,1.9859808291312175,3.926223236502502,-1.9402424073712843,5,0,spectral_entropy|stft_max_high_power|hurst_exponent|sw_var_peak_energy|varentropy
math500_dsmath7b,30,300,0.7865136091256949,0.7865136091256949,0.8225398888166919,3.602627969099703,3.602627969099703,True,15,24,0.7975062716801795,0.7922012466602025,0.7565345392219165,0.5305025019976983,4.097173245826302,-3.566670743828604,5,0,epr|trace_length|spectral_entropy|stft_spectral_entropy|rpdi|hurst_exponent|cusum_max|cusum_max_spilled|min_energy|sw_var_peak_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy
