cell,n_grid,partial_spearman_given_n_keep,spearman_within_scale_ratio,n_slices,n_slices_ordering_correctly,spearman_full_grid_CONFOUNDED,p_full_grid,partial_res_vs_nkeep_given_auroc,orders_correctly
ars_gsm8k_r1distill8b,125,-0.5176648602480812,0.9589473684210527,5,0,0.7349329717138355,1.7346387111702871e-22,0.7897488725715064,True
epr_triviaqa_mistral24b,125,0.7788259144272139,0.11074769221681595,5,2,0.7515135075151351,5.7356276893923364e-24,0.3253837588647841,False
internalstates_gsm8k_qwen25_7b,125,-0.9525078106266942,0.7061014763333351,5,0,-0.691947377990342,4.0602289380203495e-19,0.9070828874706761,True
lapeigvals_gsm8k_llama3b,125,0.8551419223475527,-0.6963150989397463,5,5,0.7431384303522097,3.316414546949054e-23,0.6394358758237739,False
lapeigvals_gsm8k_llama8b,125,-0.9402675790520835,0.899231573621184,5,0,-0.7496772762422937,8.47703658464699e-24,0.8663778829733305,True
lapeigvals_gsm8k_mistral24b,125,0.526078268568091,-0.20240506127091534,5,3,0.5725499861363567,3.034282295194655e-12,-0.12051124916861275,False
lapeigvals_gsm8k_nemo,125,-0.3407533919864984,0.35154938147433723,5,2,-0.2456176098298911,0.005763764296140867,0.28407287113182506,True
lapeigvals_gsm8k_phi35,125,-0.8660790154329653,0.8455838118676511,5,0,-0.538282090973672,9.52434923628494e-11,0.8055023050606553,True
losnet_hotpotqa_mistral7b,125,0.2991330533412932,0.018428347692734638,5,2,0.2952423285743988,0.0008300242510935464,0.05284928669254751,False
math500_dsmath7b,125,0.5542656743756492,0.26236857664984725,5,2,0.5249609626802383,3.2850209727588946e-10,-0.20895806515961202,False
math500_qwenmath7b,125,0.3345232679397977,-0.04987887601231198,5,3,0.06204290226970142,0.4918592932873784,-0.4230587951762502,False
math500_r1distill8b,125,0.8578682232440128,0.4438470169203524,5,1,0.8633295477817472,2.429705015990311e-38,0.14802601415364097,False
math500_r1distill8b_mn4096,125,0.9507388112074281,0.2316530958733239,5,1,0.954694950966282,1.3498247722745485e-66,0.20714747569425213,False
noise_gsm8k_mistral7b,125,-0.8963332555490768,0.96,5,0,-0.4558153153847339,9.212420890601751e-08,0.867214737026375,True
noise_gsm8k_phi3mini,125,-0.5429614341264964,0.12738840102972918,5,2,-0.12943987700325088,0.15023469980960624,0.661161614123965,True
sciq_llama8b,125,-0.19066720754024627,0.5867584924374805,5,1,-0.34384247858210654,8.635055771988756e-05,-0.19981385333636853,True
se_nq_open_llama8b,125,0.8359174785577198,-0.5374146349053766,5,4,0.5368371757703103,1.0921884928728253e-10,0.7594742925647442,False
se_squad_v2_llama8b,125,-0.9236908312530727,0.38912732474964234,5,1,-0.7030474180734855,6.256559946322977e-20,0.8476917138220911,True
seiclr_triviaqa_opt30b,125,-0.8067819861407891,0.3668216544377535,5,1,-0.7170233251545176,5.2329565610144634e-21,0.652444984298358,True
semenergy_triviaqa_qwen3_8b,125,0.31790243055012674,-0.6900423252495038,5,4,-0.6457334314946359,4.27793748090951e-16,0.8957432385270634,False
spilled_triviaqa_llama8b,125,-0.7620857388466544,0.09264521326867362,5,2,-0.7182603298550126,4.171037061781512e-21,0.4249397140552361,True
trace_gsm8k_llama8b_k10,125,-0.6625300542815462,0.4288728084721389,5,1,-0.6385474636665732,1.1360176632301548e-15,0.33285565655332877,True
trace_math500_qwenmath15b_k10,125,-0.19394855171570938,-0.01176647725441594,5,3,-0.26128745161200917,0.0032479422076517853,-0.10915109878359107,True
truthfulqa_llama8b,125,-0.8231143705251391,0.5844389588116162,5,0,-0.27018378378378377,0.0023092051801096827,0.8432074398748178,True
