cell,min_frac,exclude_frac,scale_ratio,auroc,auroc_deployed,delta_pp,n_keep,proj_residual,g2_hat,g2_at_ceiling,is_deployed_point
ars_gsm8k_r1distill8b,0.0,2.0,0.05,0.6863081771170007,0.7384857789269554,-5.217760180995478,12,0.1726939263098815,0.05,True,False
ars_gsm8k_r1distill8b,0.0,2.0,0.1,0.6995596315449257,0.7384857789269554,-3.8926147382029708,14,0.15302721860770707,0.1,True,False
ars_gsm8k_r1distill8b,0.0,2.0,0.25,0.7154169360051714,0.7384857789269554,-2.3068842921784016,14,0.08141525781201288,0.25,True,False
ars_gsm8k_r1distill8b,0.0,2.0,0.5,0.7275775694893342,0.7384857789269554,-1.0908209437621275,14,0.04514957886006056,0.431438127090301,False,False
ars_gsm8k_r1distill8b,0.0,2.0,1.0,0.7275775694893342,0.7384857789269554,-1.0908209437621275,14,0.04514957886006056,0.431438127090301,False,False
ars_gsm8k_r1distill8b,0.0,3.0,0.05,0.720063025210084,0.7384857789269554,-1.842275371687141,17,0.16810973592299572,0.05,True,False
ars_gsm8k_r1distill8b,0.0,3.0,0.1,0.7268907563025211,0.7384857789269554,-1.1595022624434348,17,0.13661089130411913,0.1,True,False
ars_gsm8k_r1distill8b,0.0,3.0,0.25,0.7384857789269554,0.7384857789269554,0.0,17,0.103235898513799,0.23076923076923075,False,False
ars_gsm8k_r1distill8b,0.0,3.0,0.5,0.7384857789269554,0.7384857789269554,0.0,17,0.103235898513799,0.23076923076923075,False,False
ars_gsm8k_r1distill8b,0.0,3.0,1.0,0.7384857789269554,0.7384857789269554,0.0,17,0.103235898513799,0.23076923076923075,False,False
ars_gsm8k_r1distill8b,0.0,5.0,0.05,0.7356779250161604,0.7384857789269554,-0.28078539107950773,19,0.17899659854968464,0.05,True,False
ars_gsm8k_r1distill8b,0.0,5.0,0.1,0.7395765998707176,0.7384857789269554,0.10908209437621164,19,0.16304482789102814,0.1,True,False
ars_gsm8k_r1distill8b,0.0,5.0,0.25,0.742263251454428,0.7384857789269554,0.3777472527472514,19,0.15964728406723058,0.13963210702341136,False,False
