cell,n_components_used,used_simple_average,auroc_deployed,auroc_deployed_in_plane,auroc_oracle_mix,delta_pp,theta_best,theta_deployed,auroc_v1_only,lambda2_frac,reason
ars_gsm8k_r1distill8b,2,False,0.7384857789269554,0.7384857789269554,0.7594941822882999,2.1008403361344463,2.4182856071322263,2.99432437423299,0.7286885908209437,0.21481231614899685,
epr_triviaqa_mistral24b,2,False,0.7457496352822355,0.7457496352822355,0.7469279542138929,0.11783189316574294,2.9498727135648957,3.0597813233945907,0.7443889574682976,0.1342835472481752,
internalstates_gsm8k_qwen25_7b,2,False,0.708176755121312,0.708176755121312,0.7135534100325682,0.5376654911256273,0.2745080959447392,3.0940469312500922,0.7093522961592569,0.14619728275948318,
lapeigvals_gsm8k_llama3b,2,False,0.699160313160369,0.699160313160369,0.701057055882928,0.18967427225590194,2.7276518739905833,2.9296886855785287,0.6938913247875182,0.11874396060410036,
lapeigvals_gsm8k_llama8b,2,False,0.8108335335094884,0.8108335335094884,0.8188405797101449,0.8007046200656509,0.30065172412995245,2.859943594384604,0.817719593242053,0.10849832052737651,
lapeigvals_gsm8k_mistral24b,2,False,0.8486086890590644,0.8486086890590644,0.850451133520358,0.18424444612935575,2.7581527735399987,2.92818746641576,0.8417469103040414,0.10213553175900321,
lapeigvals_gsm8k_nemo,2,False,0.7972699573430835,0.7972699573430835,0.7973715214300223,0.010156408693884345,3.0849481258551643,3.0825512783492064,0.7970383912248629,0.15842976414758425,
lapeigvals_gsm8k_phi35,2,False,0.8088448633398303,0.8088448633398303,0.8101976699685828,0.13528066287524787,0.11328905546925744,3.097976113990113,0.8092631653895104,0.15861659470043857,
losnet_hotpotqa_mistral7b,2,False,0.5695668496040329,0.5695668496040329,0.571819303169524,0.2252453565491086,2.8583700149166495,0.08196879028929516,0.5710684853143603,0.1666707078780308,
math500_dsmath7b,2,False,0.7865136091256949,0.7865136091256949,0.790195653743412,0.36820446177171506,3.0631617690341533,0.11911229535761603,0.7894014872572378,0.18892981671507061,
math500_qwenmath7b,1,False,0.9155045638945232,0.9155045638945232,0.9196247464503042,0.412018255578106,0.16557631183968397,0.0,0.9155045638945232,0.09415953048782728,
math500_r1distill8b,2,False,0.8385677026733319,0.8385677026733319,0.8393827428819822,0.08150402086503084,2.9411581708364913,3.05713960993757,0.8375353184090416,0.1589408382974916,
math500_r1distill8b_mn4096,2,False,0.8357853439820653,0.8357853439820653,0.841856989397973,0.6071645415907767,2.7145800598979766,2.9657931714051053,0.824389332586054,0.11385770957081989,
noise_gsm8k_mistral7b,2,False,0.7830679315212743,0.7830679315212743,0.7835691523849376,0.050122086366333196,0.08714542728404419,0.033035864265415604,0.7826793703930215,0.1763942317456671,
noise_gsm8k_phi3mini,2,False,0.6830577313606034,0.6830577313606034,0.6831358371828344,0.007810582223100049,0.14378995501867292,0.15876056164274388,0.6818889335207873,0.19799598231388466,
sciq_llama8b,2,False,0.738976871368349,0.738976871368349,0.7487752079298166,0.9798336561467558,0.31808080958676127,2.9949502392375678,0.741939159166002,0.10116861474823832,
se_nq_open_llama8b,2,False,0.7468965488308481,0.7468965488308481,0.753628782910147,0.6732234079298904,2.7712245876326054,0.029682659647088716,0.7479333399525375,0.14133747617580403,
se_squad_v2_llama8b,2,False,0.8102507127768863,0.8102507127768863,0.8127630348712385,0.25123220943521485,0.20914902548170605,0.045013339889677706,0.8091529786570938,0.13910454517144033,
seiclr_triviaqa_opt30b,2,False,0.811871846772098,0.811871846772098,0.8298608431162189,1.7988996344120878,0.7407361319143756,3.1270052368219177,0.81258417719565,0.21816552762090288,
semenergy_triviaqa_qwen3_8b,2,False,0.8102602404150281,0.8102602404150281,0.8157194952963542,0.5459254881326148,0.008714542728404419,2.984237896605753,0.8153450157647154,0.23282438477530307,
spilled_triviaqa_llama8b,2,False,0.9299999999999999,0.9299999999999999,0.9313333333333333,0.13333333333334085,2.888870914466065,2.882572499758568,0.9273333333333333,0.11190411486119037,
trace_gsm8k_llama8b_k10,2,False,0.8113494318181818,0.8113494318181818,0.8141084074440053,0.2758975625823501,3.0718763117625576,2.867121301784358,0.8139060441370224,0.11463094997752045,
trace_math500_qwenmath15b_k10,2,False,0.6860695600152698,0.6860695600152698,0.6861812526249675,0.011169260969778882,0.004357271364202209,3.004730591428664,0.6861697773568479,0.1028965884723021,
truthfulqa_llama8b,2,False,0.6633585817234888,0.6633585817234888,0.6768068998097313,1.3448318086242472,0.6840916041797469,0.11114444626796782,0.6581885064999993,0.1734365881168931,
