cell,feature,col,oracle_single_auroc,rho_hat_full,beats_best_kept
lapeigvals_gsm8k_nemo,hurst_exponent,13,0.548303879748121,0.12514080144982215,False
lapeigvals_gsm8k_nemo,cusum_shift_idx,15,0.6255271176112127,0.11652793712906546,False
lapeigvals_gsm8k_nemo,sw_var_peak_energy,21,0.5904326630103596,0.10956915793246348,False
lapeigvals_gsm8k_phi35,spectral_entropy,2,0.6482569264589396,0.08511390776518177,False
lapeigvals_gsm8k_phi35,dominant_freq,6,0.6146459117649676,0.14016230532514865,False
lapeigvals_gsm8k_phi35,stft_max_high_power,8,0.5618464030473749,0.098189645062009,False
lapeigvals_gsm8k_phi35,stft_spectral_entropy,9,0.5246976210183429,0.06178487103619376,False
lapeigvals_gsm8k_phi35,rpdi,10,0.5218095568668286,0.13652491642711212,False
lapeigvals_gsm8k_phi35,pe_mean,12,0.5065281819880918,-9.297110992290136e-06,False
lapeigvals_gsm8k_phi35,cusum_shift_idx,15,0.6037366833097482,0.13600632370392995,False
lapeigvals_gsm8k_phi35,epr_energy,19,0.5387596899224807,0.049279254699267694,False
lapeigvals_gsm8k_phi35,min_energy,20,0.5046725228953621,-0.03774147431583419,False
lapeigvals_gsm8k_phi35,sw_var_peak_energy,21,0.5285602399451758,0.0022097363109291335,False
lapeigvals_gsm8k_phi35,cusum_max_energy,22,0.5668793777089507,0.09086623716825756,False
losnet_hotpotqa_mistral7b,stft_max_high_power,8,0.5709791022363646,0.08035537363382876,False
losnet_hotpotqa_mistral7b,stft_spectral_entropy,9,0.5346359427233236,0.053520365369574815,False
losnet_hotpotqa_mistral7b,rpdi,10,0.5009385223189546,0.005610241899338633,False
losnet_hotpotqa_mistral7b,pe_mean,12,0.5269847512468939,0.008397833099965016,False
losnet_hotpotqa_mistral7b,cusum_shift_idx,15,0.5360481953556553,-0.03950788942637409,False
losnet_hotpotqa_mistral7b,sw_var_peak_energy,21,0.5420904914281628,0.07701065207261064,False
math500_dsmath7b,spectral_entropy,2,0.6123023608403726,0.10705367979988725,False
math500_dsmath7b,stft_max_high_power,8,0.5101436719370442,0.05303650106762821,False
math500_dsmath7b,pe_mean,12,0.5306476066709984,0.012253430023421816,False
math500_dsmath7b,cusum_shift_idx,15,0.5153418525738213,0.03535741395805035,False
math500_dsmath7b,min_spilled,19,0.6361634539022453,-0.04010069606766614,False
math500_dsmath7b,min_energy,21,0.5945058118547397,0.026149382715437527,False
math500_qwenmath7b,epr,0,0.930590770791075,-0.014800872295298403,False
math500_qwenmath7b,low_band_power,2,0.9059964503042597,-0.05856667147442674,False
math500_qwenmath7b,high_band_power,3,0.9037778904665315,-0.03801984625090376,False
math500_qwenmath7b,hl_ratio,4,0.9040948275862069,-0.028770185198077416,False
math500_qwenmath7b,spectral_centroid,5,0.9037145030425964,-0.03850942574107259,False
math500_qwenmath7b,stft_max_high_power,6,0.7872084178498987,0.0260902811621954,False
math500_qwenmath7b,stft_spectral_entropy,7,0.8653651115618661,-0.06393085277323747,False
math500_qwenmath7b,sw_var_peak,9,0.8694852941176471,-0.008978630805297177,False
math500_qwenmath7b,pe_mean,10,0.5176850912778905,-0.02416859788499855,False
math500_qwenmath7b,hurst_exponent,11,0.9191176470588235,0.03136333481204698,False
math500_qwenmath7b,epr_spilled,14,0.9286257606490872,-0.015564537320256592,False
math500_qwenmath7b,min_spilled,17,0.7282898073022313,-0.02748672232415127,False
math500_qwenmath7b,epr_energy,18,0.9052358012170385,0.020662957199023918,False
math500_qwenmath7b,min_energy,19,0.8058443204868154,0.03453103410700858,False
math500_qwenmath7b,sw_var_peak_energy,20,0.6710192697768763,-0.001400846277571504,False
math500_qwenmath7b,mean_top1_logprob,22,0.9233012170385395,-0.0035703618860038334,False
math500_qwenmath7b,logprob_margin,23,0.9359787018255578,-0.036744853643950165,True
math500_qwenmath7b,mean_logprob_entropy,24,0.9307175456389453,-0.014437908012428342,False
math500_qwenmath7b,renyi_entropy_2,26,0.9257099391480731,-0.007247071086000831,False
math500_qwenmath7b,topk_tail_mass,27,0.9264072008113591,-0.006096310914544797,False
math500_r1distill8b,stft_spectral_entropy,7,0.5727015866116062,0.14700338053914105,False
math500_r1distill8b,pe_mean,10,0.6104651162790697,0.060885737515815136,False
math500_r1distill8b,cusum_shift_idx,13,0.5288252553792653,-0.11251853004553032,False
math500_r1distill8b,sw_var_peak_spilled,15,0.6037817865681374,0.13684153297130894,False
math500_r1distill8b,min_spilled,17,0.699929363181917,0.012461608374716576,False
math500_r1distill8b,sw_var_peak_energy,20,0.6833840469463159,0.16112208375357748,False
math500_r1distill8b_mn4096,pe_mean,11,0.5422913455700341,0.009943203780370738,False
math500_r1distill8b_mn4096,cusum_shift_idx,14,0.5634720470786044,-0.011902391001407164,False
math500_r1distill8b_mn4096,min_spilled,18,0.6106674139461026,-0.08906048880809087,False
noise_gsm8k_mistral7b,dominant_freq,6,0.6191710082816402,0.14232202163530938,False
noise_gsm8k_mistral7b,stft_max_high_power,8,0.6128850548813853,0.029220598857774227,False
noise_gsm8k_mistral7b,stft_spectral_entropy,9,0.5255323747292717,0.0434362123362938,False
noise_gsm8k_mistral7b,pe_mean,12,0.5244034781968925,-0.027427204054276566,False
noise_gsm8k_mistral7b,cusum_shift_idx,15,0.5873089957649136,0.11060421264023751,False
noise_gsm8k_mistral7b,sw_var_peak_energy,21,0.5682580045891599,0.07178199759361706,False
noise_gsm8k_phi3mini,dominant_freq,6,0.5096237530963379,0.04231096774795806,False
noise_gsm8k_phi3mini,stft_max_high_power,8,0.5430279395684094,0.026807911937743928,False
noise_gsm8k_phi3mini,stft_spectral_entropy,9,0.5420293008413113,-0.010911112326167705,False
noise_gsm8k_phi3mini,rpdi,10,0.5314654883845484,0.04814808374440027,False
noise_gsm8k_phi3mini,pe_mean,12,0.5184692374640155,-0.036175843377594996,False
noise_gsm8k_phi3mini,hurst_exponent,13,0.5072024726071723,-0.05707298818017745,False
noise_gsm8k_phi3mini,min_energy,20,0.5189448461315302,0.04293354551985093,False
noise_gsm8k_phi3mini,sw_var_peak_energy,21,0.5216046283278659,0.08481978416267978,False
noise_gsm8k_phi3mini,cusum_max_energy,22,0.504265135792551,0.11975146063725504,False
sciq_llama8b,high_band_power,4,0.5231855987239376,-0.1740437874918154,False
sciq_llama8b,spectral_centroid,7,0.5880141278341119,0.16264241101393345,False
sciq_llama8b,pe_mean,12,0.5025635182864304,0.057605516934064266,False
sciq_llama8b,cusum_shift_idx,15,0.5220462572633018,0.13893188236724846,False
sciq_llama8b,min_spilled,19,0.5610117352170445,-0.01037744198824872,False
sciq_llama8b,sw_var_peak_energy,22,0.5872165888116669,0.053667756104826075,False
se_nq_open_llama8b,hl_ratio,5,0.5681149951544628,0.04784629433193943,False
se_nq_open_llama8b,rpdi,8,0.5413024636025345,-0.005028309933658076,False
se_nq_open_llama8b,pe_mean,10,0.5061267447080162,-0.05046007255856008,False
se_nq_open_llama8b,hurst_exponent,11,0.5459125621774013,0.14012893473214544,False
se_nq_open_llama8b,cusum_shift_idx,13,0.5161491614353977,0.0818941927903814,False
se_squad_v2_llama8b,rpdi,8,0.6764662426558009,-0.0072081984965126356,False
se_squad_v2_llama8b,pe_mean,10,0.5078307342467651,-0.028372550270368474,False
se_squad_v2_llama8b,cusum_shift_idx,13,0.5604706058892108,0.08816266679798113,False
se_squad_v2_llama8b,sw_var_peak_energy,19,0.5380051481537058,-0.02947714880078292,False
seiclr_triviaqa_opt30b,trace_length,1,0.5207526936702609,-0.043556792115261575,False
seiclr_triviaqa_opt30b,rpdi,2,0.5387360621216448,-0.10589755591445911,False
seiclr_triviaqa_opt30b,sw_var_peak_spilled,6,0.7008061071962417,0.08527650602221384,False
seiclr_triviaqa_opt30b,min_spilled,8,0.5828863178530908,0.07104404518478571,False
seiclr_triviaqa_opt30b,sw_var_peak_energy,11,0.5438136273473138,-0.08962710734556774,False
seiclr_triviaqa_opt30b,cusum_max_energy,12,0.5434291618749181,-0.043762643082539195,False
semenergy_triviaqa_qwen3_8b,high_band_power,4,0.5993330856199028,0.09431479047604542,False
semenergy_triviaqa_qwen3_8b,rpdi,8,0.5567450787737022,9.372367781778149e-05,False
semenergy_triviaqa_qwen3_8b,pe_mean,10,0.5215534583039277,-0.05273944993753511,False
semenergy_triviaqa_qwen3_8b,cusum_shift_idx,13,0.555488016239361,-0.006531448150949481,False
semenergy_triviaqa_qwen3_8b,epr_energy,17,0.5538018192805837,-0.043457636086932636,False
semenergy_triviaqa_qwen3_8b,logprob_margin,22,0.6175009538629579,-0.09537426524815519,False
spilled_triviaqa_llama8b,hl_ratio,5,0.8946666666666666,0.07539780093264098,False
spilled_triviaqa_llama8b,rpdi,8,0.6666666666666667,-0.06695517642537831,False
spilled_triviaqa_llama8b,pe_mean,10,0.7386666666666668,-0.07481828130333486,False
spilled_triviaqa_llama8b,cusum_shift_idx,13,0.8116666666666666,0.04537287784173599,False
spilled_triviaqa_llama8b,min_spilled,17,0.6656666666666666,-0.02130002489046591,False
spilled_triviaqa_llama8b,sw_var_peak_energy,20,0.5573333333333333,-0.015830472960787836,False
trace_gsm8k_llama8b_k10,spectral_entropy,2,0.6012152091567853,0.07878008590608881,False
trace_gsm8k_llama8b_k10,dominant_freq,6,0.6773395298089592,0.12013833505608967,False
trace_gsm8k_llama8b_k10,stft_max_high_power,8,0.5490991436100132,-0.0499393414349209,False
trace_gsm8k_llama8b_k10,stft_spectral_entropy,9,0.614903244400527,0.15419466627680925,False
trace_gsm8k_llama8b_k10,pe_mean,12,0.5665628087944664,-0.008879512153317282,False
trace_gsm8k_llama8b_k10,cusum_shift_idx,15,0.5920235301383399,0.018796366230659278,False
trace_gsm8k_llama8b_k10,sw_var_peak_energy,21,0.5558047183794466,-0.1174426877690638,False
trace_math500_qwenmath15b_k10,dominant_freq,6,0.6412058517747268,0.1636232979955394,False
trace_math500_qwenmath15b_k10,stft_max_high_power,8,0.5116653750614883,-0.15345617544224455,False
trace_math500_qwenmath15b_k10,rpdi,10,0.6102203327980759,0.16256535197725794,False
trace_math500_qwenmath15b_k10,pe_mean,12,0.5354658461594956,0.022434925077702866,False
trace_math500_qwenmath15b_k10,cusum_shift_idx,15,0.5373692106316065,-0.055968484062048546,False
trace_math500_qwenmath15b_k10,min_spilled,19,0.6255176302194301,-0.019268609745413195,False
trace_math500_qwenmath15b_k10,sw_var_peak_energy,22,0.568468717271579,0.06374404529104494,False
truthfulqa_llama8b,high_band_power,4,0.5048596026240549,0.09552294835242793,False
truthfulqa_llama8b,hl_ratio,5,0.5212095896544879,0.11113070747127089,False
truthfulqa_llama8b,dominant_freq,6,0.5403448636891246,0.11546250908807403,False
truthfulqa_llama8b,rpdi,10,0.5019445293786056,0.012593059731918252,False
truthfulqa_llama8b,pe_mean,12,0.5173888203780158,0.046665286584917545,False
truthfulqa_llama8b,hurst_exponent,13,0.526661879761244,0.10929146405169719,False
truthfulqa_llama8b,cusum_shift_idx,15,0.5044706061787307,-0.0009971608981017427,False
