contrast,kind,left_arm,right_arm,mean_pp,ci_pp,positive_groups,worst_group_pp,group_values_pp
selector_max_minus_one_se__fixed__canonical,selector_main,capacity=fixed__selector=max_mean__trust=canonical,capacity=fixed__selector=one_se__trust=canonical,0.19815240224155053,"[-0.03694792822153444, 0.45588039031974126]",5,-0.2753631212940144,"[0.29775746649013723, -0.04826686211767406, 0.1510606038106066, -0.19061070549064585, 0.911473168508603, 0.3110823820022368, -0.2753631212940144, 0.4280862860231549]"
selector_max_minus_one_se__fixed__v1,selector_main,capacity=fixed__selector=max_mean__trust=v1,capacity=fixed__selector=one_se__trust=v1,0.28982917176600165,"[-0.0029642708173109643, 0.6004155947709356]",5,-0.2753631212940144,"[0.29775746649013723, -0.04826686211767406, 0.18702759795621302, -0.19061070549064585, 1.070980972997615, 0.5874204979626652, -0.2753631212940144, 0.6896875276237169]"
selector_max_minus_one_se__fixed__expanded,selector_main,capacity=fixed__selector=max_mean__trust=expanded,capacity=fixed__selector=one_se__trust=expanded,0.28982917176600165,"[-0.0018683765735660884, 0.6004155947709356]",5,-0.2753631212940144,"[0.29775746649013723, -0.04826686211767406, 0.18702759795621302, -0.19061070549064585, 1.070980972997615, 0.5874204979626652, -0.2753631212940144, 0.6896875276237169]"
selector_max_minus_one_se__searched__canonical,selector_main,capacity=searched__selector=max_mean__trust=canonical,capacity=searched__selector=one_se__trust=canonical,0.18449485928736767,"[-0.05684567770316917, 0.44546317447720796]",5,-0.2487553810848234,"[0.29775746649013723, -0.1269239707538672, 0.13882836200835635, -0.23497428998547898, 0.8772929246895211, 0.3110823820022368, -0.2487553810848234, 0.4616513809328593]"
selector_max_minus_one_se__searched__v1,selector_main,capacity=searched__selector=max_mean__trust=v1,capacity=searched__selector=one_se__trust=v1,0.2640469313088556,"[-0.024456795017408564, 0.5560148217220515]",5,-0.2487553810848234,"[0.29775746649013723, -0.1269239707538672, 0.1674503878478628, -0.23497428998547898, 0.8772929246895211, 0.6768206110835284, -0.2487553810848234, 0.7037077021839644]"
selector_max_minus_one_se__searched__expanded,selector_main,capacity=searched__selector=max_mean__trust=expanded,capacity=searched__selector=one_se__trust=expanded,0.2640469313088556,"[-0.02273367423737268, 0.5555741269894908]",5,-0.2487553810848234,"[0.29775746649013723, -0.1269239707538672, 0.1674503878478628, -0.23497428998547898, 0.8772929246895211, 0.6768206110835284, -0.2487553810848234, 0.7037077021839644]"
searched_minus_fixed__one_se__canonical,geometry_capacity_main,capacity=searched__selector=one_se__trust=canonical,capacity=fixed__selector=one_se__trust=canonical,0.01563418140934821,"[-0.014471604368362461, 0.05255744335336959]",2,-0.033565094909704385,"[0.0, 0.07865710863619313, -0.007344968306099986, 0.0, 0.11393414606358787, 0.0, -0.026607740209190968, -0.033565094909704385]"
searched_minus_fixed__one_se__v1,geometry_capacity_main,capacity=searched__selector=one_se__trust=v1,capacity=fixed__selector=one_se__trust=v1,0.027758878912311397,"[-0.030523915007010332, 0.10729438069056925]",2,-0.08940011312086327,"[0.0, 0.07865710863619313, 0.0, 0.0, 0.2734419505525998, -0.08940011312086327, -0.026607740209190968, -0.014020174560247511]"
searched_minus_fixed__one_se__expanded,geometry_capacity_main,capacity=searched__selector=one_se__trust=expanded,capacity=fixed__selector=one_se__trust=expanded,0.027758878912311397,"[-0.030754485152544496, 0.10729438069056925]",2,-0.08940011312086327,"[0.0, 0.07865710863619313, 0.0, 0.0, 0.2734419505525998, -0.08940011312086327, -0.026607740209190968, -0.014020174560247511]"
searched_minus_fixed__max_mean__canonical,geometry_capacity_main,capacity=searched__selector=max_mean__trust=canonical,capacity=fixed__selector=max_mean__trust=canonical,0.001976638455165327,"[-0.01843234991433961, 0.02746056207814596]",1,-0.04436358449483313,"[0.0, 0.0, -0.019577210108350212, -0.04436358449483313, 0.07975390224450596, 0.0, 0.0, 0.0]"
searched_minus_fixed__max_mean__v1,geometry_capacity_main,capacity=searched__selector=max_mean__trust=v1,capacity=fixed__selector=max_mean__trust=v1,0.001976638455165327,"[-0.01843234991433961, 0.02746056207814596]",1,-0.04436358449483313,"[0.0, 0.0, -0.019577210108350212, -0.04436358449483313, 0.07975390224450596, 0.0, 0.0, 0.0]"
searched_minus_fixed__max_mean__expanded,geometry_capacity_main,capacity=searched__selector=max_mean__trust=expanded,capacity=fixed__selector=max_mean__trust=expanded,0.001976638455165327,"[-0.01843234991433961, 0.02746056207814596]",1,-0.04436358449483313,"[0.0, 0.0, -0.019577210108350212, -0.04436358449483313, 0.07975390224450596, 0.0, 0.0, 0.0]"
trust_v1_minus_canonical__fixed__one_se,trust_main,capacity=fixed__selector=one_se__trust=v1,capacity=fixed__selector=one_se__trust=canonical,-0.09167676952445108,"[-0.17436179051250056, -0.01993847556112649]",0,-0.27633811596042834,"[0.0, 0.0, -0.03596699414560643, 0.0, -0.15950780448901192, -0.27633811596042834, 0.0, -0.261601241600562]"
trust_expanded_minus_canonical__fixed__one_se,trust_main,capacity=fixed__selector=one_se__trust=expanded,capacity=fixed__selector=one_se__trust=canonical,-0.09167676952445108,"[-0.17436179051250056, -0.01993847556112649]",0,-0.27633811596042834,"[0.0, 0.0, -0.03596699414560643, 0.0, -0.15950780448901192, -0.27633811596042834, 0.0, -0.261601241600562]"
trust_v1_minus_canonical__fixed__max_mean,trust_main,capacity=fixed__selector=max_mean__trust=v1,capacity=fixed__selector=max_mean__trust=canonical,0.0,"[0.0, 0.0]",0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
trust_expanded_minus_canonical__fixed__max_mean,trust_main,capacity=fixed__selector=max_mean__trust=expanded,capacity=fixed__selector=max_mean__trust=canonical,0.0,"[0.0, 0.0]",0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
trust_v1_minus_canonical__searched__one_se,trust_main,capacity=searched__selector=one_se__trust=v1,capacity=searched__selector=one_se__trust=canonical,-0.0795520720214879,"[-0.18220567773948732, -0.0035777532299383057]",0,-0.3657382290812916,"[0.0, 0.0, -0.028622025839506446, 0.0, 0.0, -0.3657382290812916, 0.0, -0.2420563212511051]"
trust_expanded_minus_canonical__searched__one_se,trust_main,capacity=searched__selector=one_se__trust=expanded,capacity=searched__selector=one_se__trust=canonical,-0.0795520720214879,"[-0.18220567773948732, -0.0035777532299383057]",0,-0.3657382290812916,"[0.0, 0.0, -0.028622025839506446, 0.0, 0.0, -0.3657382290812916, 0.0, -0.2420563212511051]"
trust_v1_minus_canonical__searched__max_mean,trust_main,capacity=searched__selector=max_mean__trust=v1,capacity=searched__selector=max_mean__trust=canonical,0.0,"[0.0, 0.0]",0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
trust_expanded_minus_canonical__searched__max_mean,trust_main,capacity=searched__selector=max_mean__trust=expanded,capacity=searched__selector=max_mean__trust=canonical,0.0,"[0.0, 0.0]",0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
geometry_x_selector__canonical,interaction,(searched-fixed|max_mean),(searched-fixed|one_se),-0.01365754295418288,"[-0.0383560368918015, 0.009497760717869697]",2,-0.07865710863619313,"[0.0, -0.07865710863619313, -0.012232241802250226, -0.04436358449483313, -0.03418024381908191, 0.0, 0.026607740209190968, 0.033565094909704385]"
geometry_x_selector__v1,interaction,(searched-fixed|max_mean),(searched-fixed|one_se),-0.02578224045714607,"[-0.08389283840225478, 0.024478884244703392]",3,-0.19368804830809383,"[0.0, -0.07865710863619313, -0.019577210108350212, -0.04436358449483313, -0.19368804830809383, 0.08940011312086327, 0.026607740209190968, 0.014020174560247511]"
geometry_x_selector__expanded,interaction,(searched-fixed|max_mean),(searched-fixed|one_se),-0.02578224045714607,"[-0.08415850532096286, 0.024427390213082233]",3,-0.19368804830809383,"[0.0, -0.07865710863619313, -0.019577210108350212, -0.04436358449483313, -0.19368804830809383, 0.08940011312086327, 0.026607740209190968, 0.014020174560247511]"
