geometry_id,selector,trust_class,mean_pp,ci_pp,positive_groups,worst_group_pp,full_minus_cross_sign_flip_p
residual_union_k7,one_se,canonical,0.006353800631174789,"[0.001847687078223304, 0.011734739499410504]",7,0.0,0.0078125
residual_union_k7,one_se,v1,0.00441204102048153,"[0.0003955817729656624, 0.010189238504032156]",7,-0.0027697842118601336,0.03515625
residual_union_k7,one_se,expanded,0.00441204102048153,"[0.0004058351216873517, 0.010145554128885292]",7,-0.0027697842118601336,0.03515625
residual_union_k7,max_mean,canonical,0.13023639449395155,"[-0.010016015981074522, 0.2815480795279471]",5,-0.139438781988388,0.08203125
residual_union_k7,max_mean,v1,0.13023639449395155,"[-0.010329769314224198, 0.28149148434199023]",5,-0.139438781988388,0.08203125
residual_union_k7,max_mean,expanded,0.13023639449395155,"[-0.010763245257117778, 0.2815480795279471]",5,-0.139438781988388,0.08203125
residual_union_k5,one_se,canonical,0.0033775901358149003,"[0.0007937281176123578, 0.006343408685557939]",6,-0.0010965798252438042,0.02734375
residual_union_k5,one_se,v1,0.008604321708202597,"[0.0020411423547412695, 0.018123871193688745]",6,-0.0004528480155086001,0.015625
residual_union_k5,one_se,expanded,0.008604321708202597,"[0.002049359775270025, 0.018131341144840458]",6,-0.0004528480155086001,0.015625
residual_union_k5,max_mean,canonical,0.15899561880377874,"[0.03886326951555996, 0.29914443901811943]",5,-0.02932643748452257,0.03125
residual_union_k5,max_mean,v1,0.15899561880377874,"[0.03904268137459698, 0.2984934165226218]",5,-0.02932643748452257,0.03125
residual_union_k5,max_mean,expanded,0.15899561880377874,"[0.038855856008283556, 0.29864457383531595]",5,-0.02932643748452257,0.03125
residual_union_k15,one_se,canonical,0.006735240763699796,"[0.003044386714295738, 0.011907363271414381]",7,-0.0012136326815626042,0.0078125
residual_union_k15,one_se,v1,0.0048794741498304145,"[0.0005808305140155462, 0.010690579911229969]",5,-0.002250874378117995,0.0390625
residual_union_k15,one_se,expanded,0.0048794741498304145,"[0.0005637005597243955, 0.010687844423998283]",5,-0.002250874378117995,0.0390625
residual_union_k15,max_mean,canonical,0.11775686437537213,"[0.0006152060743808575, 0.24207237196613587]",5,-0.09072755185668413,0.06640625
residual_union_k15,max_mean,v1,0.11775686437537213,"[0.0013366855933251041, 0.24191992147786318]",5,-0.09072755185668413,0.06640625
residual_union_k15,max_mean,expanded,0.11775686437537213,"[0.0006152060743808575, 0.24192373274006912]",5,-0.09072755185668413,0.06640625
residual_adaptive_k7,one_se,canonical,0.00032767703752304865,"[-0.0037252930981349075, 0.0038328723065906645]",4,-0.011393414606353236,0.4609375
residual_adaptive_k7,one_se,v1,0.0018713919796955075,"[0.00010192728750468838, 0.003946099978394119]",5,-0.0017570503001773652,0.0625
residual_adaptive_k7,one_se,expanded,0.0018713919796955075,"[0.00010192728750468838, 0.003936592764147884]",5,-0.0017570503001773652,0.0625
residual_adaptive_k7,max_mean,canonical,0.06129930153332774,"[-0.013515054470562653, 0.13270699235675532]",5,-0.0875532418362579,0.0859375
residual_adaptive_k7,max_mean,v1,0.06129930153332774,"[-0.013515054470562653, 0.13278359104118925]",5,-0.0875532418362579,0.0859375
residual_adaptive_k7,max_mean,expanded,0.06129930153332774,"[-0.013594205707641999, 0.13264503661261426]",5,-0.0875532418362579,0.0859375
residual_mutual_k7,one_se,canonical,0.015498010036535021,"[-0.015390602576339322, 0.05043945436752202]",5,-0.06435581615688024,0.21875
residual_mutual_k7,one_se,v1,0.006458480016281926,"[0.0022865554891603633, 0.011849213146096726]",7,-0.0005071897773656353,0.01171875
residual_mutual_k7,one_se,expanded,0.006458480016281926,"[0.002296353486363108, 0.011848998199936824]",7,-0.0005071897773656353,0.01171875
residual_mutual_k7,max_mean,canonical,0.06944973361385114,"[-0.0233011954116107, 0.1776522098755507]",5,-0.13049929387368708,0.1328125
residual_mutual_k7,max_mean,v1,0.07278948772824788,"[-0.01756746673735691, 0.18004194286122271]",5,-0.13049929387368708,0.11328125
residual_mutual_k7,max_mean,expanded,0.07278948772824788,"[-0.017677676060773768, 0.17944752647376805]",5,-0.13049929387368708,0.11328125
contribution_union_k7,one_se,canonical,-0.023301316755736188,"[-0.0641746880917828, 0.013458487302470313]",4,-0.13120415746846376,0.8359375
contribution_union_k7,one_se,v1,-0.023301316755736188,"[-0.0641746880917828, 0.013372196402245969]",4,-0.13120415746846376,0.8359375
contribution_union_k7,one_se,expanded,-0.023301316755736188,"[-0.06416665714629037, 0.013459192330684546]",4,-0.13120415746846376,0.8359375
contribution_union_k7,max_mean,canonical,0.13262305887446724,"[-0.06341374113815638, 0.3291515437450182]",5,-0.3383121868405503,0.1171875
contribution_union_k7,max_mean,v1,0.11974764804935058,"[-0.08333303060396036, 0.32507591324280616]",5,-0.3383121868405503,0.15625
contribution_union_k7,max_mean,expanded,0.13262305887446724,"[-0.06460237006727218, 0.32907903724167864]",5,-0.3383121868405503,0.1171875
dufs_union_k7,one_se,canonical,0.013648544982522529,"[-0.0006550512709321826, 0.037007537264247915]",6,-0.005362984679746496,0.12890625
dufs_union_k7,one_se,v1,0.0004995681903456622,"[-5.642754206253153e-05, 0.0011610834951118762]",5,-0.0005771472764259933,0.078125
dufs_union_k7,one_se,expanded,0.0004995681903456622,"[-5.6427542061143754e-05, 0.0011595952773224573]",5,-0.0005771472764259933,0.078125
dufs_union_k7,max_mean,canonical,0.04563784732618614,"[0.020077833733234265, 0.07329290001633251]",7,-0.0010348333289056377,0.0078125
dufs_union_k7,max_mean,v1,0.03773911581430446,"[0.013850980886122391, 0.06378463285432207]",7,-0.0017508261186183205,0.0078125
dufs_union_k7,max_mean,expanded,0.03773911581430446,"[0.013726169468771717, 0.0636933729578372]",7,-0.0017508261186183205,0.0078125
residual_cosine_union_k7,one_se,canonical,0.006142431382046058,"[-0.008438971941755004, 0.01947332935080287]",5,-0.032666535846626044,0.2265625
residual_cosine_union_k7,one_se,v1,-0.0010125110388596113,"[-0.004844745668686755, 0.0022289755524747754]",5,-0.011393414606364338,0.66796875
residual_cosine_union_k7,one_se,expanded,-0.0010125110388596113,"[-0.004803545142550528, 0.0022289755524747754]",5,-0.011393414606364338,0.66796875
residual_cosine_union_k7,max_mean,canonical,-0.006383266759216603,"[-0.04998197826226042, 0.030458092228096572]",5,-0.12871163231377158,0.61328125
residual_cosine_union_k7,max_mean,v1,-0.0015593829206976546,"[-0.019256574360340256, 0.016857601898039448]",3,-0.03945211911134949,0.5703125
residual_cosine_union_k7,max_mean,expanded,-0.0015593829206976546,"[-0.019173192636568626, 0.016803583507808]",3,-0.03945211911134949,0.5703125
residual_shrinkage_mahalanobis_union_k7,one_se,canonical,0.04983508802292452,"[0.011427785752962931, 0.09550652586028328]",6,-0.009225519080207105,0.0234375
residual_shrinkage_mahalanobis_union_k7,one_se,v1,0.004094994251653736,"[0.0010308668060336316, 0.007242552353132759]",7,-0.0034235309972596717,0.0234375
residual_shrinkage_mahalanobis_union_k7,one_se,expanded,0.004094994251653736,"[0.0010347386182108904, 0.007242552353132759]",7,-0.0034235309972596717,0.0234375
residual_shrinkage_mahalanobis_union_k7,max_mean,canonical,0.06594493055398522,"[-0.04185671924121901, 0.19633804184347314]",5,-0.10625281359297745,0.20703125
residual_shrinkage_mahalanobis_union_k7,max_mean,v1,0.08195792847442869,"[-0.01168742567739337, 0.20249282583005612]",5,-0.08759541643575952,0.109375
residual_shrinkage_mahalanobis_union_k7,max_mean,expanded,0.08195792847442869,"[-0.011926855669830889, 0.20261251458442153]",5,-0.08759541643575952,0.109375
