method,held_group,geometry_id,lambda,trust_factor,held_delta_auroc_pp,held_delta_auprc_pp,oracle_geometry,oracle_delta_auroc_pp,regret_pp,oracle_geometry_agreement
canonical_fixed_one_se,gsm8k,residual_union_k7,0.03,0.5,0.364972689348223,0.20066281786513762,contribution_union_k7,0.561888383988447,0.19691569464022396,False
canonical_fixed_one_se,hotpotqa,residual_union_k7,0.03,0.5,0.13407461699351808,-0.08188294299927845,contribution_union_k7,0.27529988022667595,0.14122526323315787,False
canonical_fixed_one_se,math500,residual_union_k7,0.03,0.5,0.22821638551575818,0.44026038085191344,contribution_union_k7,0.7811688014728113,0.5529524159570531,False
canonical_fixed_one_se,nq_open,residual_union_k7,0.03,0.5,-0.2769493672833079,-0.024203235445108273,contribution_union_k7,0.7673484913109041,1.044297858594212,False
canonical_fixed_one_se,sciq,residual_union_k7,0.03,0.5,0.5696707303178727,0.01976747099723397,residual_adaptive_k7,0.7063917055941671,0.13672097527629434,False
canonical_fixed_one_se,squad_v2,residual_union_k7,0.03,0.5,0.5911142405319092,0.6022356341649271,contribution_union_k7,0.7755127953551266,0.18439855482321743,False
canonical_fixed_one_se,triviaqa,residual_union_k7,0.03,0.5,-0.15730237864075197,-0.018919705202613546,residual_adaptive_k7,-0.12882636852424484,0.028476010116507133,False
canonical_fixed_one_se,truthfulqa,residual_union_k7,0.03,0.5,0.5580174386336623,0.21624005771781474,residual_union_k7,0.5580174386336623,0.0,True
fixed_max_mean,gsm8k,residual_union_k7,10.0,1.0,0.6627301558383603,0.31785560360697185,contribution_union_k7,0.561888383988447,-0.10084177184991328,False
fixed_max_mean,hotpotqa,residual_union_k7,3.0,1.0,0.08580775487584402,-0.10544887133827618,contribution_union_k7,0.27529988022667595,0.18949212535083193,False
fixed_max_mean,math500,residual_union_k7,3.0,1.0,0.3792769893263648,0.603605509857621,contribution_union_k7,0.7811688014728113,0.4018918121464466,False
fixed_max_mean,nq_open,residual_union_k7,10.0,1.0,-0.4675600727739537,0.031945208279460235,contribution_union_k7,0.7673484913109041,1.2349085640848578,False
fixed_max_mean,sciq,residual_union_k7,3.0,1.0,1.4811438988264758,0.48009668615370815,residual_adaptive_k7,0.7063917055941671,-0.7747521932323087,False
fixed_max_mean,squad_v2,residual_union_k7,10.0,1.0,0.902196622534146,0.39210266309517294,contribution_union_k7,0.7755127953551266,-0.12668382717901938,False
fixed_max_mean,triviaqa,residual_union_k7,3.0,1.0,-0.4326654999347664,-0.04449496293578159,residual_adaptive_k7,-0.12882636852424484,0.30383913141052155,False
fixed_max_mean,truthfulqa,residual_union_k7,3.0,1.0,0.9861037246568172,0.28359455916399934,residual_union_k7,0.5580174386336623,-0.4280862860231549,True
supervised_geometry_one_se,gsm8k,contribution_union_k7,0.03,1.0,0.561888383988447,0.20839528679621303,contribution_union_k7,0.561888383988447,0.0,True
supervised_geometry_one_se,hotpotqa,residual_union_k15,0.03,0.5,0.2127317256297112,-0.00960448170173045,contribution_union_k7,0.27529988022667595,0.06256815459696474,False
supervised_geometry_one_se,math500,contribution_union_k7,0.03,1.0,0.7811688014728113,1.041701558386603,contribution_union_k7,0.7811688014728113,0.0,True
supervised_geometry_one_se,nq_open,residual_union_k7,0.1,1.0,-0.6464855521884472,-0.2011783361709485,contribution_union_k7,0.7673484913109041,1.4138340434993513,False
supervised_geometry_one_se,sciq,contribution_union_k7,0.03,1.0,0.3076221943716484,-0.010864491815198996,residual_adaptive_k7,0.7063917055941671,0.3987695112225187,False
supervised_geometry_one_se,squad_v2,contribution_union_k7,0.03,1.0,0.7755127953551266,-1.2709923794713807,contribution_union_k7,0.7755127953551266,0.0,True
supervised_geometry_one_se,triviaqa,contribution_union_k7,1.0,1.0,-0.12897714170550706,0.1598258287491161,residual_adaptive_k7,-0.12882636852424484,0.0001507731812622204,False
supervised_geometry_one_se,truthfulqa,contribution_union_k7,0.03,1.0,-0.07448444159130485,-0.49954469895046594,residual_union_k7,0.5580174386336623,0.6325018802249671,False
supervised_geometry_max_mean,gsm8k,contribution_union_k7,1.0,1.0,0.6636171189116113,0.2996044816694149,contribution_union_k7,0.561888383988447,-0.10172873492316431,True
supervised_geometry_max_mean,hotpotqa,residual_union_k7,3.0,1.0,0.08580775487584402,-0.10544887133827618,contribution_union_k7,0.27529988022667595,0.18949212535083193,False
supervised_geometry_max_mean,math500,contribution_union_k7,1.0,1.0,0.808947507743496,0.8658568957908109,contribution_union_k7,0.7811688014728113,-0.02777870627068465,True
supervised_geometry_max_mean,nq_open,contribution_union_k7,3.0,1.0,0.5107769500664938,1.0066642537323034,contribution_union_k7,0.7673484913109041,0.2565715412444103,True
supervised_geometry_max_mean,sciq,contribution_union_k7,1.0,1.0,0.8317192662641082,0.13850356410589626,residual_adaptive_k7,0.7063917055941671,-0.1253275606699411,False
supervised_geometry_max_mean,squad_v2,contribution_union_k7,3.0,1.0,1.0613738413768559,-0.09834961354109328,contribution_union_k7,0.7755127953551266,-0.28586104602172924,True
supervised_geometry_max_mean,triviaqa,contribution_union_k7,3.0,2.0,-0.9189690425520572,-0.5989279177865403,residual_adaptive_k7,-0.12882636852424484,0.7901426740278124,False
supervised_geometry_max_mean,truthfulqa,contribution_union_k7,1.0,1.0,0.4501852691800923,-0.20991447129182494,residual_union_k7,0.5580174386336623,0.10783216945356999,False
intrinsic_label_free,gsm8k,residual_adaptive_k7,0.03,0.5,0.395912116338375,0.23892724620521885,contribution_union_k7,0.561888383988447,0.16597626765007203,False
intrinsic_label_free,hotpotqa,residual_adaptive_k7,0.03,0.5,0.05899283147714485,-0.002931364455394103,contribution_union_k7,0.27529988022667595,0.2163070487495311,False
intrinsic_label_free,math500,residual_adaptive_k7,0.03,0.5,0.0864183093089288,0.5352757681061182,contribution_union_k7,0.7811688014728113,0.6947504921638825,False
intrinsic_label_free,nq_open,residual_adaptive_k7,0.03,0.5,-0.16928754522151923,0.050835260365045265,contribution_union_k7,0.7673484913109041,0.9366360365324233,False
intrinsic_label_free,sciq,residual_adaptive_k7,0.03,0.5,0.7063917055941671,0.17234701836126298,residual_adaptive_k7,0.7063917055941671,0.0,True
