cell,group,prefix,actuator,geometry_id,lambda,trust_factor,iu_auroc,candidate_auroc,delta_auroc,iu_auprc,candidate_auprc,delta_auprc
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k7,0.03,0.25,0.7425934238581529,0.7417096846594098,-0.000883739198743072,0.894963286752769,0.8959545306814825,0.0009912439287134145
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k7,0.03,0.5,0.7425934238581529,0.7399422062619234,-0.002651217596229438,0.894963286752769,0.896786958116728,0.0018236713639590008
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k7,0.03,1.0,0.7425934238581529,0.735804062394793,-0.006789361463359844,0.894963286752769,0.896801263691176,0.0018379769384069267
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k7,0.03,2.0,0.7425934238581529,0.7244276736617663,-0.018165750196386554,0.894963286752769,0.8948364076875792,-0.00012687906518982217
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k7,0.1,0.25,0.7425934238581529,0.741779822691056,-0.0008136011670968335,0.894963286752769,0.8959758333374226,0.0010125465846535509
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k7,0.1,0.5,0.7425934238581529,0.7399983166872406,-0.0025951071709122697,0.894963286752769,0.8968130546128299,0.001849767860060858
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k7,0.1,1.0,0.7425934238581529,0.7358461452137808,-0.006747278644372079,0.894963286752769,0.8967275696810111,0.0017642829282420447
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k7,0.1,2.0,0.7425934238581529,0.7246100325440467,-0.0179833913141062,0.894963286752769,0.8948035081561874,-0.00015977859658167226
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k7,0.3,0.25,0.7425934238581529,0.7417517674783976,-0.0008416563797553067,0.894963286752769,0.8959417613492269,0.0009784745964578345
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k7,0.3,0.5,0.7425934238581529,0.7402367859948379,-0.00235663786331497,0.894963286752769,0.8968894775438438,0.001926190791074811
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k7,0.3,1.0,0.7425934238581529,0.7360846145213781,-0.006508809336774779,0.894963286752769,0.8967038650084448,0.001740578255675751
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k7,0.3,2.0,0.7425934238581529,0.7248905846706318,-0.017702839187521024,0.894963286752769,0.8948496908754754,-0.0001135958772936485
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k7,1.0,0.25,0.7425934238581529,0.7417096846594097,-0.0008837391987431831,0.894963286752769,0.8958723736037234,0.0009090868509543659
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k7,1.0,0.5,0.7425934238581529,0.7403069240264841,-0.0022864998316687313,0.894963286752769,0.8967228159487166,0.0017595291959475734
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k7,1.0,1.0,0.7425934238581529,0.7361828077656829,-0.006410616092469956,0.894963286752769,0.8965847307383722,0.0016214439856031548
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k7,1.0,2.0,0.7425934238581529,0.7250308607339244,-0.017562563124228436,0.894963286752769,0.8944896972038459,-0.00047358954892318117
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k7,3.0,0.25,0.7425934238581529,0.7417657950847267,-0.0008276287734261256,0.894963286752769,0.8958530550226755,0.000889768269906499
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k7,3.0,0.5,0.7425934238581529,0.7403490068454719,-0.002244417012680966,0.894963286752769,0.8966313034405776,0.0016680166878085823
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k7,3.0,1.0,0.7425934238581529,0.7363230838289754,-0.006270340029177479,0.894963286752769,0.8961885124145542,0.0012252256617851787
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k7,3.0,2.0,0.7425934238581529,0.7252973852541802,-0.017296038603972663,0.894963286752769,0.8942301168078561,-0.0007331699449129037
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k7,10.0,0.25,0.7425934238581529,0.7417657950847267,-0.0008276287734261256,0.894963286752769,0.8958321381092618,0.000868851356492728
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k7,10.0,0.5,0.7425934238581529,0.7400965099315453,-0.002496913926607558,0.894963286752769,0.8965042099700193,0.0015409232172503007
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k7,10.0,1.0,0.7425934238581529,0.7359864212770733,-0.006607002581079602,0.894963286752769,0.8958262102365564,0.000862923483787359
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k7,10.0,2.0,0.7425934238581529,0.7254516889238021,-0.017141734934350783,0.894963286752769,0.89396607586758,-0.0009972108851890038
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k7,30.0,0.25,0.7425934238581529,0.7417657950847267,-0.0008276287734261256,0.894963286752769,0.895779381413879,0.0008160946611099895
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k7,30.0,0.5,0.7425934238581529,0.7400684547188867,-0.002524969139266142,0.894963286752769,0.8962450516465983,0.0012817648938292514
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k7,30.0,1.0,0.7425934238581529,0.7361547525530243,-0.0064386713051285405,0.894963286752769,0.8957534165583184,0.0007901298055493777
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k7,30.0,2.0,0.7425934238581529,0.7257462686567164,-0.016847155201436426,0.894963286752769,0.8939140799773636,-0.0010492067754054313
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k7,100.0,0.25,0.7425934238581529,0.7418639883290314,-0.0007294355291214139,0.894963286752769,0.8958874110087502,0.0009241242559812068
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k7,100.0,0.5,0.7425934238581529,0.7405033105150938,-0.0020901133430590857,0.894963286752769,0.8964430224262296,0.0014797356734606026
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k7,100.0,1.0,0.7425934238581529,0.7366176635618897,-0.005975760296263122,0.894963286752769,0.8958158844781702,0.0008525977254011385
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k7,100.0,2.0,0.7425934238581529,0.7264476489731793,-0.016145774884973596,0.894963286752769,0.8938587373394387,-0.0011045494133303801
epr_triviaqa_mistral24b,triviaqa,full,cross,residual_union_k7,,0.25,0.7425934238581529,0.7417377398720684,-0.0008556839860844878,0.894963286752769,0.895970423319292,0.0010071365665229592
epr_triviaqa_mistral24b,triviaqa,full,cross,residual_union_k7,,0.5,0.7425934238581529,0.7399983166872406,-0.0025951071709122697,0.894963286752769,0.8968033352295419,0.001840048476772882
epr_triviaqa_mistral24b,triviaqa,full,cross,residual_union_k7,,1.0,0.7425934238581529,0.7358180900011223,-0.006775333857030552,0.894963286752769,0.8968613924789968,0.0018981057262277279
epr_triviaqa_mistral24b,triviaqa,full,cross,residual_union_k7,,2.0,0.7425934238581529,0.7241892043541691,-0.018404219503983743,0.894963286752769,0.8947473245390842,-0.00021596221368480606
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k5,0.03,0.25,0.7425934238581529,0.741779822691056,-0.0008136011670968335,0.894963286752769,0.8959831011320667,0.0010198143792976566
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k5,0.03,0.5,0.7425934238581529,0.7399422062619234,-0.002651217596229438,0.894963286752769,0.8967398440636185,0.0017765573108494692
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k5,0.03,1.0,0.7425934238581529,0.7356918415441589,-0.006901582313993959,0.894963286752769,0.8968098829431955,0.001846596190426486
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k5,0.03,2.0,0.7425934238581529,0.7237403209516329,-0.01885310290651998,0.894963286752769,0.8945421463108315,-0.00042114044193752864
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k5,0.1,0.25,0.7425934238581529,0.7418078779037145,-0.0007855459544383603,0.894963286752769,0.8959941001025609,0.001030813349791826
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k5,0.1,0.5,0.7425934238581529,0.740082482325216,-0.00251094153293685,0.894963286752769,0.8968265503993849,0.0018632636466158203
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k5,0.1,1.0,0.7425934238581529,0.7356076759061834,-0.00698574795196949,0.894963286752769,0.8966883247119153,0.0017250379591462472
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k5,0.1,2.0,0.7425934238581529,0.7239787902592301,-0.018614633598922792,0.894963286752769,0.8945485484628282,-0.0004147382899408747
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k5,0.3,0.25,0.7425934238581529,0.741723712265739,-0.000869711592413891,0.894963286752769,0.8959408799130598,0.0009775931602907795
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k5,0.3,0.5,0.7425934238581529,0.7400824823252161,-0.002510941532936739,0.894963286752769,0.8967713874384584,0.0018081006856893733
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k5,0.3,1.0,0.7425934238581529,0.735972393670744,-0.006621030187408894,0.894963286752769,0.8967883070192253,0.0018250202664562565
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k5,0.3,2.0,0.7425934238581529,0.7242172595668275,-0.01837616429132538,0.894963286752769,0.894521042841116,-0.00044224391165303967
epr_triviaqa_mistral24b,triviaqa,full,full,residual_union_k5,1.0,0.25,0.7425934238581529,0.7417096846594097,-0.0008837391987431831,0.894963286752769,0.8958915871750721,0.0009283004223030744
