arm,capacity,selector,trust_class,mean_pp,ci_pp,positive_groups,worst_group_pp,selected_geometries,selected_lambdas,selected_trusts
capacity=fixed__selector=one_se__trust=canonical,fixed,one_se,canonical,0.25147679442711046,"[0.027372046023322976, 0.4584870048518398]",6,-0.2769493672833079,"[""residual_union_k7"", ""residual_union_k7"", ""residual_union_k7"", ""residual_union_k7"", ""residual_union_k7"", ""residual_union_k7"", ""residual_union_k7"", ""residual_union_k7""]","[0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
capacity=fixed__selector=one_se__trust=v1,fixed,one_se,v1,0.15980002490265938,"[-0.01295138755278424, 0.3091501636116878]",6,-0.2769493672833079,"[""residual_union_k7"", ""residual_union_k7"", ""residual_union_k7"", ""residual_union_k7"", ""residual_union_k7"", ""residual_union_k7"", ""residual_union_k7"", ""residual_union_k7""]","[0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03]","[0.5, 0.5, 0.25, 0.5, 0.25, 0.25, 0.5, 0.25]"
capacity=fixed__selector=one_se__trust=expanded,fixed,one_se,expanded,0.15980002490265938,"[-0.01360111561238229, 0.30967573029799117]",6,-0.2769493672833079,"[""residual_union_k7"", ""residual_union_k7"", ""residual_union_k7"", ""residual_union_k7"", ""residual_union_k7"", ""residual_union_k7"", ""residual_union_k7"", ""residual_union_k7""]","[0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03]","[0.5, 0.5, 0.25, 0.5, 0.25, 0.25, 0.5, 0.25]"
capacity=fixed__selector=max_mean__trust=canonical,fixed,max_mean,canonical,0.449629196668661,"[-0.0018748594028006169, 0.8955066042413282]",6,-0.4675600727739537,"[""residual_union_k7"", ""residual_union_k7"", ""residual_union_k7"", ""residual_union_k7"", ""residual_union_k7"", ""residual_union_k7"", ""residual_union_k7"", ""residual_union_k7""]","[10.0, 3.0, 3.0, 10.0, 3.0, 10.0, 3.0, 3.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
capacity=fixed__selector=max_mean__trust=v1,fixed,max_mean,v1,0.449629196668661,"[-0.00042935447644078945, 0.8955066042413282]",6,-0.4675600727739537,"[""residual_union_k7"", ""residual_union_k7"", ""residual_union_k7"", ""residual_union_k7"", ""residual_union_k7"", ""residual_union_k7"", ""residual_union_k7"", ""residual_union_k7""]","[10.0, 3.0, 3.0, 10.0, 3.0, 10.0, 3.0, 3.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
capacity=fixed__selector=max_mean__trust=expanded,fixed,max_mean,expanded,0.449629196668661,"[-0.0006100325089046055, 0.8967586127336438]",6,-0.4675600727739537,"[""residual_union_k7"", ""residual_union_k7"", ""residual_union_k7"", ""residual_union_k7"", ""residual_union_k7"", ""residual_union_k7"", ""residual_union_k7"", ""residual_union_k7""]","[10.0, 3.0, 3.0, 10.0, 3.0, 10.0, 3.0, 3.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
capacity=searched__selector=one_se__trust=canonical,searched,one_se,canonical,0.26711097583645865,"[0.03124615510615759, 0.4831534648851334]",6,-0.2769493672833079,"[""residual_union_k7"", ""residual_union_k15"", ""residual_union_k15"", ""residual_union_k7"", ""residual_union_k15"", ""residual_union_k7"", ""residual_union_k15"", ""residual_union_k15""]","[0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
capacity=searched__selector=one_se__trust=v1,searched,one_se,v1,0.18755890381497078,"[-0.009129669655148548, 0.37781907102545087]",6,-0.2769493672833079,"[""residual_union_k7"", ""residual_union_k15"", ""residual_union_k7"", ""residual_union_k7"", ""residual_union_k15"", ""residual_adaptive_k7"", ""residual_union_k15"", ""residual_union_k15""]","[0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03]","[0.5, 0.5, 0.25, 0.5, 0.5, 0.25, 0.5, 0.25]"
capacity=searched__selector=one_se__trust=expanded,searched,one_se,expanded,0.18755890381497078,"[-0.008337093179144465, 0.37936970325890174]",6,-0.2769493672833079,"[""residual_union_k7"", ""residual_union_k15"", ""residual_union_k7"", ""residual_union_k7"", ""residual_union_k15"", ""residual_adaptive_k7"", ""residual_union_k15"", ""residual_union_k15""]","[0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03]","[0.5, 0.5, 0.25, 0.5, 0.5, 0.25, 0.5, 0.25]"
capacity=searched__selector=max_mean__trust=canonical,searched,max_mean,canonical,0.4516058351238263,"[-0.011773360016375784, 0.9154450798024547]",6,-0.5119236572687869,"[""residual_union_k7"", ""residual_union_k7"", ""residual_union_k15"", ""residual_union_k15"", ""residual_union_k15"", ""residual_union_k7"", ""residual_union_k7"", ""residual_union_k7""]","[10.0, 3.0, 3.0, 3.0, 3.0, 10.0, 3.0, 3.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
