geometry_id,actuator,replicate,delta_auroc_pp,group_values_pp
residual_union_k7,full,0,0.03247765222611215,"[-0.08747448682772663, 0.01251363091939739, 0.28822154285335966, 0.513254956362208, 0.12532756066993, -0.2102547528078147, 0.14279379388722663, -0.524561027247683]"
residual_union_k7,full,1,0.13277323694705576,"[0.16120504269786395, 0.13407461699351808, 0.3523413887788318, 0.5864931875803281, -0.0911473168508592, 0.10659910195885969, 0.15785308752310395, -0.3452332131052005]"
residual_union_k7,full,2,-0.3158649813299938,"[-0.39409689655928953, -0.4147374818999294, -0.6822424774222169, -0.736085337390624, -0.04557365842543515, -0.1678921427169744, -0.35502998255051066, 0.2687381263250299]"
residual_union_k7,full,3,0.3070951052296422,"[0.24556859155872138, 0.09653372423532591, 0.04800718778298796, -0.19493463069735206, 0.9228665831149563, 0.7823231332171554, -0.14562685494090938, 0.702023107566252]"
residual_union_k7,full,4,0.17206859470113242,"[0.23515036599931596, 0.019664277159048282, 0.05930317215353309, -0.39934497847127215, 0.5013102426797311, 0.5192016898872276, -0.20857291405726266, 0.649836902258738]"
residual_union_k7,full,5,-0.4621002936283744,"[-0.8401942949097806, -0.2091564025098802, -0.5064442568041749, -0.5388237301266585, -0.3759826820098011, -0.7189523622637917, -0.3178132385542173, -0.18943538184869047]"
residual_union_k7,full,6,-0.1286470934062303,"[-0.3546503538008239, 0.04647920055775856, -0.02550039771627821, -0.1791044776119355, -0.4899168280733779, 0.17418304803020757, -0.23647815970204342, 0.03581122106665058]"
residual_union_k7,full,7,0.31402834886920156,"[0.4079058824394799, 0.17697849443143454, 0.3762504888485929, 0.5975127641097311, 0.6836048763814495, 0.22762688582873558, 0.04741929668790057, -0.005071897773711864]"
residual_union_k7,full,8,-0.11469544464865991,"[-0.002484951839391014, -0.29496415738572423, -0.3858597850757195, -0.06565318260194353, 0.3645892674034257, -0.31200581764453394, -0.041965799426635364, -0.17921913061875738]"
residual_union_k7,full,9,-0.056853825710028456,"[-0.04884836254694935, -0.04469153899783196, -0.4710694621139866, -0.5673124119867201, 0.5013102426797311, 0.1277226922766328, -0.2335951167185102, 0.2816533517274067]"
residual_union_k7,full,10,0.03447882668839409,"[0.1954244955700191, -0.17519083287151904, 0.14389442444258105, 0.3517314579542963, 0.1595078044889897, -0.17995452079460073, 0.1776560639238996, -0.3972382792065132]"
residual_union_k7,full,11,0.10855847602744804,"[0.14089275911655652, 0.38077191226156826, 0.3203663500661369, 0.5020396005543271, -0.1822946337017184, -0.10879226160930289, 0.06201454117637321, -0.24653045964435627]"
residual_union_k7,full,12,0.08521933990170973,"[0.014550483441049254, 0.10010904735515691, -0.10752982774723031, -0.5288893301691688, 0.4329497550415784, 0.4264541225630136, -0.24808793811516758, 0.5921984068444464]"
residual_union_k7,full,13,0.06803491104724432,"[0.19568284069660158, 0.2377589874684949, 0.20068255952669253, 0.5857604137095906, -0.17090121909536515, -0.1863031408354754, 0.13468234338679386, -0.4530834964793784]"
residual_union_k7,full,14,-0.1414844416474877,"[-0.20801736882662736, -0.0035753231198309976, -0.42472629829631403, -0.6317797315306684, -0.1822946337017184, 0.19045860122588465, -0.17143634246919265, 0.29949556353856543]"
residual_union_k7,full,15,-0.0237171519260986,"[-0.16588395496920594, 0.02145193871896378, -0.14129123187087922, -0.5425547238043782, 0.022786829212717574, 0.3507323998938161, -0.27404875025450004, 0.5390702776646772]"
residual_union_k7,full,16,-0.3643715399045253,"[-0.39179776420611323, 0.04290387743791646, -0.6694774316512131, -0.6895178375898925, -0.2848353651589419, -0.6046772015282698, -0.43005804359269967, 0.11248744705301128]"
residual_union_k7,full,17,0.0422325696403034,"[0.051335559872690555, -0.008938307799566392, 0.2535347588786774, 0.5557278723966608, -0.11393414606356567, -0.10740710814584054, 0.1644112338724228, -0.4568693058890516]"
residual_union_k7,full,18,0.09304662899068833,"[0.10494193539184349, 0.05899283147714485, 0.3032828450234515, 0.5631283291217537, -0.20508146291444707, 0.12795355118720986, 0.16634864044998326, -0.3751936378114329]"
residual_union_k7,full,19,0.07110413613406204,"[-0.009125264332654481, -0.1072596935948078, -0.03016623628453008, -0.4979226420133931, 0.4101629258288608, 0.4283587085752605, -0.1334550938748939, 0.5082403847686545]"
residual_union_k7,cross,0,0.029734435063044715,"[-0.0866285328503924, 0.02502726183879478, 0.2884822486107552, 0.5134675167216551, 0.0911473168508592, -0.2068495838768114, 0.14094210264513257, -0.5277128494356353]"
residual_union_k7,cross,1,0.11775166723659458,"[0.15095491630229496, 0.1144103398344587, 0.34078014751186103, 0.5848094857857311, -0.12532756066993, 0.08103147761246987, 0.1540826154833123, -0.35872808396744116]"
residual_union_k7,cross,2,-0.3089119180950733,"[-0.38028742949735794, -0.40758683566026743, -0.6740313324391956, -0.7320746590294025, -0.05696707303177728, -0.141689656366506, -0.36154345706569024, 0.2828850983296105]"
residual_union_k7,cross,3,0.29607221180484933,"[0.22697107407418038, 0.08938307799567502, 0.027318203277988395, -0.2106976594587251, 0.9228665831149563, 0.7669133009361451, -0.15125489273829879, 0.6970780072368732]"
residual_union_k7,cross,4,0.16293641751475738,"[0.21671901366068558, 0.014301292479312888, 0.036961905218293456, -0.41290968562043284, 0.5013102426797422, 0.5192016898872387, -0.21741965421101886, 0.6453265360242377]"
residual_union_k7,cross,5,-0.4566438811389048,"[-0.8382366587316725, -0.20200575627022932, -0.48758777205511145, -0.5480756994564295, -0.38737609661615435, -0.6887675597058718, -0.3313016143796421, -0.16979989189612743]"
residual_union_k7,cross,6,-0.12822522975805786,"[-0.3515660462525283, 0.05899283147714485, -0.02725119947519339, -0.18506735506389482, -0.489916828073389, 0.1767802107742078, -0.24575834299190857, 0.03798489154109852]"
