context,selected,excluded_groups,geometry_id,health,length_energy_ratio_available_cells,length_energy_ratio_median,length_energy_ratio_min,length_energy_ratio_missing_cells,mean_direction_cosine,median_perturbation_stability,minimum_direction_cosine,minimum_perturbation_stability,moment_dispersion,predicted_roughness_decrease,valid
outer_held=sciq,False,['sciq'],residual_mutual_k7,"{'maximum_isolated_fraction': 0.0947176684881603, 'median_degree_p90': 7.0, 'minimum_largest_component_fraction': 0.12864298724954462}",19,1.094925404295118,0.9015695738337106,3,0.9713641207693617,0.3341058532129991,0.9347978250080385,0.24394217063734475,0.27562634016535387,0.0008585794888563622,False
outer_held=sciq,False,['sciq'],contribution_union_k7,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 12.0, 'minimum_largest_component_fraction': 0.4157559198542805}",19,0.3391861399177246,0.136303750797734,3,0.99034700210926,0.3262982284511543,0.9795642181652264,0.17654332730904596,0.19718712613550668,0.0003351550250153514,False
outer_held=sciq,False,['sciq'],residual_cosine_union_k7,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 11.0, 'minimum_largest_component_fraction': 0.5521402550091075}",19,1.4104585457798409,0.9589851009042386,3,0.9824646304399661,0.3270723880777454,0.9092590921150673,0.22175214116190278,0.23200532901925558,0.0026944959536633097,True
outer_held=sciq,False,['sciq'],residual_shrinkage_mahalanobis_union_k7,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 12.0, 'minimum_largest_component_fraction': 0.549863387978142}",19,0.9928331548977946,0.8420684873380124,3,0.982640150568322,0.48906355618501945,0.9365775473993257,0.3237440597420231,0.21792921930319756,0.001154527524482285,True
outer_held=squad_v2,False,['squad_v2'],residual_union_k7,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 12.0, 'minimum_largest_component_fraction': 0.6086065573770492}",19,1.0,1.0,3,0.9877921161512965,0.366459245000056,0.9672723825134965,0.2786630794701987,0.20736342057043633,0.0016503227327869432,True
outer_held=squad_v2,False,['squad_v2'],residual_union_k5,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 9.0, 'minimum_largest_component_fraction': 0.4713114754098361}",19,0.9709793419682365,0.8468134624706681,3,0.9844483035315938,0.34513704764546627,0.9713724083675285,0.2554155458020671,0.21592711784373925,0.0014245611482775812,False
outer_held=squad_v2,False,['squad_v2'],residual_union_k15,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 24.0, 'minimum_largest_component_fraction': 0.9144}",19,1.1034221392788244,1.0506060142904752,3,0.986329021798988,0.4134125112624476,0.9487187690940256,0.32406803471978324,0.21111804044064908,0.0014384068145628648,True
outer_held=squad_v2,True,['squad_v2'],residual_adaptive_k7,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 25.0, 'minimum_largest_component_fraction': 0.54}",19,1.0291428181207605,0.9800636152033709,3,0.9826047504004135,0.4091104578272178,0.9587987565982549,0.3446863384662065,0.21877171366260972,0.0012397054210641434,True
outer_held=squad_v2,False,['squad_v2'],residual_mutual_k7,"{'maximum_isolated_fraction': 0.0947176684881603, 'median_degree_p90': 7.0, 'minimum_largest_component_fraction': 0.12864298724954462}",19,1.094925404295118,0.9015695738337106,3,0.9734692493612446,0.3341058532129991,0.9351074580448149,0.24394217063734475,0.28466129822153663,0.0008705631622045469,False
outer_held=squad_v2,False,['squad_v2'],contribution_union_k7,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 12.0, 'minimum_largest_component_fraction': 0.4157559198542805}",19,0.3007562537146557,0.136303750797734,3,0.9889769553824207,0.3262982284511543,0.9765785560285343,0.17654332730904596,0.2069181414052871,0.00028254809692417537,False
