held_group,geometry_id,selector,trust_class,full_selected_lambda,common_trust_factor,full_delta_auroc_pp,cross_delta_auroc_pp,full_minus_cross_pp,cross_lambda,actuator_was_selected
gsm8k,residual_union_k7,one_se,canonical,0.03,0.5,0.364972689348223,0.3615026044695724,0.003470084878650628,,False
hotpotqa,residual_union_k7,one_se,canonical,0.03,0.5,0.13407461699351808,0.12871163231377158,0.005362984679746496,,False
math500,residual_union_k7,one_se,canonical,0.03,0.5,0.22821638551575818,0.2120359252313908,0.016180460284367364,,False
nq_open,residual_union_k7,one_se,canonical,0.03,0.5,-0.2769493672833079,-0.28156416456086575,0.004614797277557869,,False
sciq,residual_union_k7,one_se,canonical,0.03,0.5,0.5696707303178727,0.5696707303178727,0.0,,False
squad_v2,residual_union_k7,one_se,canonical,0.03,0.5,0.5911142405319092,0.5707986564011502,0.020315584130758957,,False
triviaqa,residual_union_k7,one_se,canonical,0.03,0.5,-0.15730237864075197,-0.15809830283596282,0.0007959241952108396,,False
truthfulqa,residual_union_k7,one_se,canonical,0.03,0.5,0.5580174386336623,0.5579268690305561,9.056960310616091e-05,,False
gsm8k,residual_union_k7,one_se,v1,0.03,0.5,0.364972689348223,0.3615026044695724,0.003470084878650628,,False
hotpotqa,residual_union_k7,one_se,v1,0.03,0.5,0.13407461699351808,0.12871163231377158,0.005362984679746496,,False
math500,residual_union_k7,one_se,v1,0.03,0.25,0.19224939137015173,0.19501917558201187,-0.0027697842118601336,,False
nq_open,residual_union_k7,one_se,v1,0.03,0.5,-0.2769493672833079,-0.28156416456086575,0.004614797277557869,,False
sciq,residual_union_k7,one_se,v1,0.03,0.25,0.4101629258288608,0.38737609661615435,0.022786829212706472,,False
squad_v2,residual_union_k7,one_se,v1,0.03,0.25,0.31477612457148085,0.31379497420152,0.000981150369960826,,False
triviaqa,residual_union_k7,one_se,v1,0.03,0.5,-0.15730237864075197,-0.15809830283596282,0.0007959241952108396,,False
truthfulqa,residual_union_k7,one_se,v1,0.03,0.25,0.2964161970331003,0.29636185527122105,5.434176187923967e-05,,False
gsm8k,residual_union_k7,one_se,expanded,0.03,0.5,0.364972689348223,0.3615026044695724,0.003470084878650628,,False
hotpotqa,residual_union_k7,one_se,expanded,0.03,0.5,0.13407461699351808,0.12871163231377158,0.005362984679746496,,False
math500,residual_union_k7,one_se,expanded,0.03,0.25,0.19224939137015173,0.19501917558201187,-0.0027697842118601336,,False
nq_open,residual_union_k7,one_se,expanded,0.03,0.5,-0.2769493672833079,-0.28156416456086575,0.004614797277557869,,False
sciq,residual_union_k7,one_se,expanded,0.03,0.25,0.4101629258288608,0.38737609661615435,0.022786829212706472,,False
squad_v2,residual_union_k7,one_se,expanded,0.03,0.25,0.31477612457148085,0.31379497420152,0.000981150369960826,,False
triviaqa,residual_union_k7,one_se,expanded,0.03,0.5,-0.15730237864075197,-0.15809830283596282,0.0007959241952108396,,False
truthfulqa,residual_union_k7,one_se,expanded,0.03,0.25,0.2964161970331003,0.29636185527122105,5.434176187923967e-05,,False
gsm8k,residual_union_k7,max_mean,canonical,10.0,1.0,0.6627301558383603,0.5044482099134773,0.158281945924883,,False
hotpotqa,residual_union_k7,max_mean,canonical,3.0,1.0,0.08580775487584402,0.18591680223100093,-0.10010904735515691,,False
math500,residual_union_k7,max_mean,canonical,3.0,1.0,0.3792769893263648,0.0060126330491283575,0.3732643562772364,,False
nq_open,residual_union_k7,max_mean,canonical,10.0,1.0,-0.4675600727739537,-0.67904644304011,0.21148637026615624,,False
sciq,residual_union_k7,max_mean,canonical,3.0,1.0,1.4811438988264758,0.9798336561467447,0.5013102426797311,,False
squad_v2,residual_union_k7,max_mean,canonical,10.0,1.0,0.902196622534146,1.041635404522534,-0.139438781988388,,False
triviaqa,residual_union_k7,max_mean,canonical,3.0,1.0,-0.4326654999347664,-0.49227717341314703,0.05961167347838066,,False
truthfulqa,residual_union_k7,max_mean,canonical,3.0,1.0,0.9861037246568172,1.0086193279880473,-0.02251560333123015,,False
gsm8k,residual_union_k7,max_mean,v1,10.0,1.0,0.6627301558383603,0.5044482099134773,0.158281945924883,,False
hotpotqa,residual_union_k7,max_mean,v1,3.0,1.0,0.08580775487584402,0.18591680223100093,-0.10010904735515691,,False
math500,residual_union_k7,max_mean,v1,3.0,1.0,0.3792769893263648,0.0060126330491283575,0.3732643562772364,,False
nq_open,residual_union_k7,max_mean,v1,10.0,1.0,-0.4675600727739537,-0.67904644304011,0.21148637026615624,,False
sciq,residual_union_k7,max_mean,v1,3.0,1.0,1.4811438988264758,0.9798336561467447,0.5013102426797311,,False
squad_v2,residual_union_k7,max_mean,v1,10.0,1.0,0.902196622534146,1.041635404522534,-0.139438781988388,,False
triviaqa,residual_union_k7,max_mean,v1,3.0,1.0,-0.4326654999347664,-0.49227717341314703,0.05961167347838066,,False
truthfulqa,residual_union_k7,max_mean,v1,3.0,1.0,0.9861037246568172,1.0086193279880473,-0.02251560333123015,,False
gsm8k,residual_union_k7,max_mean,expanded,10.0,1.0,0.6627301558383603,0.5044482099134773,0.158281945924883,,False
hotpotqa,residual_union_k7,max_mean,expanded,3.0,1.0,0.08580775487584402,0.18591680223100093,-0.10010904735515691,,False
math500,residual_union_k7,max_mean,expanded,3.0,1.0,0.3792769893263648,0.0060126330491283575,0.3732643562772364,,False
nq_open,residual_union_k7,max_mean,expanded,10.0,1.0,-0.4675600727739537,-0.67904644304011,0.21148637026615624,,False
sciq,residual_union_k7,max_mean,expanded,3.0,1.0,1.4811438988264758,0.9798336561467447,0.5013102426797311,,False
squad_v2,residual_union_k7,max_mean,expanded,10.0,1.0,0.902196622534146,1.041635404522534,-0.139438781988388,,False
triviaqa,residual_union_k7,max_mean,expanded,3.0,1.0,-0.4326654999347664,-0.49227717341314703,0.05961167347838066,,False
truthfulqa,residual_union_k7,max_mean,expanded,3.0,1.0,0.9861037246568172,1.0086193279880473,-0.02251560333123015,,False
