gate_id,metric_id,observed,threshold,direction,passed,status,evidence_status
P2C_F6_MINUS_SAMPLED_LEVEL_VIEW_SIMULTANEOUS_CONTRIBUTION,macro_f1,-0.007727841722887569,0.003,gt,false,FAIL,DEVELOPMENT
P2C_F6_MINUS_SAMPLED_LEVEL_VIEW_POINT_BENEFIT,macro_f1,-0.0008076247455170438,0.003,ge,false,FAIL,DEVELOPMENT
P2C_F6_MINUS_SAMPLED_LEVEL_VIEW_CELL_SUPPORT,nonnegative_cells,2,6,ge,false,FAIL,DEVELOPMENT
P2C_F6_MINUS_SAMPLED_LEVEL_VIEW_WORST_CELL,macro_f1,-0.0050234915906476885,-0.02,ge,true,PASS,DEVELOPMENT
P2C_F6_MINUS_SAMPLED_LEVEL_VIEW_EXACT,first_error_exact,-0.001442528842548585,-0.01,ge,true,PASS,DEVELOPMENT
P2C_F6_MINUS_SAMPLED_LEVEL_VIEW_CLEAN,clean_abstention_accuracy,0.0033604729530686273,-0.01,ge,true,PASS,DEVELOPMENT
P2C_F6_MINUS_SAMPLED_LEVEL_VIEW_OVERALL,all_registered_gates,false,true,eq,false,FAIL,DEVELOPMENT
