method,cell_macro_auroc,mean_delta_pp,wins,losses,worst_delta_pp
iu_pcr,0.7740628976408787,0.0,0,0,0.0
oracle_atomic,0.7785369051457188,0.4474007504840241,23,0,0.0
projected_ridge_lambda0.3,0.7739256815949425,-0.01372160459361301,11,13,-0.23998942599353645
projected_ridge_lambda1,0.7737258530481269,-0.03370445927517637,9,15,-0.5385410958375525
projected_ridge_lambda3,0.7736162362415212,-0.04466613993573352,9,14,-0.8131501020095744
top_proxy_atomic,0.7656803952024229,-0.8382502438455762,7,17,-3.65767086445119
uniform_atomic_k15_lambda0.3,0.7742918014671135,0.02289038262349256,13,11,-0.24721095334684362
uniform_atomic_k15_lambda1,0.7744703063864774,0.040740874559869654,14,10,-0.46172383661534644
uniform_atomic_k15_lambda3,0.7744152570278021,0.03523593869234851,13,10,-0.6691463416401366
uniform_atomic_k30_lambda0.3,0.7742999859848693,0.023708834399066108,15,9,-0.31693711967545335
uniform_atomic_k30_lambda1,0.7744572755592163,0.039437791833773585,14,10,-0.46040152041005866
uniform_atomic_k30_lambda3,0.7744616988962462,0.03988012553674212,13,10,-0.6681319620853943
uniform_atomic_k7_lambda0.3,0.774277362422111,0.02144647812324189,13,11,-0.25988843813387064
uniform_atomic_k7_lambda1,0.774410033246581,0.034713560570228306,11,11,-0.4621223428689869
uniform_atomic_k7_lambda3,0.774433689563974,0.03707919230952761,12,11,-0.66930936692573
