graph_k,lambda,median_cell_spearman,mean_top_bottom_pp,positive_cells
7,0.3,-0.22069287354848072,-0.09334147248585827,11
7,1.0,-0.28522065281868425,-0.43628413791148035,8
7,3.0,-0.34152549262776444,-0.7150656250510327,7
15,0.3,-0.17985820714021544,-0.12149237400932796,10
15,1.0,-0.31153846153846154,-0.44642729242876106,8
15,3.0,-0.3252286717325668,-0.6983301304665167,7
30,0.3,-0.10840413575699254,-0.13299030603408452,10
30,1.0,-0.30153846153846153,-0.46730435261460873,8
30,3.0,-0.2865384615384615,-0.7093515487983697,8
