replicates,median_proxy_spearman_vs_final,min_proxy_spearman_vs_final
4,0.9902173913043478,0.7947826086956521
8,0.9949981419546635,0.9288888888888889
12,0.9957748049052395,0.9469565217391304
20,0.9957692307692307,0.9669762641898865
30,0.9985470085470085,0.983478260869565
40,1.0,0.9999999999999999
