family,n_cells,mean_cell_spearman,mean_top_bottom_pp,partial_spearman,mean_top_feature_delta_pp,mean_oracle_delta_pp
triviaqa,4,0.05233657278848683,-0.2097960697353339,0.11994665066601602,-0.23497829953676164,0.6363781131239421
hotpotqa,1,0.3189074881073437,0.06078049303705559,0.06777370904310756,0.2288206796689285,0.2288206796689285
sciq,1,0.532535027290852,0.4248116017513324,0.1889592708206883,0.06836048763814162,0.06836048763815272
nq_open,1,0.40695652173913033,1.0073710898333217,0.2843562064896147,-1.7666898338812742,1.0225495776062132
squad_v2,1,-0.7304347826086957,-1.9463329985879152,-0.6671410447960007,-3.65767086445119,0.1851488462825901
truthfulqa,1,-0.26153846153846155,-0.9640539078558363,-0.14174459507242704,-2.447154447981903,0.7807824344239767
gsm8k,10,-0.3671309618574782,-0.8179852928239819,-0.2201532643329277,-0.709972845899387,0.2384670567820868
math500,5,-0.206510422735963,-0.05555881785741361,-0.2514466753778101,-0.900806043229123,0.7043545931360162
