cell,domain,family,method,auroc,auprc,delta_pp,feature
epr_triviaqa_mistral24b,QA,triviaqa,uniform_atomic_k7_lambda0.3,0.7448939512961509,0.892736893305468,0.04629110088655297,
epr_triviaqa_mistral24b,QA,triviaqa,uniform_atomic_k7_lambda1,0.7459740769835034,0.8920712663965966,0.15430366962180253,
epr_triviaqa_mistral24b,QA,triviaqa,uniform_atomic_k7_lambda3,0.7464089327797105,0.8914500756134396,0.19778924924251928,
epr_triviaqa_mistral24b,QA,triviaqa,uniform_atomic_k15_lambda0.3,0.7449079789024801,0.8927589960563644,0.04769386151947108,
epr_triviaqa_mistral24b,QA,triviaqa,uniform_atomic_k15_lambda1,0.7459039389518574,0.8921666577231683,0.14728986645720088,
epr_triviaqa_mistral24b,QA,triviaqa,uniform_atomic_k15_lambda3,0.7464089327797105,0.8915116072445106,0.19778924924251928,
epr_triviaqa_mistral24b,QA,triviaqa,uniform_atomic_k30_lambda0.3,0.7449921445404555,0.8928563301642299,0.056110425317013046,
epr_triviaqa_mistral24b,QA,triviaqa,uniform_atomic_k30_lambda1,0.7457636628885645,0.8921779170559222,0.13326226012791986,
epr_triviaqa_mistral24b,QA,triviaqa,uniform_atomic_k30_lambda3,0.7461283806531254,0.8915006245559203,0.16973403658400166,
epr_triviaqa_mistral24b,QA,triviaqa,projected_ridge_lambda0.3,0.7444871507126024,0.894088988533378,0.0056110425317057455,
epr_triviaqa_mistral24b,QA,triviaqa,projected_ridge_lambda1,0.7445432611379195,0.8939762965972282,0.011222085063411491,
epr_triviaqa_mistral24b,QA,triviaqa,projected_ridge_lambda3,0.7446414543822242,0.8939749280173395,0.021041409493882668,
epr_triviaqa_mistral24b,QA,triviaqa,iu_pcr,0.7444310402872854,0.8943604354531876,0.0,
epr_triviaqa_mistral24b,QA,triviaqa,top_proxy_atomic,0.745833800920211,0.8844864016981987,0.14027606329256592,epr_spilled
epr_triviaqa_mistral24b,QA,triviaqa,oracle_atomic,0.7470121198518684,0.8871256526877582,0.25810795645830886,topk_tail_mass
losnet_hotpotqa_mistral7b,QA,hotpotqa,uniform_atomic_k7_lambda0.3,0.5712472514703517,0.4117685980533163,0.008938307799577494,
losnet_hotpotqa_mistral7b,QA,hotpotqa,uniform_atomic_k7_lambda1,0.5726773807182823,0.4147995458880656,0.15195123259263976,
losnet_hotpotqa_mistral7b,QA,hotpotqa,uniform_atomic_k7_lambda3,0.5729097767210712,0.4163763032266292,0.17519083287153014,
losnet_hotpotqa_mistral7b,QA,hotpotqa,uniform_atomic_k15_lambda0.3,0.5712472514703516,0.4118036179708299,0.008938307799566392,
losnet_hotpotqa_mistral7b,QA,hotpotqa,uniform_atomic_k15_lambda1,0.5729634065678686,0.4150755001736188,0.18055381755126554,
losnet_hotpotqa_mistral7b,QA,hotpotqa,uniform_atomic_k15_lambda3,0.5729455299522694,0.4160916284684588,0.17876615599135004,
losnet_hotpotqa_mistral7b,QA,hotpotqa,uniform_atomic_k30_lambda0.3,0.5712472514703516,0.41156373994576256,0.008938307799566392,
losnet_hotpotqa_mistral7b,QA,hotpotqa,uniform_atomic_k30_lambda1,0.5725164911778902,0.41453130660170356,0.13586227855342248,
losnet_hotpotqa_mistral7b,QA,hotpotqa,uniform_atomic_k30_lambda3,0.5729276533366704,0.4159478961554649,0.17697849443144564,
losnet_hotpotqa_mistral7b,QA,hotpotqa,projected_ridge_lambda0.3,0.5714617708575412,0.4109169719325664,0.030390246518530173,
losnet_hotpotqa_mistral7b,QA,hotpotqa,projected_ridge_lambda1,0.5712472514703516,0.4115365734531745,0.008938307799566392,
losnet_hotpotqa_mistral7b,QA,hotpotqa,projected_ridge_lambda3,0.5715869071667352,0.41241491056776614,0.04290387743792756,
losnet_hotpotqa_mistral7b,QA,hotpotqa,iu_pcr,0.5711578683923559,0.40937580725009665,0.0,
losnet_hotpotqa_mistral7b,QA,hotpotqa,top_proxy_atomic,0.5734460751890452,0.4252812504981468,0.2288206796689285,varentropy
losnet_hotpotqa_mistral7b,QA,hotpotqa,oracle_atomic,0.5734460751890452,0.4252812504981468,0.2288206796689285,varentropy
sciq_llama8b,QA,sciq,uniform_atomic_k7_lambda0.3,0.7407998177053664,0.8438539739914636,-0.07975390224449486,
sciq_llama8b,QA,sciq,uniform_atomic_k7_lambda1,0.7401162128289849,0.8429773258361799,-0.14811438988264758,
sciq_llama8b,QA,sciq,uniform_atomic_k7_lambda3,0.7404580152671756,0.8426771290683139,-0.11393414606357677,
sciq_llama8b,QA,sciq,uniform_atomic_k15_lambda0.3,0.7409137518514299,0.8438866240675382,-0.06836048763814162,
sciq_llama8b,QA,sciq,uniform_atomic_k15_lambda1,0.7401162128289849,0.8429773258361799,-0.14811438988264758,
sciq_llama8b,QA,sciq,uniform_atomic_k15_lambda3,0.740344081121112,0.8426440856178288,-0.12532756066993,
sciq_llama8b,QA,sciq,uniform_atomic_k30_lambda0.3,0.7407998177053664,0.8438539739914636,-0.07975390224449486,
sciq_llama8b,QA,sciq,uniform_atomic_k30_lambda1,0.7401162128289849,0.8429773258361799,-0.14811438988264758,
sciq_llama8b,QA,sciq,uniform_atomic_k30_lambda3,0.7404580152671756,0.8427110021181666,-0.11393414606357677,
sciq_llama8b,QA,sciq,projected_ridge_lambda0.3,0.7402301469750484,0.8444107471250235,-0.13672097527629434,
sciq_llama8b,QA,sciq,projected_ridge_lambda1,0.740344081121112,0.8442275607066502,-0.12532756066993,
sciq_llama8b,QA,sciq,projected_ridge_lambda3,0.7405719494132391,0.8442056125474633,-0.10254073145722353,
sciq_llama8b,QA,sciq,iu_pcr,0.7415973567278114,0.8443328162218233,0.0,
sciq_llama8b,QA,sciq,top_proxy_atomic,0.7422809616041928,0.8438420405920037,0.06836048763814162,sw_var_peak
sciq_llama8b,QA,sciq,oracle_atomic,0.7422809616041929,0.8437673476443037,0.06836048763815272,min_energy
se_nq_open_llama8b,QA,nq_open,uniform_atomic_k7_lambda0.3,0.7460863582397206,0.7305861094379755,0.2613038060890194,
se_nq_open_llama8b,QA,nq_open,uniform_atomic_k7_lambda1,0.7482795336537587,0.7322283840209209,0.4806213474928267,
se_nq_open_llama8b,QA,nq_open,uniform_atomic_k7_lambda3,0.7496652034496308,0.7327715750521444,0.6191883270800447,
se_nq_open_llama8b,QA,nq_open,uniform_atomic_k15_lambda0.3,0.7460496076723102,0.7305390319565223,0.2576287493479823,
se_nq_open_llama8b,QA,nq_open,uniform_atomic_k15_lambda1,0.748216772410784,0.7321864881218575,0.47434522319536043,
se_nq_open_llama8b,QA,nq_open,uniform_atomic_k15_lambda3,0.7495839270806094,0.7326452468471416,0.6110606901779003,
se_nq_open_llama8b,QA,nq_open,uniform_atomic_k30_lambda0.3,0.7460751708523811,0.730569945995249,0.26018506735506763,
se_nq_open_llama8b,QA,nq_open,uniform_atomic_k30_lambda1,0.7482688496988494,0.7322192729357009,0.47955295200190484,
se_nq_open_llama8b,QA,nq_open,uniform_atomic_k30_lambda3,0.7496545194947215,0.7326757410147725,0.6181199315891117,
se_nq_open_llama8b,QA,nq_open,projected_ridge_lambda0.3,0.7442944184726139,0.7293765499816189,0.08210982937835176,
se_nq_open_llama8b,QA,nq_open,projected_ridge_lambda1,0.7448934471277082,0.7300041151607254,0.14201269488778312,
se_nq_open_llama8b,QA,nq_open,projected_ridge_lambda3,0.7453224274952418,0.7303354943483817,0.18491073164114136,
se_nq_open_llama8b,QA,nq_open,iu_pcr,0.7434733201788304,0.7287365752387622,0.0,
se_nq_open_llama8b,QA,nq_open,top_proxy_atomic,0.7258064218400176,0.7086700233583203,-1.7666898338812742,cusum_max
se_nq_open_llama8b,QA,nq_open,oracle_atomic,0.7536988159548925,0.7296933333758271,1.0225495776062132,mean_logprob_entropy
se_squad_v2_llama8b,QA,squad_v2,uniform_atomic_k7_lambda0.3,0.8096377823693051,0.6849596631158884,-0.11006198561749336,
se_squad_v2_llama8b,QA,squad_v2,uniform_atomic_k7_lambda1,0.8075375434303326,0.6783853098833172,-0.3200858795147421,
se_squad_v2_llama8b,QA,squad_v2,uniform_atomic_k7_lambda3,0.805900753754343,0.6734259269682327,-0.48376484711369905,
se_squad_v2_llama8b,QA,squad_v2,uniform_atomic_k15_lambda0.3,0.8096245079819469,0.6849454810819599,-0.11138942435331423,
se_squad_v2_llama8b,QA,squad_v2,uniform_atomic_k15_lambda1,0.8075231147484214,0.6783709125008589,-0.32152874770585704,
se_squad_v2_llama8b,QA,squad_v2,uniform_atomic_k15_lambda3,0.8058972908706843,0.6734231825755417,-0.4841111354795702,
se_squad_v2_llama8b,QA,squad_v2,uniform_atomic_k30_lambda0.3,0.8096348966329228,0.6849540407319789,-0.11035055925572301,
se_squad_v2_llama8b,QA,squad_v2,uniform_atomic_k30_lambda1,0.8075767894451307,0.6784254565281796,-0.3161612780349321,
se_squad_v2_llama8b,QA,squad_v2,uniform_atomic_k30_lambda3,0.8059313425599945,0.6734641806438416,-0.4807059665485447,
se_squad_v2_llama8b,QA,squad_v2,projected_ridge_lambda0.3,0.8105687209262059,0.6874033883545431,-0.01696812992740826,
se_squad_v2_llama8b,QA,squad_v2,projected_ridge_lambda1,0.8103032331790425,0.6870614723501347,-0.0435169046437478,
se_squad_v2_llama8b,QA,squad_v2,projected_ridge_lambda3,0.8103020788844897,0.6870825197084247,-0.04363233409903078,
se_squad_v2_llama8b,QA,squad_v2,iu_pcr,0.81073840222548,0.6883534077083218,0.0,
se_squad_v2_llama8b,QA,squad_v2,top_proxy_atomic,0.7741616935809681,0.5862973018919831,-3.65767086445119,trace_length
se_squad_v2_llama8b,QA,squad_v2,oracle_atomic,0.8125898906883059,0.694956892185636,0.1851488462825901,high_band_power
seiclr_triviaqa_opt30b,QA,triviaqa,uniform_atomic_k7_lambda0.3,0.8227989633099985,0.8044939816910815,0.10736411372588295,
seiclr_triviaqa_opt30b,QA,triviaqa,uniform_atomic_k7_lambda1,0.8238552383782407,0.8054982242236686,0.212991620550107,
seiclr_triviaqa_opt30b,QA,triviaqa,uniform_atomic_k7_lambda3,0.8247240242198776,0.8065596727904646,0.29987020471379244,
seiclr_triviaqa_opt30b,QA,triviaqa,uniform_atomic_k15_lambda0.3,0.8228746986665432,0.8046124622871862,0.11493764938035334,
seiclr_triviaqa_opt30b,QA,triviaqa,uniform_atomic_k15_lambda1,0.8240087994514895,0.8057036920505838,0.22834772787498903,
seiclr_triviaqa_opt30b,QA,triviaqa,uniform_atomic_k15_lambda3,0.824876459714579,0.8066970684860992,0.3151137541839377,
seiclr_triviaqa_opt30b,QA,triviaqa,uniform_atomic_k30_lambda0.3,0.822964744950333,0.8046804161481407,0.12394227775933686,
seiclr_triviaqa_opt30b,QA,triviaqa,uniform_atomic_k30_lambda1,0.8242567483257823,0.806053855085817,0.2531426153042693,
seiclr_triviaqa_opt30b,QA,triviaqa,uniform_atomic_k30_lambda3,0.8251076857075965,0.806910969408464,0.33823635348568803,
seiclr_triviaqa_opt30b,QA,triviaqa,projected_ridge_lambda0.3,0.8193254279128043,0.8008860837214227,-0.23998942599353645,
seiclr_triviaqa_opt30b,QA,triviaqa,projected_ridge_lambda1,0.8163399112143641,0.7979543301378026,-0.5385410958375525,
seiclr_triviaqa_opt30b,QA,triviaqa,projected_ridge_lambda3,0.8135938211526439,0.7945185353567229,-0.8131501020095744,
seiclr_triviaqa_opt30b,QA,triviaqa,iu_pcr,0.8217253221727396,0.803245937990686,0.0,
seiclr_triviaqa_opt30b,QA,triviaqa,top_proxy_atomic,0.8168679683500176,0.7985757099946259,-0.48573538227220103,epr
seiclr_triviaqa_opt30b,QA,triviaqa,oracle_atomic,0.8312105725914549,0.8126848780828022,0.9485250418715285,cusum_max_spilled
semenergy_triviaqa_qwen3_8b,QA,triviaqa,uniform_atomic_k7_lambda0.3,0.8089366776308954,0.7754082064851245,0.321819646335042,
semenergy_triviaqa_qwen3_8b,QA,triviaqa,uniform_atomic_k7_lambda1,0.8118878340286766,0.7787836053094056,0.6169352861131627,
semenergy_triviaqa_qwen3_8b,QA,triviaqa,uniform_atomic_k7_lambda3,0.8139414448675522,0.7805529587794575,0.8222963700007191,
semenergy_triviaqa_qwen3_8b,QA,triviaqa,uniform_atomic_k15_lambda0.3,0.8089533026933433,0.7754178595945076,0.3234821525798348,
semenergy_triviaqa_qwen3_8b,QA,triviaqa,uniform_atomic_k15_lambda1,0.8118807683771363,0.7787758440152663,0.6162287209591333,
semenergy_triviaqa_qwen3_8b,QA,triviaqa,uniform_atomic_k15_lambda3,0.8139532902245463,0.7805632627131689,0.8234809057001358,
semenergy_triviaqa_qwen3_8b,QA,triviaqa,uniform_atomic_k30_lambda0.3,0.8089283650996715,0.7754034701091104,0.32098839321265116,
semenergy_triviaqa_qwen3_8b,QA,triviaqa,uniform_atomic_k30_lambda1,0.8118429463600673,0.7787463211163087,0.6124465192522299,
semenergy_triviaqa_qwen3_8b,QA,triviaqa,uniform_atomic_k30_lambda3,0.8139052853567281,0.7805196145309758,0.8186804189183161,
semenergy_triviaqa_qwen3_8b,QA,triviaqa,projected_ridge_lambda0.3,0.8075123254056723,0.7733513033460864,0.179384423812734,
semenergy_triviaqa_qwen3_8b,QA,triviaqa,projected_ridge_lambda1,0.8093489791796031,0.7762771494044506,0.363049801205817,
semenergy_triviaqa_qwen3_8b,QA,triviaqa,projected_ridge_lambda3,0.8108202972062413,0.7781998262701022,0.5101816038696305,
semenergy_triviaqa_qwen3_8b,QA,triviaqa,iu_pcr,0.805718481167545,0.7711870634968545,0.0,
semenergy_triviaqa_qwen3_8b,QA,triviaqa,top_proxy_atomic,0.815773942375871,0.7818875044320083,1.005546120832601,sw_var_peak
semenergy_triviaqa_qwen3_8b,QA,triviaqa,oracle_atomic,0.815773942375871,0.7818875044320083,1.005546120832601,sw_var_peak
spilled_triviaqa_llama8b,QA,triviaqa,uniform_atomic_k7_lambda0.3,0.9326666666666666,0.5132309267793138,0.06666666666665932,
spilled_triviaqa_llama8b,QA,triviaqa,uniform_atomic_k7_lambda1,0.932,0.5130554881828226,0.0,
spilled_triviaqa_llama8b,QA,triviaqa,uniform_atomic_k7_lambda3,0.9319999999999999,0.502046783625731,-1.1102230246251565e-14,
spilled_triviaqa_llama8b,QA,triviaqa,uniform_atomic_k15_lambda0.3,0.9326666666666666,0.5132309267793138,0.06666666666665932,
spilled_triviaqa_llama8b,QA,triviaqa,uniform_atomic_k15_lambda1,0.9326666666666666,0.5132309267793138,0.06666666666665932,
spilled_triviaqa_llama8b,QA,triviaqa,uniform_atomic_k15_lambda3,0.9319999999999999,0.502046783625731,-1.1102230246251565e-14,
spilled_triviaqa_llama8b,QA,triviaqa,uniform_atomic_k30_lambda0.3,0.9326666666666666,0.5132309267793138,0.06666666666665932,
spilled_triviaqa_llama8b,QA,triviaqa,uniform_atomic_k30_lambda1,0.9326666666666666,0.5132309267793138,0.06666666666665932,
spilled_triviaqa_llama8b,QA,triviaqa,uniform_atomic_k30_lambda3,0.9319999999999999,0.502046783625731,-1.1102230246251565e-14,
spilled_triviaqa_llama8b,QA,triviaqa,projected_ridge_lambda0.3,0.9313333333333333,0.4846130952380952,-0.06666666666667043,
spilled_triviaqa_llama8b,QA,triviaqa,projected_ridge_lambda1,0.9313333333333333,0.4846130952380952,-0.06666666666667043,
spilled_triviaqa_llama8b,QA,triviaqa,projected_ridge_lambda3,0.932,0.4847932754182754,0.0,
spilled_triviaqa_llama8b,QA,triviaqa,iu_pcr,0.932,0.512390873015873,0.0,
spilled_triviaqa_llama8b,QA,triviaqa,top_proxy_atomic,0.9159999999999999,0.415077327465004,-1.6000000000000125,epr_spilled
spilled_triviaqa_llama8b,QA,triviaqa,oracle_atomic,0.9353333333333333,0.45779336638870105,0.33333333333332993,cusum_max
truthfulqa_llama8b,QA,truthfulqa,uniform_atomic_k7_lambda0.3,0.6594351065170988,0.1891219848761111,-0.21245817495729735,
truthfulqa_llama8b,QA,truthfulqa,uniform_atomic_k7_lambda1,0.6569384648379819,0.18715185349810232,-0.4621223428689869,
truthfulqa_llama8b,QA,truthfulqa,uniform_atomic_k7_lambda3,0.6548665945974145,0.1857926658229152,-0.66930936692573,
truthfulqa_llama8b,QA,truthfulqa,uniform_atomic_k15_lambda0.3,0.659437099048367,0.18912574538951563,-0.21225892183047712,
truthfulqa_llama8b,QA,truthfulqa,uniform_atomic_k15_lambda1,0.6569424499005183,0.1871571098052519,-0.46172383661534644,
truthfulqa_llama8b,QA,truthfulqa,uniform_atomic_k15_lambda3,0.6548682248502704,0.18579347880531777,-0.6691463416401366,
truthfulqa_llama8b,QA,truthfulqa,uniform_atomic_k30_lambda0.3,0.6594383670228104,0.1890838451218141,-0.21213212438613294,
truthfulqa_llama8b,QA,truthfulqa,uniform_atomic_k30_lambda1,0.6569556730625712,0.1871576487362026,-0.46040152041005866,
truthfulqa_llama8b,QA,truthfulqa,uniform_atomic_k30_lambda3,0.6548783686458178,0.18581089191488076,-0.6681319620853943,
truthfulqa_llama8b,QA,truthfulqa,projected_ridge_lambda0.3,0.6605665019990523,0.18962041356400508,-0.09931862676194614,
truthfulqa_llama8b,QA,truthfulqa,projected_ridge_lambda1,0.6596508433116883,0.1894003796355853,-0.19088449549834463,
truthfulqa_llama8b,QA,truthfulqa,projected_ridge_lambda3,0.6588898775064231,0.18879143551540795,-0.26698107602486365,
truthfulqa_llama8b,QA,truthfulqa,iu_pcr,0.6615596882666718,0.1905679328489564,0.0,
truthfulqa_llama8b,QA,truthfulqa,top_proxy_atomic,0.6370881437868527,0.17386934356441552,-2.447154447981903,trace_length
truthfulqa_llama8b,QA,truthfulqa,oracle_atomic,0.6693675126109115,0.20144873695746557,0.7807824344239767,spectral_entropy
ars_gsm8k_r1distill8b,math,gsm8k,uniform_atomic_k7_lambda0.3,0.7559793148028442,0.8833109836227102,-0.1616031027795728,
ars_gsm8k_r1distill8b,math,gsm8k,uniform_atomic_k7_lambda1,0.7549490950226244,0.8831234511022434,-0.26462508080155045,
ars_gsm8k_r1distill8b,math,gsm8k,uniform_atomic_k7_lambda3,0.7529694570135745,0.8819336752232607,-0.4625888817065382,
ars_gsm8k_r1distill8b,math,gsm8k,uniform_atomic_k15_lambda0.3,0.7560197155785391,0.8832682675723227,-0.15756302521008347,
ars_gsm8k_r1distill8b,math,gsm8k,uniform_atomic_k15_lambda1,0.7549086942469295,0.8830993307120545,-0.26866515837103977,
ars_gsm8k_r1distill8b,math,gsm8k,uniform_atomic_k15_lambda3,0.753030058177117,0.8819639743168473,-0.45652876535229314,
ars_gsm8k_r1distill8b,math,gsm8k,uniform_atomic_k30_lambda0.3,0.7562823206205559,0.8834630084838413,-0.1313025210084029,
ars_gsm8k_r1distill8b,math,gsm8k,uniform_atomic_k30_lambda1,0.7549086942469296,0.8830556380710983,-0.26866515837102867,
ars_gsm8k_r1distill8b,math,gsm8k,uniform_atomic_k30_lambda3,0.7533734647705237,0.8821414811056657,-0.4221881060116228,
ars_gsm8k_r1distill8b,math,gsm8k,projected_ridge_lambda0.3,0.7562015190691661,0.8834152120805999,-0.13938267614738153,
ars_gsm8k_r1distill8b,math,gsm8k,projected_ridge_lambda1,0.7551106981254041,0.8831239095516458,-0.24846477052358207,
ars_gsm8k_r1distill8b,math,gsm8k,projected_ridge_lambda3,0.7536966709760827,0.8822056938387899,-0.38986748545571936,
ars_gsm8k_r1distill8b,math,gsm8k,iu_pcr,0.7575953458306399,0.8836754709022755,0.0,
ars_gsm8k_r1distill8b,math,gsm8k,top_proxy_atomic,0.7508080155138979,0.8799822800597159,-0.6787330316742057,topk_tail_mass
ars_gsm8k_r1distill8b,math,gsm8k,oracle_atomic,0.7606860051712994,0.8847038878802337,0.30906593406594407,hl_ratio
internalstates_gsm8k_qwen25_7b,math,gsm8k,uniform_atomic_k7_lambda0.3,0.7100075157541771,0.48710448657943584,-0.1503150835404865,
internalstates_gsm8k_qwen25_7b,math,gsm8k,uniform_atomic_k7_lambda1,0.7091788556782486,0.4851698745524736,-0.23318109113333874,
internalstates_gsm8k_qwen25_7b,math,gsm8k,uniform_atomic_k7_lambda3,0.7081960262858684,0.4823757433161785,-0.3314640303713534,
internalstates_gsm8k_qwen25_7b,math,gsm8k,uniform_atomic_k15_lambda0.3,0.7100846004124028,0.4872174120220031,-0.14260661771791083,
internalstates_gsm8k_qwen25_7b,math,gsm8k,uniform_atomic_k15_lambda1,0.7091788556782487,0.48513993819147316,-0.23318109113332763,
internalstates_gsm8k_qwen25_7b,math,gsm8k,uniform_atomic_k15_lambda3,0.7082345686149815,0.4826646426909188,-0.3276097974600489,
internalstates_gsm8k_qwen25_7b,math,gsm8k,uniform_atomic_k30_lambda0.3,0.7102002273997416,0.4873160302305919,-0.13104391898403067,
internalstates_gsm8k_qwen25_7b,math,gsm8k,uniform_atomic_k30_lambda1,0.709275211501031,0.48537311170977404,-0.22354550885509417,
internalstates_gsm8k_qwen25_7b,math,gsm8k,uniform_atomic_k30_lambda3,0.7084080090959897,0.48337099662528443,-0.3102657493592287,
internalstates_gsm8k_qwen25_7b,math,gsm8k,projected_ridge_lambda0.3,0.7112986837794608,0.48941694335557,-0.02119828101211363,
internalstates_gsm8k_qwen25_7b,math,gsm8k,projected_ridge_lambda1,0.7109903451465572,0.4891655187795856,-0.05203214430247183,
internalstates_gsm8k_qwen25_7b,math,gsm8k,projected_ridge_lambda3,0.7107976335009926,0.48914965267523025,-0.07130330885893876,
internalstates_gsm8k_qwen25_7b,math,gsm8k,iu_pcr,0.711510666589582,0.48980609165815925,0.0,
internalstates_gsm8k_qwen25_7b,math,gsm8k,top_proxy_atomic,0.6854753232737855,0.4370974329470101,-2.603534331579649,epr_spilled
internalstates_gsm8k_qwen25_7b,math,gsm8k,oracle_atomic,0.7166946098552736,0.495001249585672,0.5183943265691604,cusum_max
lapeigvals_gsm8k_llama3b,math,gsm8k,uniform_atomic_k7_lambda0.3,0.6975754275234824,0.5962552015077295,0.1086845216484722,
lapeigvals_gsm8k_llama3b,math,gsm8k,uniform_atomic_k7_lambda1,0.6982899060705077,0.5970533021914368,0.18013237635099433,
lapeigvals_gsm8k_llama3b,math,gsm8k,uniform_atomic_k7_lambda3,0.6985877994060752,0.5972972196220183,0.2099217099077455,
lapeigvals_gsm8k_llama3b,math,gsm8k,uniform_atomic_k15_lambda0.3,0.6975079360646428,0.5961994206404554,0.10193537576450584,
lapeigvals_gsm8k_llama3b,math,gsm8k,uniform_atomic_k15_lambda1,0.6981851779447222,0.5969185104511905,0.16965956377245073,
lapeigvals_gsm8k_llama3b,math,gsm8k,uniform_atomic_k15_lambda3,0.6984737621135533,0.5976474986370567,0.19851798065555482,
lapeigvals_gsm8k_llama3b,math,gsm8k,uniform_atomic_k30_lambda0.3,0.6974334627307511,0.5958460535324336,0.09448804237534025,
lapeigvals_gsm8k_llama3b,math,gsm8k,uniform_atomic_k30_lambda1,0.6979827035682036,0.5965289622076311,0.14941212612058496,
lapeigvals_gsm8k_llama3b,math,gsm8k,uniform_atomic_k30_lambda3,0.6983131789873489,0.5970975123247128,0.1824596680351176,
lapeigvals_gsm8k_llama3b,math,gsm8k,projected_ridge_lambda0.3,0.6959090866776515,0.5926225275068873,-0.05794956293462272,
lapeigvals_gsm8k_llama3b,math,gsm8k,projected_ridge_lambda1,0.6955669748000857,0.5920622156835449,-0.09216075069120588,
lapeigvals_gsm8k_llama3b,math,gsm8k,projected_ridge_lambda3,0.6954180281323019,0.5919034672712569,-0.10705541746958147,
lapeigvals_gsm8k_llama3b,math,gsm8k,iu_pcr,0.6964885823069977,0.5934863245132465,0.0,
lapeigvals_gsm8k_llama3b,math,gsm8k,top_proxy_atomic,0.7028956163133837,0.6047982909623897,0.6407034006385981,epr_energy
lapeigvals_gsm8k_llama3b,math,gsm8k,oracle_atomic,0.7028956163133837,0.6047982909623897,0.6407034006385981,epr_energy
lapeigvals_gsm8k_llama8b,math,gsm8k,uniform_atomic_k7_lambda0.3,0.8140763872207541,0.9064882310236992,-0.010008807750827575,
lapeigvals_gsm8k_llama8b,math,gsm8k,uniform_atomic_k7_lambda1,0.8139562815277445,0.9065217437668035,-0.02201937705179624,
