cell,domain,family,method,auroc,auprc,delta_pp
epr_triviaqa_mistral24b,QA,triviaqa,deployed_upcr,0.7461424082594547,0.8894187359774111,0.17113679721693087
epr_triviaqa_mistral24b,QA,triviaqa,iu_pcr,0.7444310402872854,0.8943604354531876,0.0
epr_triviaqa_mistral24b,QA,triviaqa,dufs_liu,0.7447957580518461,0.8935545176212141,0.03647177645607069
epr_triviaqa_mistral24b,QA,triviaqa,raw_uniform_liu,0.7440102120974077,0.8950267911951891,-0.042082818987765336
epr_triviaqa_mistral24b,QA,triviaqa,atomic_random__lambda_0p1,0.7444871507126023,0.8940792825674557,0.005611042531694643
epr_triviaqa_mistral24b,QA,triviaqa,family_blocked__lambda_0p1,0.7446414543822242,0.8936667018076664,0.021041409493882668
epr_triviaqa_mistral24b,QA,triviaqa,dependency_blocked_t4__lambda_0p1,0.7443609022556391,0.8943245251309168,-0.007013803164623855
epr_triviaqa_mistral24b,QA,triviaqa,dependency_blocked_t8__lambda_0p1,0.7444590954999438,0.8945944691099007,0.0028055212658473216
epr_triviaqa_mistral24b,QA,triviaqa,dependency_direct__lambda_0p1,0.7444170126809563,0.8945709689512168,-0.0014027606329070075
epr_triviaqa_mistral24b,QA,triviaqa,dependency_node_permuted__lambda_0p1,0.7444590954999439,0.8943297622933452,0.002805521265858424
epr_triviaqa_mistral24b,QA,triviaqa,dependency_blocked_k5__lambda_0p1,0.7444731231062731,0.894342781378958,0.004208281898776534
epr_triviaqa_mistral24b,QA,triviaqa,dependency_blocked_k11__lambda_0p1,0.7445432611379195,0.8943565611377907,0.011222085063411491
epr_triviaqa_mistral24b,QA,triviaqa,dependency_blocked__lambda_0p1,0.7444871507126023,0.8943484663558032,0.005611042531694643
epr_triviaqa_mistral24b,QA,triviaqa,atomic_random__lambda_0,0.7444310402872854,0.8943604354531876,0.0
epr_triviaqa_mistral24b,QA,triviaqa,atomic_random__lambda_0p03,0.7444731231062731,0.8942548534282707,0.004208281898776534
epr_triviaqa_mistral24b,QA,triviaqa,atomic_random__lambda_0p3,0.7447396476265291,0.8940019416580507,0.03086073392437605
epr_triviaqa_mistral24b,QA,triviaqa,atomic_random__lambda_1,0.7447256200201997,0.8938336160056217,0.029457973291435735
epr_triviaqa_mistral24b,QA,triviaqa,atomic_random__lambda_3,0.7446414543822241,0.893569923228037,0.021041409493871566
epr_triviaqa_mistral24b,QA,triviaqa,dependency_blocked__lambda_0,0.7444310402872854,0.8943604354531876,0.0
epr_triviaqa_mistral24b,QA,triviaqa,dependency_blocked__lambda_0p03,0.7444310402872854,0.8943182597468113,0.0
epr_triviaqa_mistral24b,QA,triviaqa,dependency_blocked__lambda_0p3,0.7445432611379195,0.8943565611377907,0.011222085063411491
epr_triviaqa_mistral24b,QA,triviaqa,dependency_blocked__lambda_1,0.7444731231062731,0.894232801033868,0.004208281898776534
epr_triviaqa_mistral24b,QA,triviaqa,dependency_blocked__lambda_3,0.7445292335315902,0.8942292193219308,0.009819324430482279
epr_triviaqa_mistral24b,QA,triviaqa,family_blocked__lambda_0,0.7444310402872854,0.8943604354531876,0.0
epr_triviaqa_mistral24b,QA,triviaqa,family_blocked__lambda_0p03,0.7445853439569072,0.8939731275313281,0.015430366962188025
epr_triviaqa_mistral24b,QA,triviaqa,family_blocked__lambda_0p3,0.7453849175176747,0.8924810031884138,0.09538772303893106
epr_triviaqa_mistral24b,QA,triviaqa,family_blocked__lambda_1,0.7461424082594547,0.891793201379032,0.17113679721693087
epr_triviaqa_mistral24b,QA,triviaqa,family_blocked__lambda_3,0.7464229603860397,0.8907633772344219,0.1991920098754374
losnet_hotpotqa_mistral7b,QA,hotpotqa,deployed_upcr,0.5691914406764511,0.4103534682015586,-0.19664277159048282
losnet_hotpotqa_mistral7b,QA,hotpotqa,iu_pcr,0.5711578683923559,0.40937580725009665,0.0
losnet_hotpotqa_mistral7b,QA,hotpotqa,dufs_liu,0.571962316094317,0.4132614877304057,0.08044477019610863
