method,cell_macro_auroc,mean_delta_pp,family_delta_pp,family_ci_low,family_ci_high,wins,losses,worst_delta_pp
deployed_upcr,0.7735279028911622,-0.05349947497164109,-0.015607544568734671,-0.15046499223217366,0.13945522040364547,11,13,-1.8422753716871298
iu_pcr,0.7740628976408787,0.0,0.0,0.0,0.0,0,0,0.0
dufs_liu,0.774138859873973,0.007596223309434362,0.007730168707016857,-0.06437940864345812,0.09592984310815011,13,10,-0.31693711967545335
raw_uniform_liu,0.7738528998755344,-0.020999776534425436,-0.023047862993885518,-0.05204247657800708,0.005240995557213932,9,14,-0.36130831643003125
atomic_random__lambda_0p1,0.7742388863137206,0.017598867284202013,0.008427172056262866,-0.01691032023571342,0.036065356294750495,11,11,-0.0707013574660631
family_blocked__lambda_0p1,0.7742553723499069,0.019247470902821844,0.016401683077874873,-0.024635513648616315,0.059992482854162865,11,11,-0.26697115174342256
dependency_blocked_t4__lambda_0p1,0.7739874682563724,-0.0075429384506322155,-0.003914160455326457,-0.036150380125490184,0.028305829990611375,10,14,-0.1794052051408035
dependency_blocked_t8__lambda_0p1,0.7739600555350495,-0.010284210582921227,-0.01404442441555194,-0.05532848681165616,0.024777801173990407,10,14,-0.17770113623990502
dependency_direct__lambda_0p1,0.7737356884912133,-0.03272091496653862,-0.034833598243692865,-0.07701840273485819,0.010143996166780272,8,15,-0.22171598907069212
dependency_node_permuted__lambda_0p1,0.7740739951612898,0.0011097520411275836,0.0023938787428584574,-0.002831022712615438,0.009014748563259314,9,14,-0.02173440556400008
dependency_blocked_k5__lambda_0p1,0.7741079172697932,0.004501962891452956,-0.006972639222209906,-0.039095181994860395,0.025994192182703657,9,15,-0.13046517755982423
dependency_blocked_k11__lambda_0p1,0.7741083890364752,0.004549139559652711,-5.198939704027794e-05,-0.023395004754129117,0.024574518877821822,9,15,-0.1588332972348505
dependency_blocked__lambda_0p1,0.7741049171225098,0.004201948163115125,-0.010205374341148363,-0.05234157347367362,0.02901998189697226,10,14,-0.13258487302193478
