conditioning,loading_estimator,weighting,macro_auroc,difference_vs_current_pp,test_sets_better,test_sets_worse,wilcoxon_p
random-matrix cleaning,triplet method-of-moments,weight by signal over noise,0.7554822921596056,0.22181660094985345,15,9,0.06329083223334525
no conditioning,triplet method-of-moments,weight by signal over noise,0.7548866103167335,0.162248416662647,14,11,0.7309892177581787
random-matrix cleaning,triplet method-of-moments,weight by signal (current),0.7543678120326629,0.11036858825558271,15,10,0.09031611680984497
no conditioning,low-rank plus sparse split,weight by signal over noise,0.7543385804865378,0.10744543364307191,15,10,0.21998637914657593
no conditioning,triplet method-of-moments,weight by signal (current),0.7542711626550853,0.10070365049782426,14,11,0.2634761333465576
random-matrix cleaning,low-rank plus sparse split,weight by signal over noise,0.7538127219005775,0.05485957504703931,13,12,0.7509929537773132
random-matrix cleaning,leading eigenvector (current),weight by signal over noise,0.7538053450088172,0.05412188587101685,13,12,0.5424043536186218
random-matrix cleaning,low-rank plus sparse split,weight by signal (current),0.7535677141152847,0.030358796517759856,14,11,0.5249125957489014
no conditioning,low-rank plus sparse split,weight by signal (current),0.7534685082521098,0.020438210200268703,15,10,0.6528410911560059
random-matrix cleaning,leading eigenvector (current),weight by signal (current),0.7533203021095232,0.005617595941609377,12,10,0.5057014407169704
no conditioning,leading eigenvector (current),weight by signal (current),0.7532641261501071,0.0,0,0,nan
random-matrix cleaning,robust re-weighted fit,weight by signal (current),0.7522953744836356,-0.0968751666471479,12,13,0.615043044090271
no conditioning,robust re-weighted fit,weight by signal (current),0.7516781504911471,-0.1585975658960015,10,15,0.2996123433113098
no conditioning,leading eigenvector (current),weight by signal over noise,0.7503923145655312,-0.2871811584575834,8,17,0.1134914755821228
random-matrix cleaning,robust re-weighted fit,weight by signal over noise,0.7502893166680046,-0.2974809482102492,9,16,0.15633821487426758
no conditioning,robust re-weighted fit,weight by signal over noise,0.7433594544274428,-0.9904671722664293,10,15,0.0626264214515686
