conditioning,loading_estimator,weighting,test_set,test_set_code,auroc
random-matrix cleaning,leading eigenvector (current),weight by signal (current),GSM8K / Phi-3-mini,noise_gsm8k_phi3mini,0.681930775925554
random-matrix cleaning,leading eigenvector (current),weight by signal (current),SciQ / Llama-8B,sciq_llama8b,0.7418252250199385
random-matrix cleaning,leading eigenvector (current),weight by signal (current),NQ-Open / Llama-8B,se_nq_open_llama8b,0.7453621986572339
random-matrix cleaning,leading eigenvector (current),weight by signal (current),SQuAD-v2 / Llama-8B,se_squad_v2_llama8b,0.809970796347812
random-matrix cleaning,leading eigenvector (current),weight by signal (current),TriviaQA / OPT-30B,seiclr_triviaqa_opt30b,0.5668804384320867
random-matrix cleaning,leading eigenvector (current),weight by signal (current),TriviaQA / Qwen3-8B,semenergy_triviaqa_qwen3_8b,0.8137126424456131
random-matrix cleaning,leading eigenvector (current),weight by signal (current),TriviaQA / Llama-8B,spilled_triviaqa_llama8b,0.9366666666666666
random-matrix cleaning,leading eigenvector (current),weight by signal (current),GSM8K / Llama-8B (10 samples),trace_gsm8k_llama8b_k10,0.8146800889328063
random-matrix cleaning,leading eigenvector (current),weight by signal (current),MATH-500 / Qwen-Math-1.5B (10 samples),trace_math500_qwenmath15b_k10,0.6869103146595021
random-matrix cleaning,leading eigenvector (current),weight by signal (current),TruthfulQA / Llama-8B,truthfulqa_llama8b,0.6585138325143425
random-matrix cleaning,leading eigenvector (current),weight by signal over noise,GSM8K / R1-Distill-8B,ars_gsm8k_r1distill8b,0.7184873949579832
random-matrix cleaning,leading eigenvector (current),weight by signal over noise,TriviaQA / Mistral-24B,epr_triviaqa_mistral24b,0.7460582426214791
random-matrix cleaning,leading eigenvector (current),weight by signal over noise,CoQA / Llama-7B,inside_coqa_llama7b,0.5363367361221418
random-matrix cleaning,leading eigenvector (current),weight by signal over noise,GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,0.7087934323871192
random-matrix cleaning,leading eigenvector (current),weight by signal over noise,GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,0.6916780703959189
random-matrix cleaning,leading eigenvector (current),weight by signal over noise,GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,0.8168388181599807
random-matrix cleaning,leading eigenvector (current),weight by signal over noise,GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,0.8489877928576843
random-matrix cleaning,leading eigenvector (current),weight by signal over noise,GSM8K / Nemo,lapeigvals_gsm8k_nemo,0.8010725167580743
random-matrix cleaning,leading eigenvector (current),weight by signal over noise,GSM8K / Phi-3.5,lapeigvals_gsm8k_phi35,0.806499701848539
random-matrix cleaning,leading eigenvector (current),weight by signal over noise,HotpotQA / Mistral-7B,losnet_hotpotqa_mistral7b,0.5754303795205491
random-matrix cleaning,leading eigenvector (current),weight by signal over noise,MATH-500 / DeepSeek-Math-7B,math500_dsmath7b,0.7904844415565663
random-matrix cleaning,leading eigenvector (current),weight by signal over noise,MATH-500 / Qwen-Math-7B,math500_qwenmath7b,0.8912271805273834
random-matrix cleaning,leading eigenvector (current),weight by signal over noise,MATH-500 / R1-Distill-8B,math500_r1distill8b,0.8419365355357532
random-matrix cleaning,leading eigenvector (current),weight by signal over noise,MATH-500 / R1-Distill-8B (long),math500_r1distill8b_mn4096,0.8319088319088319
random-matrix cleaning,leading eigenvector (current),weight by signal over noise,GSM8K / Mistral-7B,noise_gsm8k_mistral7b,0.7846934505607694
random-matrix cleaning,leading eigenvector (current),weight by signal over noise,GSM8K / Phi-3-mini,noise_gsm8k_phi3mini,0.6789767021490258
random-matrix cleaning,leading eigenvector (current),weight by signal over noise,SciQ / Llama-8B,sciq_llama8b,0.7370399908852684
random-matrix cleaning,leading eigenvector (current),weight by signal over noise,NQ-Open / Llama-8B,se_nq_open_llama8b,0.7489555315337488
random-matrix cleaning,leading eigenvector (current),weight by signal over noise,SQuAD-v2 / Llama-8B,se_squad_v2_llama8b,0.8080217699952674
random-matrix cleaning,leading eigenvector (current),weight by signal over noise,TriviaQA / OPT-30B,seiclr_triviaqa_opt30b,0.5691352338636666
random-matrix cleaning,leading eigenvector (current),weight by signal over noise,TriviaQA / Qwen3-8B,semenergy_triviaqa_qwen3_8b,0.8149445595730019
random-matrix cleaning,leading eigenvector (current),weight by signal over noise,TriviaQA / Llama-8B,spilled_triviaqa_llama8b,0.9393333333333334
random-matrix cleaning,leading eigenvector (current),weight by signal over noise,GSM8K / Llama-8B (10 samples),trace_gsm8k_llama8b_k10,0.8151834239130435
random-matrix cleaning,leading eigenvector (current),weight by signal over noise,MATH-500 / Qwen-Math-1.5B (10 samples),trace_math500_qwenmath15b_k10,0.685961692494945
random-matrix cleaning,leading eigenvector (current),weight by signal over noise,TruthfulQA / Llama-8B,truthfulqa_llama8b,0.6571478617603543
random-matrix cleaning,triplet method-of-moments,weight by signal (current),GSM8K / R1-Distill-8B,ars_gsm8k_r1distill8b,0.7365465416936006
random-matrix cleaning,triplet method-of-moments,weight by signal (current),TriviaQA / Mistral-24B,epr_triviaqa_mistral24b,0.7435192458758837
random-matrix cleaning,triplet method-of-moments,weight by signal (current),CoQA / Llama-7B,inside_coqa_llama7b,0.5319972760914113
random-matrix cleaning,triplet method-of-moments,weight by signal (current),GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,0.7105471083617583
random-matrix cleaning,triplet method-of-moments,weight by signal (current),GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,0.6956437754256616
random-matrix cleaning,triplet method-of-moments,weight by signal (current),GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,0.8174793818560333
random-matrix cleaning,triplet method-of-moments,weight by signal (current),GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,0.8464174691030404
random-matrix cleaning,triplet method-of-moments,weight by signal (current),GSM8K / Nemo,lapeigvals_gsm8k_nemo,0.7993499898435913
random-matrix cleaning,triplet method-of-moments,weight by signal (current),GSM8K / Phi-3.5,lapeigvals_gsm8k_phi35,0.8113235254852749
random-matrix cleaning,triplet method-of-moments,weight by signal (current),HotpotQA / Mistral-7B,losnet_hotpotqa_mistral7b,0.5720338225567135
random-matrix cleaning,triplet method-of-moments,weight by signal (current),MATH-500 / DeepSeek-Math-7B,math500_dsmath7b,0.7914951989026063
random-matrix cleaning,triplet method-of-moments,weight by signal (current),MATH-500 / Qwen-Math-7B,math500_qwenmath7b,0.8935725152129819
random-matrix cleaning,triplet method-of-moments,weight by signal (current),MATH-500 / R1-Distill-8B,math500_r1distill8b,0.8354162138665507
random-matrix cleaning,triplet method-of-moments,weight by signal (current),MATH-500 / R1-Distill-8B (long),math500_r1distill8b_mn4096,0.8226612488907572
random-matrix cleaning,triplet method-of-moments,weight by signal (current),GSM8K / Mistral-7B,noise_gsm8k_mistral7b,0.7862660884999699
random-matrix cleaning,triplet method-of-moments,weight by signal (current),GSM8K / Phi-3-mini,noise_gsm8k_phi3mini,0.6835068398384325
random-matrix cleaning,triplet method-of-moments,weight by signal (current),SciQ / Llama-8B,sciq_llama8b,0.7420530933120657
random-matrix cleaning,triplet method-of-moments,weight by signal (current),NQ-Open / Llama-8B,se_nq_open_llama8b,0.7427345610558655
random-matrix cleaning,triplet method-of-moments,weight by signal (current),SQuAD-v2 / Llama-8B,se_squad_v2_llama8b,0.8116560663950227
random-matrix cleaning,triplet method-of-moments,weight by signal (current),TriviaQA / OPT-30B,seiclr_triviaqa_opt30b,0.5680005792608489
random-matrix cleaning,triplet method-of-moments,weight by signal (current),TriviaQA / Qwen3-8B,semenergy_triviaqa_qwen3_8b,0.8145574034312466
random-matrix cleaning,triplet method-of-moments,weight by signal (current),TriviaQA / Llama-8B,spilled_triviaqa_llama8b,0.9359999999999999
random-matrix cleaning,triplet method-of-moments,weight by signal (current),GSM8K / Llama-8B (10 samples),trace_gsm8k_llama8b_k10,0.8148715415019763
random-matrix cleaning,triplet method-of-moments,weight by signal (current),MATH-500 / Qwen-Math-1.5B (10 samples),trace_math500_qwenmath15b_k10,0.6866410283676277
random-matrix cleaning,triplet method-of-moments,weight by signal (current),TruthfulQA / Llama-8B,truthfulqa_llama8b,0.6649047859876507
random-matrix cleaning,triplet method-of-moments,weight by signal over noise,GSM8K / R1-Distill-8B,ars_gsm8k_r1distill8b,0.7405462184873949
random-matrix cleaning,triplet method-of-moments,weight by signal over noise,TriviaQA / Mistral-24B,epr_triviaqa_mistral24b,0.7438559084277859
random-matrix cleaning,triplet method-of-moments,weight by signal over noise,CoQA / Llama-7B,inside_coqa_llama7b,0.5405554917740163
random-matrix cleaning,triplet method-of-moments,weight by signal over noise,GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,0.7101038715769594
random-matrix cleaning,triplet method-of-moments,weight by signal over noise,GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,0.695804358551866
random-matrix cleaning,triplet method-of-moments,weight by signal over noise,GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,0.8148971094563215
random-matrix cleaning,triplet method-of-moments,weight by signal over noise,GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,0.8497384183789521
random-matrix cleaning,triplet method-of-moments,weight by signal over noise,GSM8K / Nemo,lapeigvals_gsm8k_nemo,0.8009425147267926
random-matrix cleaning,triplet method-of-moments,weight by signal over noise,GSM8K / Phi-3.5,lapeigvals_gsm8k_phi35,0.808333110832243
random-matrix cleaning,triplet method-of-moments,weight by signal over noise,HotpotQA / Mistral-7B,losnet_hotpotqa_mistral7b,0.5762169506069111
random-matrix cleaning,triplet method-of-moments,weight by signal over noise,MATH-500 / DeepSeek-Math-7B,math500_dsmath7b,0.7928669410150891
random-matrix cleaning,triplet method-of-moments,weight by signal over noise,MATH-500 / Qwen-Math-7B,math500_qwenmath7b,0.891734279918864
random-matrix cleaning,triplet method-of-moments,weight by signal over noise,MATH-500 / R1-Distill-8B,math500_r1distill8b,0.8376983264507716
random-matrix cleaning,triplet method-of-moments,weight by signal over noise,MATH-500 / R1-Distill-8B (long),math500_r1distill8b_mn4096,0.8327028163093737
random-matrix cleaning,triplet method-of-moments,weight by signal over noise,GSM8K / Mistral-7B,noise_gsm8k_mistral7b,0.7845210121902432
random-matrix cleaning,triplet method-of-moments,weight by signal over noise,GSM8K / Phi-3-mini,noise_gsm8k_phi3mini,0.6813254558032625
random-matrix cleaning,triplet method-of-moments,weight by signal over noise,SciQ / Llama-8B,sciq_llama8b,0.7371539250313318
random-matrix cleaning,triplet method-of-moments,weight by signal over noise,NQ-Open / Llama-8B,se_nq_open_llama8b,0.7466524400390999
random-matrix cleaning,triplet method-of-moments,weight by signal over noise,SQuAD-v2 / Llama-8B,se_squad_v2_llama8b,0.8107891911858067
random-matrix cleaning,triplet method-of-moments,weight by signal over noise,TriviaQA / OPT-30B,seiclr_triviaqa_opt30b,0.5700944330645704
random-matrix cleaning,triplet method-of-moments,weight by signal over noise,TriviaQA / Qwen3-8B,semenergy_triviaqa_qwen3_8b,0.8161428109489336
random-matrix cleaning,triplet method-of-moments,weight by signal over noise,TriviaQA / Llama-8B,spilled_triviaqa_llama8b,0.9366666666666666
random-matrix cleaning,triplet method-of-moments,weight by signal over noise,GSM8K / Llama-8B (10 samples),trace_gsm8k_llama8b_k10,0.8144915184453227
random-matrix cleaning,triplet method-of-moments,weight by signal over noise,MATH-500 / Qwen-Math-1.5B (10 samples),trace_math500_qwenmath15b_k10,0.6848944925598186
random-matrix cleaning,triplet method-of-moments,weight by signal over noise,TruthfulQA / Llama-8B,truthfulqa_llama8b,0.668329041541741
random-matrix cleaning,low-rank plus sparse split,weight by signal (current),GSM8K / R1-Distill-8B,ars_gsm8k_r1distill8b,0.7187297996121526
random-matrix cleaning,low-rank plus sparse split,weight by signal (current),TriviaQA / Mistral-24B,epr_triviaqa_mistral24b,0.7431545281113232
random-matrix cleaning,low-rank plus sparse split,weight by signal (current),CoQA / Llama-7B,inside_coqa_llama7b,0.5284213597210667
random-matrix cleaning,low-rank plus sparse split,weight by signal (current),GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,0.7130330885895435
random-matrix cleaning,low-rank plus sparse split,weight by signal (current),GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,0.6932513195743849
random-matrix cleaning,low-rank plus sparse split,weight by signal (current),GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,0.817939787012571
random-matrix cleaning,low-rank plus sparse split,weight by signal (current),GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,0.8463947228751232
random-matrix cleaning,low-rank plus sparse split,weight by signal (current),GSM8K / Nemo,lapeigvals_gsm8k_nemo,0.800219378427788
random-matrix cleaning,low-rank plus sparse split,weight by signal (current),GSM8K / Phi-3.5,lapeigvals_gsm8k_phi35,0.8103845708843973
random-matrix cleaning,low-rank plus sparse split,weight by signal (current),HotpotQA / Mistral-7B,losnet_hotpotqa_mistral7b,0.5728561468742738
random-matrix cleaning,low-rank plus sparse split,weight by signal (current),MATH-500 / DeepSeek-Math-7B,math500_dsmath7b,0.791206411089452
random-matrix cleaning,low-rank plus sparse split,weight by signal (current),MATH-500 / Qwen-Math-7B,math500_qwenmath7b,0.8931921906693712
random-matrix cleaning,low-rank plus sparse split,weight by signal (current),MATH-500 / R1-Distill-8B,math500_r1distill8b,0.8387850467289719
random-matrix cleaning,low-rank plus sparse split,weight by signal (current),MATH-500 / R1-Distill-8B (long),math500_r1distill8b_mn4096,0.8244827425155294
random-matrix cleaning,low-rank plus sparse split,weight by signal (current),GSM8K / Mistral-7B,noise_gsm8k_mistral7b,0.7881905007150445
random-matrix cleaning,low-rank plus sparse split,weight by signal (current),GSM8K / Phi-3-mini,noise_gsm8k_phi3mini,0.6819726183303206
random-matrix cleaning,low-rank plus sparse split,weight by signal (current),SciQ / Llama-8B,sciq_llama8b,0.7415973567278114
random-matrix cleaning,low-rank plus sparse split,weight by signal (current),NQ-Open / Llama-8B,se_nq_open_llama8b,0.7416088302048272
random-matrix cleaning,low-rank plus sparse split,weight by signal (current),SQuAD-v2 / Llama-8B,se_squad_v2_llama8b,0.8109369408885759
random-matrix cleaning,low-rank plus sparse split,weight by signal (current),TriviaQA / OPT-30B,seiclr_triviaqa_opt30b,0.5654785691224941
random-matrix cleaning,low-rank plus sparse split,weight by signal (current),TriviaQA / Qwen3-8B,semenergy_triviaqa_qwen3_8b,0.814662349137949
random-matrix cleaning,low-rank plus sparse split,weight by signal (current),TriviaQA / Llama-8B,spilled_triviaqa_llama8b,0.9373333333333334
random-matrix cleaning,low-rank plus sparse split,weight by signal (current),GSM8K / Llama-8B (10 samples),trace_gsm8k_llama8b_k10,0.8151167243083004
random-matrix cleaning,low-rank plus sparse split,weight by signal (current),MATH-500 / Qwen-Math-1.5B (10 samples),trace_math500_qwenmath15b_k10,0.686148356856358
random-matrix cleaning,low-rank plus sparse split,weight by signal (current),TruthfulQA / Llama-8B,truthfulqa_llama8b,0.6640961805711537
random-matrix cleaning,low-rank plus sparse split,weight by signal over noise,GSM8K / R1-Distill-8B,ars_gsm8k_r1distill8b,0.7285269877181642
random-matrix cleaning,low-rank plus sparse split,weight by signal over noise,TriviaQA / Mistral-24B,epr_triviaqa_mistral24b,0.7422567613062505
random-matrix cleaning,low-rank plus sparse split,weight by signal over noise,CoQA / Llama-7B,inside_coqa_llama7b,0.527022840256601
random-matrix cleaning,low-rank plus sparse split,weight by signal over noise,GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,0.7136112235262376
random-matrix cleaning,low-rank plus sparse split,weight by signal over noise,GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,0.6852570726394281
random-matrix cleaning,low-rank plus sparse split,weight by signal over noise,GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,0.8169188886219872
random-matrix cleaning,low-rank plus sparse split,weight by signal over noise,GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,0.8469861248009705
random-matrix cleaning,low-rank plus sparse split,weight by signal over noise,GSM8K / Nemo,lapeigvals_gsm8k_nemo,0.8004590696729637
random-matrix cleaning,low-rank plus sparse split,weight by signal over noise,GSM8K / Phi-3.5,lapeigvals_gsm8k_phi35,0.8054761968333644
random-matrix cleaning,low-rank plus sparse split,weight by signal over noise,HotpotQA / Mistral-7B,losnet_hotpotqa_mistral7b,0.5790950857183718
random-matrix cleaning,low-rank plus sparse split,weight by signal over noise,MATH-500 / DeepSeek-Math-7B,math500_dsmath7b,0.7866580030322721
random-matrix cleaning,low-rank plus sparse split,weight by signal over noise,MATH-500 / Qwen-Math-7B,math500_qwenmath7b,0.8911637931034484
random-matrix cleaning,low-rank plus sparse split,weight by signal over noise,MATH-500 / R1-Distill-8B,math500_r1distill8b,0.8451423603564442
random-matrix cleaning,low-rank plus sparse split,weight by signal over noise,MATH-500 / R1-Distill-8B (long),math500_r1distill8b_mn4096,0.8317687170146186
random-matrix cleaning,low-rank plus sparse split,weight by signal over noise,GSM8K / Mistral-7B,noise_gsm8k_mistral7b,0.7881882015367707
random-matrix cleaning,low-rank plus sparse split,weight by signal over noise,GSM8K / Phi-3-mini,noise_gsm8k_phi3mini,0.6762792617884003
random-matrix cleaning,low-rank plus sparse split,weight by signal over noise,SciQ / Llama-8B,sciq_llama8b,0.7370399908852683
random-matrix cleaning,low-rank plus sparse split,weight by signal over noise,NQ-Open / Llama-8B,se_nq_open_llama8b,0.7407480166859881
random-matrix cleaning,low-rank plus sparse split,weight by signal over noise,SQuAD-v2 / Llama-8B,se_squad_v2_llama8b,0.8135860468874447
random-matrix cleaning,low-rank plus sparse split,weight by signal over noise,TriviaQA / OPT-30B,seiclr_triviaqa_opt30b,0.5661945819758922
random-matrix cleaning,low-rank plus sparse split,weight by signal over noise,TriviaQA / Qwen3-8B,semenergy_triviaqa_qwen3_8b,0.8158545739287433
random-matrix cleaning,low-rank plus sparse split,weight by signal over noise,TriviaQA / Llama-8B,spilled_triviaqa_llama8b,0.9406666666666667
random-matrix cleaning,low-rank plus sparse split,weight by signal over noise,GSM8K / Llama-8B (10 samples),trace_gsm8k_llama8b_k10,0.8152556818181818
random-matrix cleaning,low-rank plus sparse split,weight by signal over noise,MATH-500 / Qwen-Math-1.5B (10 samples),trace_math500_qwenmath15b_k10,0.6843482697973238
random-matrix cleaning,low-rank plus sparse split,weight by signal over noise,TruthfulQA / Llama-8B,truthfulqa_llama8b,0.666813630942634
random-matrix cleaning,robust re-weighted fit,weight by signal (current),GSM8K / R1-Distill-8B,ars_gsm8k_r1distill8b,0.7113768584356819
random-matrix cleaning,robust re-weighted fit,weight by signal (current),TriviaQA / Mistral-24B,epr_triviaqa_mistral24b,0.7474329480417463
random-matrix cleaning,robust re-weighted fit,weight by signal (current),CoQA / Llama-7B,inside_coqa_llama7b,0.5360996522770272
random-matrix cleaning,robust re-weighted fit,weight by signal (current),GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,0.714478425931279
random-matrix cleaning,robust re-weighted fit,weight by signal (current),GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,0.6971146237700263
random-matrix cleaning,robust re-weighted fit,weight by signal (current),GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,0.8159180078469053
random-matrix cleaning,robust re-weighted fit,weight by signal (current),GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,0.8494882098718629
random-matrix cleaning,robust re-weighted fit,weight by signal (current),GSM8K / Nemo,lapeigvals_gsm8k_nemo,0.7970180784074751
random-matrix cleaning,robust re-weighted fit,weight by signal (current),GSM8K / Phi-3.5,lapeigvals_gsm8k_phi35,0.7991972160663587
random-matrix cleaning,robust re-weighted fit,weight by signal (current),HotpotQA / Mistral-7B,losnet_hotpotqa_mistral7b,0.5719265628631187
random-matrix cleaning,robust re-weighted fit,weight by signal (current),MATH-500 / DeepSeek-Math-7B,math500_dsmath7b,0.7904122446032777
random-matrix cleaning,robust re-weighted fit,weight by signal (current),MATH-500 / Qwen-Math-7B,math500_qwenmath7b,0.8917342799188641
random-matrix cleaning,robust re-weighted fit,weight by signal (current),MATH-500 / R1-Distill-8B,math500_r1distill8b,0.8369919582699414
random-matrix cleaning,robust re-weighted fit,weight by signal (current),MATH-500 / R1-Distill-8B (long),math500_r1distill8b_mn4096,0.8293867638129934
random-matrix cleaning,robust re-weighted fit,weight by signal (current),GSM8K / Mistral-7B,noise_gsm8k_mistral7b,0.7783247267426622
random-matrix cleaning,robust re-weighted fit,weight by signal (current),GSM8K / Phi-3-mini,noise_gsm8k_phi3mini,0.6758441007788265
random-matrix cleaning,robust re-weighted fit,weight by signal (current),SciQ / Llama-8B,sciq_llama8b,0.7400022786829213
random-matrix cleaning,robust re-weighted fit,weight by signal (current),NQ-Open / Llama-8B,se_nq_open_llama8b,0.7513124902984375
random-matrix cleaning,robust re-weighted fit,weight by signal (current),SQuAD-v2 / Llama-8B,se_squad_v2_llama8b,0.8008103147761245
random-matrix cleaning,robust re-weighted fit,weight by signal (current),TriviaQA / OPT-30B,seiclr_triviaqa_opt30b,0.5678228661607488
random-matrix cleaning,robust re-weighted fit,weight by signal (current),TriviaQA / Qwen3-8B,semenergy_triviaqa_qwen3_8b,0.7970125594034263
random-matrix cleaning,robust re-weighted fit,weight by signal (current),TriviaQA / Llama-8B,spilled_triviaqa_llama8b,0.9353333333333333
random-matrix cleaning,robust re-weighted fit,weight by signal (current),GSM8K / Llama-8B (10 samples),trace_gsm8k_llama8b_k10,0.8152429183135705
random-matrix cleaning,robust re-weighted fit,weight by signal (current),MATH-500 / Qwen-Math-1.5B (10 samples),trace_math500_qwenmath15b_k10,0.6864176431482321
random-matrix cleaning,robust re-weighted fit,weight by signal (current),TruthfulQA / Llama-8B,truthfulqa_llama8b,0.6706853003360495
random-matrix cleaning,robust re-weighted fit,weight by signal over noise,GSM8K / R1-Distill-8B,ars_gsm8k_r1distill8b,0.7095992243051066
random-matrix cleaning,robust re-weighted fit,weight by signal over noise,TriviaQA / Mistral-24B,epr_triviaqa_mistral24b,0.7478397486252946
random-matrix cleaning,robust re-weighted fit,weight by signal over noise,CoQA / Llama-7B,inside_coqa_llama7b,0.5486462237222243
random-matrix cleaning,robust re-weighted fit,weight by signal over noise,GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,0.7177930662349927
random-matrix cleaning,robust re-weighted fit,weight by signal over noise,GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,0.6972682250211784
random-matrix cleaning,robust re-weighted fit,weight by signal over noise,GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,0.8095924413483866
random-matrix cleaning,robust re-weighted fit,weight by signal over noise,GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,0.8528243232997195
random-matrix cleaning,robust re-weighted fit,weight by signal over noise,GSM8K / Nemo,lapeigvals_gsm8k_nemo,0.7929595774933984
random-matrix cleaning,robust re-weighted fit,weight by signal over noise,GSM8K / Phi-3.5,lapeigvals_gsm8k_phi35,0.7904840733719596
random-matrix cleaning,robust re-weighted fit,weight by signal over noise,HotpotQA / Mistral-7B,losnet_hotpotqa_mistral7b,0.5716762902447309
random-matrix cleaning,robust re-weighted fit,weight by signal over noise,MATH-500 / DeepSeek-Math-7B,math500_dsmath7b,0.7812432315356291
random-matrix cleaning,robust re-weighted fit,weight by signal over noise,MATH-500 / Qwen-Math-7B,math500_qwenmath7b,0.8911004056795133
random-matrix cleaning,robust re-weighted fit,weight by signal over noise,MATH-500 / R1-Distill-8B,math500_r1distill8b,0.8349271897413606
random-matrix cleaning,robust re-weighted fit,weight by signal over noise,MATH-500 / R1-Distill-8B (long),math500_r1distill8b_mn4096,0.836018868805754
random-matrix cleaning,robust re-weighted fit,weight by signal over noise,GSM8K / Mistral-7B,noise_gsm8k_mistral7b,0.7681623587729746
random-matrix cleaning,robust re-weighted fit,weight by signal over noise,GSM8K / Phi-3-mini,noise_gsm8k_phi3mini,0.6733642409229876
random-matrix cleaning,robust re-weighted fit,weight by signal over noise,SciQ / Llama-8B,sciq_llama8b,0.7353309786943147
random-matrix cleaning,robust re-weighted fit,weight by signal over noise,NQ-Open / Llama-8B,se_nq_open_llama8b,0.7532488592360973
random-matrix cleaning,robust re-weighted fit,weight by signal over noise,SQuAD-v2 / Llama-8B,se_squad_v2_llama8b,0.7879035702330521
random-matrix cleaning,robust re-weighted fit,weight by signal over noise,TriviaQA / OPT-30B,seiclr_triviaqa_opt30b,0.5702286048425046
random-matrix cleaning,robust re-weighted fit,weight by signal over noise,TriviaQA / Qwen3-8B,semenergy_triviaqa_qwen3_8b,0.7996783881669456
random-matrix cleaning,robust re-weighted fit,weight by signal over noise,TriviaQA / Llama-8B,spilled_triviaqa_llama8b,0.9339999999999999
random-matrix cleaning,robust re-weighted fit,weight by signal over noise,GSM8K / Llama-8B (10 samples),trace_gsm8k_llama8b_k10,0.8115779397233202
random-matrix cleaning,robust re-weighted fit,weight by signal over noise,MATH-500 / Qwen-Math-1.5B (10 samples),trace_math500_qwenmath15b_k10,0.6869539206783567
random-matrix cleaning,robust re-weighted fit,weight by signal over noise,TruthfulQA / Llama-8B,truthfulqa_llama8b,0.654811166000316
