conditioning,loading_estimator,weighting,test_set,test_set_code,auroc
no conditioning,leading eigenvector (current),weight by signal (current),TriviaQA / Qwen3-8B,semenergy_triviaqa_qwen3_8b,0.813349800457688
no conditioning,leading eigenvector (current),weight by signal (current),TriviaQA / Llama-8B,spilled_triviaqa_llama8b,0.9366666666666666
no conditioning,leading eigenvector (current),weight by signal (current),GSM8K / Llama-8B (10 samples),trace_gsm8k_llama8b_k10,0.8146673254281949
no conditioning,leading eigenvector (current),weight by signal (current),MATH-500 / Qwen-Math-1.5B (10 samples),trace_math500_qwenmath15b_k10,0.6869217899276217
no conditioning,leading eigenvector (current),weight by signal (current),TruthfulQA / Llama-8B,truthfulqa_llama8b,0.6580339947571068
no conditioning,leading eigenvector (current),weight by signal over noise,GSM8K / R1-Distill-8B,ars_gsm8k_r1distill8b,0.7034785067873304
no conditioning,leading eigenvector (current),weight by signal over noise,TriviaQA / Mistral-24B,epr_triviaqa_mistral24b,0.7469980922455391
no conditioning,leading eigenvector (current),weight by signal over noise,CoQA / Llama-7B,inside_coqa_llama7b,0.5504324126249703
no conditioning,leading eigenvector (current),weight by signal over noise,GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,0.6953614306912567
no conditioning,leading eigenvector (current),weight by signal over noise,GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,0.7058070582102196
no conditioning,leading eigenvector (current),weight by signal over noise,GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,0.8097525822723997
no conditioning,leading eigenvector (current),weight by signal over noise,GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,0.8519144741830313
no conditioning,leading eigenvector (current),weight by signal over noise,GSM8K / Nemo,lapeigvals_gsm8k_nemo,0.7933414584602885
no conditioning,leading eigenvector (current),weight by signal over noise,GSM8K / Phi-3.5,lapeigvals_gsm8k_phi35,0.8011374255733854
no conditioning,leading eigenvector (current),weight by signal over noise,HotpotQA / Mistral-7B,losnet_hotpotqa_mistral7b,0.5704070505371923
no conditioning,leading eigenvector (current),weight by signal over noise,MATH-500 / DeepSeek-Math-7B,math500_dsmath7b,0.7888961085842178
no conditioning,leading eigenvector (current),weight by signal over noise,MATH-500 / Qwen-Math-7B,math500_qwenmath7b,0.8984533468559839
no conditioning,leading eigenvector (current),weight by signal over noise,MATH-500 / R1-Distill-8B,math500_r1distill8b,0.8347098456857206
