domain,group,cell,method,auroc,auprc,delta_vs_iu_pp,nrm_delta_pp
processbench_qwen,gsm8k,qwen3_4b__gsm8k,iu,0.7654126304723285,0.7329174043386426,0.0,-0.12265024655202517
processbench_qwen,gsm8k,qwen3_4b__gsm8k,primary_one_se,0.7629345948787264,0.732475348804631,-0.2478035593602157,-0.12265024655202517
processbench_qwen,gsm8k,qwen3_4b__gsm8k,max_mean_sensitivity,0.7617331230757678,0.7302696674068667,-0.3679507396560755,-0.12265024655202517
processbench_qwen,gsm8k,qwen3_4b__gsm8k,dufs_graph,0.7685664939550949,0.737562894737203,0.31538634827663614,-0.12265024655202517
processbench_qwen,gsm8k,qwen3_4b__gsm8k,contribution_graph,0.770368701659533,0.7412851573484172,0.4956071187204425,-0.12265024655202517
processbench_qwen,gsm8k,qwen3_4b__gsm8k,equal_cell_pooling,0.7620084603639458,0.7301746003252167,-0.3404170108382787,-0.12265024655202517
processbench_qwen,gsm8k,qwen3_4b__gsm8k,cross_only,0.7629095642161647,0.7324385450830675,-0.25030662561638106,-0.12265024655202517
processbench_qwen,gsm8k,qwen3_4b__gsm8k,node_permuted_00,0.7696428124452454,0.7396398219630153,0.4230181972916802,-0.12265024655202517
processbench_qwen,gsm8k,qwen3_4b__gsm8k,node_permuted_01,0.7621586443393156,0.7274455775277167,-0.3253986133012976,-0.12265024655202517
processbench_qwen,gsm8k,qwen3_4b__gsm8k,node_permuted_02,0.7631348401792195,0.7319674584419219,-0.22777902931090388,-0.12265024655202517
processbench_qwen,gsm8k,qwen3_4b__gsm8k,node_permuted_03,0.7713198668368753,0.7429372955804068,0.5907236364546709,-0.12265024655202517
processbench_qwen,gsm8k,qwen3_4b__gsm8k,node_permuted_04,0.760131160671823,0.728389942220757,-0.5281469800505589,-0.12265024655202517
processbench_qwen,gsm8k,qwen3_4b__gsm8k,node_permuted_05,0.7605817125979324,0.7281742947816279,-0.48309178743961567,-0.12265024655202517
processbench_qwen,gsm8k,qwen3_4b__gsm8k,node_permuted_06,0.7598558233836449,0.7236198381649924,-0.5556807088683668,-0.12265024655202517
processbench_qwen,gsm8k,qwen3_4b__gsm8k,node_permuted_07,0.7682410953417937,0.7326131066949431,0.2828464869465197,-0.12265024655202517
processbench_qwen,gsm8k,qwen3_4b__gsm8k,node_permuted_08,0.7608820805486721,0.72868534495485,-0.4530549923656424,-0.12265024655202517
processbench_qwen,gsm8k,qwen3_4b__gsm8k,node_permuted_09,0.7591049035067958,0.725911657704992,-0.6307726965532723,-0.12265024655202517
processbench_qwen,gsm8k,qwen3_4b__gsm8k,node_permuted_10,0.7579034317038372,0.7237817739362757,-0.7509198768491321,-0.12265024655202517
processbench_qwen,gsm8k,qwen3_4b__gsm8k,node_permuted_11,0.7630597481915347,0.727505543922631,-0.23528822807938887,-0.12265024655202517
processbench_qwen,gsm8k,qwen3_4b__gsm8k,node_permuted_12,0.7693674751570674,0.7386891966605352,0.3954844684738834,-0.12265024655202517
processbench_qwen,gsm8k,qwen3_4b__gsm8k,node_permuted_13,0.7630847788540962,0.7266549876202317,-0.2327851618232346,-0.12265024655202517
processbench_qwen,gsm8k,qwen3_4b__gsm8k,node_permuted_14,0.7651372931841506,0.7312097460229223,-0.02753372881779681,-0.12265024655202517
processbench_qwen,gsm8k,qwen3_4b__gsm8k,node_permuted_15,0.7691922605191359,0.7381248226133603,0.37796300468073696,-0.12265024655202517
processbench_qwen,gsm8k,qwen3_4b__gsm8k,node_permuted_16,0.7643363119821781,0.7273764986789455,-0.10763184901504408,-0.12265024655202517
processbench_qwen,gsm8k,qwen3_4b__gsm8k,node_permuted_17,0.7580285850166453,0.7240748471502567,-0.7384045455683275,-0.12265024655202517
