cell,derived,induced_abs_rho
spilled_triviaqa_llama8b,hurst_exponent__abs_norm_rank,0.0854
truthfulqa_llama8b,rpdi__dist_median,0.6467
truthfulqa_llama8b,rpdi__squared,0.6803
truthfulqa_llama8b,rpdi__abs_norm_rank,0.2499
truthfulqa_llama8b,pe_mean__dist_median,0.4027
truthfulqa_llama8b,pe_mean__squared,0.4141
truthfulqa_llama8b,pe_mean__abs_norm_rank,0.1489
truthfulqa_llama8b,cusum_shift_idx__dist_median,0.0158
truthfulqa_llama8b,cusum_shift_idx__squared,0.0163
truthfulqa_llama8b,cusum_shift_idx__abs_norm_rank,0.0111
truthfulqa_llama8b,hurst_exponent__dist_median,0.1089
truthfulqa_llama8b,hurst_exponent__squared,0.1515
truthfulqa_llama8b,hurst_exponent__abs_norm_rank,0.0397
ars_gsm8k_r1distill8b,rpdi__dist_median,0.5307
ars_gsm8k_r1distill8b,rpdi__squared,0.5057
ars_gsm8k_r1distill8b,rpdi__abs_norm_rank,0.1854
ars_gsm8k_r1distill8b,pe_mean__dist_median,0.0129
ars_gsm8k_r1distill8b,pe_mean__squared,0.0448
ars_gsm8k_r1distill8b,pe_mean__abs_norm_rank,0.019
ars_gsm8k_r1distill8b,cusum_shift_idx__dist_median,0.0858
ars_gsm8k_r1distill8b,cusum_shift_idx__squared,0.0848
ars_gsm8k_r1distill8b,cusum_shift_idx__abs_norm_rank,0.0149
ars_gsm8k_r1distill8b,hurst_exponent__dist_median,0.1199
ars_gsm8k_r1distill8b,hurst_exponent__squared,0.1676
ars_gsm8k_r1distill8b,hurst_exponent__abs_norm_rank,0.0472
internalstates_gsm8k_qwen25_7b,rpdi__dist_median,0.7293
internalstates_gsm8k_qwen25_7b,rpdi__squared,0.653
internalstates_gsm8k_qwen25_7b,rpdi__abs_norm_rank,0.291
internalstates_gsm8k_qwen25_7b,pe_mean__dist_median,0.1007
internalstates_gsm8k_qwen25_7b,pe_mean__squared,0.175
internalstates_gsm8k_qwen25_7b,pe_mean__abs_norm_rank,0.0474
internalstates_gsm8k_qwen25_7b,cusum_shift_idx__dist_median,0.5717
internalstates_gsm8k_qwen25_7b,cusum_shift_idx__squared,0.4648
internalstates_gsm8k_qwen25_7b,cusum_shift_idx__abs_norm_rank,0.1744
internalstates_gsm8k_qwen25_7b,hurst_exponent__dist_median,0.1003
internalstates_gsm8k_qwen25_7b,hurst_exponent__squared,0.1455
internalstates_gsm8k_qwen25_7b,hurst_exponent__abs_norm_rank,0.0394
lapeigvals_gsm8k_llama3b,rpdi__dist_median,0.723
lapeigvals_gsm8k_llama3b,rpdi__squared,0.6708
lapeigvals_gsm8k_llama3b,rpdi__abs_norm_rank,0.2966
lapeigvals_gsm8k_llama3b,pe_mean__dist_median,0.1625
lapeigvals_gsm8k_llama3b,pe_mean__squared,0.1859
lapeigvals_gsm8k_llama3b,pe_mean__abs_norm_rank,0.0552
lapeigvals_gsm8k_llama3b,cusum_shift_idx__dist_median,0.4703
lapeigvals_gsm8k_llama3b,cusum_shift_idx__squared,0.39
lapeigvals_gsm8k_llama3b,cusum_shift_idx__abs_norm_rank,0.1399
lapeigvals_gsm8k_llama3b,hurst_exponent__dist_median,0.085
lapeigvals_gsm8k_llama3b,hurst_exponent__squared,0.0512
lapeigvals_gsm8k_llama3b,hurst_exponent__abs_norm_rank,0.0195
lapeigvals_gsm8k_llama8b,rpdi__dist_median,0.7678
lapeigvals_gsm8k_llama8b,rpdi__squared,0.6706
lapeigvals_gsm8k_llama8b,rpdi__abs_norm_rank,0.3063
lapeigvals_gsm8k_llama8b,pe_mean__dist_median,0.0867
lapeigvals_gsm8k_llama8b,pe_mean__squared,0.1438
lapeigvals_gsm8k_llama8b,pe_mean__abs_norm_rank,0.0411
lapeigvals_gsm8k_llama8b,cusum_shift_idx__dist_median,0.3157
lapeigvals_gsm8k_llama8b,cusum_shift_idx__squared,0.2095
lapeigvals_gsm8k_llama8b,cusum_shift_idx__abs_norm_rank,0.0741
lapeigvals_gsm8k_llama8b,hurst_exponent__dist_median,0.0647
lapeigvals_gsm8k_llama8b,hurst_exponent__squared,0.0587
lapeigvals_gsm8k_llama8b,hurst_exponent__abs_norm_rank,0.0206
lapeigvals_gsm8k_mistral24b,rpdi__dist_median,0.6233
lapeigvals_gsm8k_mistral24b,rpdi__squared,0.5673
lapeigvals_gsm8k_mistral24b,rpdi__abs_norm_rank,0.2343
lapeigvals_gsm8k_mistral24b,pe_mean__dist_median,0.0937
lapeigvals_gsm8k_mistral24b,pe_mean__squared,0.1148
lapeigvals_gsm8k_mistral24b,pe_mean__abs_norm_rank,0.036
lapeigvals_gsm8k_mistral24b,cusum_shift_idx__dist_median,0.7773
lapeigvals_gsm8k_mistral24b,cusum_shift_idx__squared,0.6439
lapeigvals_gsm8k_mistral24b,cusum_shift_idx__abs_norm_rank,0.2731
lapeigvals_gsm8k_mistral24b,hurst_exponent__dist_median,0.1585
lapeigvals_gsm8k_mistral24b,hurst_exponent__squared,0.1977
lapeigvals_gsm8k_mistral24b,hurst_exponent__abs_norm_rank,0.0584
lapeigvals_gsm8k_nemo,rpdi__dist_median,0.6426
lapeigvals_gsm8k_nemo,rpdi__squared,0.6064
lapeigvals_gsm8k_nemo,rpdi__abs_norm_rank,0.2501
lapeigvals_gsm8k_nemo,pe_mean__dist_median,0.0388
lapeigvals_gsm8k_nemo,pe_mean__squared,0.0495
lapeigvals_gsm8k_nemo,pe_mean__abs_norm_rank,0.0121
lapeigvals_gsm8k_nemo,cusum_shift_idx__dist_median,0.5125
lapeigvals_gsm8k_nemo,cusum_shift_idx__squared,0.418
lapeigvals_gsm8k_nemo,cusum_shift_idx__abs_norm_rank,0.1549
lapeigvals_gsm8k_nemo,hurst_exponent__dist_median,0.2209
lapeigvals_gsm8k_nemo,hurst_exponent__squared,0.2398
lapeigvals_gsm8k_nemo,hurst_exponent__abs_norm_rank,0.0759
lapeigvals_gsm8k_phi35,rpdi__dist_median,0.7606
lapeigvals_gsm8k_phi35,rpdi__squared,0.6857
lapeigvals_gsm8k_phi35,rpdi__abs_norm_rank,0.3108
lapeigvals_gsm8k_phi35,pe_mean__dist_median,0.1113
lapeigvals_gsm8k_phi35,pe_mean__squared,0.1425
lapeigvals_gsm8k_phi35,pe_mean__abs_norm_rank,0.0415
lapeigvals_gsm8k_phi35,cusum_shift_idx__dist_median,0.4122
lapeigvals_gsm8k_phi35,cusum_shift_idx__squared,0.35
lapeigvals_gsm8k_phi35,cusum_shift_idx__abs_norm_rank,0.1206
lapeigvals_gsm8k_phi35,hurst_exponent__dist_median,0.0373
lapeigvals_gsm8k_phi35,hurst_exponent__squared,0.0415
lapeigvals_gsm8k_phi35,hurst_exponent__abs_norm_rank,0.0138
noise_gsm8k_mistral7b,rpdi__dist_median,0.6688
noise_gsm8k_mistral7b,rpdi__squared,0.5913
noise_gsm8k_mistral7b,rpdi__abs_norm_rank,0.2469
noise_gsm8k_mistral7b,pe_mean__dist_median,0.1738
noise_gsm8k_mistral7b,pe_mean__squared,0.1569
noise_gsm8k_mistral7b,pe_mean__abs_norm_rank,0.0528
noise_gsm8k_mistral7b,cusum_shift_idx__dist_median,0.0191
noise_gsm8k_mistral7b,cusum_shift_idx__squared,0.0075
noise_gsm8k_mistral7b,cusum_shift_idx__abs_norm_rank,0.0029
noise_gsm8k_mistral7b,hurst_exponent__dist_median,0.0335
noise_gsm8k_mistral7b,hurst_exponent__squared,0.063
noise_gsm8k_mistral7b,hurst_exponent__abs_norm_rank,0.0187
noise_gsm8k_phi3mini,rpdi__dist_median,0.493
noise_gsm8k_phi3mini,rpdi__squared,0.4774
noise_gsm8k_phi3mini,rpdi__abs_norm_rank,0.1819
noise_gsm8k_phi3mini,pe_mean__dist_median,0.201
noise_gsm8k_phi3mini,pe_mean__squared,0.24
noise_gsm8k_phi3mini,pe_mean__abs_norm_rank,0.0724
noise_gsm8k_phi3mini,cusum_shift_idx__dist_median,0.5323
noise_gsm8k_phi3mini,cusum_shift_idx__squared,0.459
noise_gsm8k_phi3mini,cusum_shift_idx__abs_norm_rank,0.1729
noise_gsm8k_phi3mini,hurst_exponent__dist_median,0.1564
noise_gsm8k_phi3mini,hurst_exponent__squared,0.1831
noise_gsm8k_phi3mini,hurst_exponent__abs_norm_rank,0.0568
math500_dsmath7b,rpdi__dist_median,0.0551
math500_dsmath7b,rpdi__squared,0.162
math500_dsmath7b,rpdi__abs_norm_rank,0.0356
math500_dsmath7b,pe_mean__dist_median,0.1772
math500_dsmath7b,pe_mean__squared,0.1665
math500_dsmath7b,pe_mean__abs_norm_rank,0.0512
math500_dsmath7b,cusum_shift_idx__dist_median,0.1577
math500_dsmath7b,cusum_shift_idx__squared,0.1015
math500_dsmath7b,cusum_shift_idx__abs_norm_rank,0.036
math500_dsmath7b,hurst_exponent__dist_median,0.1738
math500_dsmath7b,hurst_exponent__squared,0.216
math500_dsmath7b,hurst_exponent__abs_norm_rank,0.0682
math500_qwenmath7b,rpdi__dist_median,0.1332
math500_qwenmath7b,rpdi__squared,0.0121
math500_qwenmath7b,rpdi__abs_norm_rank,0.0588
math500_qwenmath7b,pe_mean__dist_median,0.1794
math500_qwenmath7b,pe_mean__squared,0.2487
math500_qwenmath7b,pe_mean__abs_norm_rank,0.0653
math500_qwenmath7b,cusum_shift_idx__dist_median,0.8502
math500_qwenmath7b,cusum_shift_idx__squared,0.7456
math500_qwenmath7b,cusum_shift_idx__abs_norm_rank,0.358
math500_qwenmath7b,hurst_exponent__dist_median,0.9425
math500_qwenmath7b,hurst_exponent__squared,0.7867
math500_qwenmath7b,hurst_exponent__abs_norm_rank,0.3883
math500_r1distill8b,rpdi__dist_median,0.5262
math500_r1distill8b,rpdi__squared,0.3314
math500_r1distill8b,rpdi__abs_norm_rank,0.1497
math500_r1distill8b,pe_mean__dist_median,0.0994
math500_r1distill8b,pe_mean__squared,0.1577
