feature,n_cells,mean_all,mean_defect_free,max_defect_free,folded_mean_all,folded_mean_defect_free,argmax_cell
rpdi,24,0.009166666666666667,0.00905,0.0833,0.014766666666666666,0.014650000000000002,spilled_triviaqa_llama8b
stft_spectral_entropy,18,0.0019444444444444446,0.0009777777777777777,0.0719,0.017100000000000004,0.0175,sciq_llama8b
cusum_shift_idx,23,-0.0015869565217391302,-0.0004999999999999998,0.0808,0.012073913043478261,0.012321739130434784,math500_r1distill8b
pe_mean,23,-0.0007086956521739125,-0.000517391304347826,0.1425,0.0410304347826087,0.03971304347826087,sciq_llama8b
hurst_exponent,23,-0.002821739130434782,-0.003030434782608694,0.1153,0.0038956521739130436,0.0041869565217391306,math500_r1distill8b_mn4096
high_band_power,23,-0.00740869565217391,-0.0062,0.0393,0.0017913043478260879,0.0021434782608695663,spilled_triviaqa_llama8b
spectral_centroid,23,-0.012613043478260871,-0.012,0.052,-0.006282608695652173,-0.005956521739130435,math500_r1distill8b_mn4096
stft_max_high_power,18,-0.01497777777777778,-0.014183333333333334,0.0359,-0.005716666666666666,-0.004333333333333333,math500_dsmath7b
min_energy,24,-0.014229166666666668,-0.014374999999999999,0.0756,-0.012816666666666665,-0.011533333333333333,lapeigvals_gsm8k_llama3b
trace_length,21,-0.014914285714285717,-0.014842857142857144,0.0273,-0.01470952380952381,-0.014638095238095242,losnet_hotpotqa_mistral7b
cusum_max_energy,24,-0.016316666666666663,-0.015008333333333332,0.0251,-0.014841666666666668,-0.013533333333333333,noise_gsm8k_phi3mini
epr_energy,24,-0.015216666666666665,-0.015466666666666665,0.0936,-0.013900000000000001,-0.014150000000000001,semenergy_triviaqa_qwen3_8b
dominant_freq,21,-0.016952380952380955,-0.017095238095238097,0.0246,-0.011985714285714285,-0.012128571428571428,losnet_hotpotqa_mistral7b
spectral_entropy,23,-0.016578260869565216,-0.017199999999999997,0.0492,-0.013378260869565214,-0.013378260869565214,semenergy_triviaqa_qwen3_8b
hl_ratio,23,-0.01569130434782609,-0.017313043478260876,0.0362,-0.01443913043478261,-0.015108695652173914,truthfulqa_llama8b
sw_var_peak_energy,24,-0.0184875,-0.018116666666666666,0.0159,-0.006575,-0.006729166666666667,seiclr_triviaqa_opt30b
min_spilled,12,-0.0209,-0.018766666666666664,0.0177,-0.0002083333333333336,0.001924999999999999,math500_dsmath7b
sw_var_peak_spilled,24,-0.018333333333333333,-0.019674999999999998,0.0358,-0.014504166666666665,-0.014858333333333333,math500_r1distill8b_mn4096
varentropy,24,-0.020591666666666664,-0.020275,-0.0047,-0.019995833333333334,-0.019679166666666668,truthfulqa_llama8b
topk_tail_mass,24,-0.020337499999999998,-0.0206625,0.0059,-0.020337499999999998,-0.0206625,losnet_hotpotqa_mistral7b
mean_logprob_entropy,24,-0.02067916666666667,-0.020695833333333333,-0.0033,-0.02061666666666667,-0.020633333333333333,sciq_llama8b
cusum_max,24,-0.021266666666666666,-0.020929166666666665,-0.0024,-0.02030416666666667,-0.019966666666666667,seiclr_triviaqa_opt30b
logprob_margin,24,-0.02134583333333333,-0.021183333333333332,0.0101,-0.02134583333333333,-0.021183333333333332,semenergy_triviaqa_qwen3_8b
renyi_entropy_2,24,-0.021416666666666667,-0.021474999999999998,-0.0007,-0.021075,-0.021133333333333334,internalstates_gsm8k_qwen25_7b
low_band_power,23,-0.021904347826086957,-0.02205652173913044,0.035,-0.016230434782608695,-0.015608695652173913,truthfulqa_llama8b
sw_var_peak,24,-0.022529166666666666,-0.022408333333333336,-0.0012,-0.022529166666666666,-0.022408333333333336,seiclr_triviaqa_opt30b
cusum_max_spilled,24,-0.023229166666666665,-0.023166666666666665,-0.0021,-0.022041666666666668,-0.021979166666666664,seiclr_triviaqa_opt30b
mean_top1_logprob,24,-0.023512500000000002,-0.023279166666666667,-0.009,-0.02279166666666667,-0.022558333333333333,trace_math500_qwenmath15b_k10
epr,24,-0.022516666666666667,-0.023649999999999994,-0.0073,-0.02215,-0.023283333333333333,internalstates_gsm8k_qwen25_7b
epr_spilled,24,-0.02412083333333333,-0.0247125,-0.0055,-0.0234,-0.02399166666666667,internalstates_gsm8k_qwen25_7b
