cell,group,feature,auc_raw,auc_oriented,labelfree_sign,oracle_sign,sign_wrong,auc_binned,nonmono_gain,regime_signs,regime_sign_disagree
ars_gsm8k_r1distill8b,math,epr,0.6906,0.6906,+,+,0,0.6668,-0.0238,+++,0
ars_gsm8k_r1distill8b,math,trace_length,0.3178,0.6822,-,-,1,0.6812,-0.001,---,0
ars_gsm8k_r1distill8b,math,spectral_entropy,0.6675,0.6675,+,+,0,0.6431,-0.0244,+++,0
ars_gsm8k_r1distill8b,math,low_band_power,0.5755,0.5755,+,+,0,0.5249,-0.0507,+++,0
ars_gsm8k_r1distill8b,math,high_band_power,0.4558,0.5442,-,-,1,0.5266,-0.0176,---,0
ars_gsm8k_r1distill8b,math,hl_ratio,0.4276,0.5724,-,-,1,0.5645,-0.0079,---,0
ars_gsm8k_r1distill8b,math,dominant_freq,0.3949,0.6051,-,-,1,0.6026,-0.0024,---,0
ars_gsm8k_r1distill8b,math,spectral_centroid,0.4054,0.5946,-,-,1,0.5774,-0.0172,---,0
ars_gsm8k_r1distill8b,math,stft_max_high_power,0.5968,0.5968,+,+,0,0.5751,-0.0217,+++,0
ars_gsm8k_r1distill8b,math,stft_spectral_entropy,0.5252,0.5252,+,+,0,0.552,0.0268,---,0
ars_gsm8k_r1distill8b,math,rpdi,0.5948,0.5948,+,+,0,0.5954,0.0006,+++,0
ars_gsm8k_r1distill8b,math,sw_var_peak,0.6898,0.6898,+,+,0,0.6511,-0.0387,+++,0
ars_gsm8k_r1distill8b,math,pe_mean,0.4889,0.5111,-,-,1,0.5691,0.058,+--,1
ars_gsm8k_r1distill8b,math,hurst_exponent,0.4594,0.5406,-,-,1,0.562,0.0213,---,0
ars_gsm8k_r1distill8b,math,cusum_max,0.6965,0.6965,+,+,0,0.6852,-0.0113,+++,0
ars_gsm8k_r1distill8b,math,cusum_shift_idx,0.5002,0.5002,+,+,0,0.5197,0.0194,---,0
ars_gsm8k_r1distill8b,math,epr_spilled,0.3077,0.6923,-,-,1,0.6642,-0.0281,---,0
ars_gsm8k_r1distill8b,math,sw_var_peak_spilled,0.3261,0.6739,-,-,1,0.6576,-0.0163,---,0
ars_gsm8k_r1distill8b,math,cusum_max_spilled,0.3075,0.6925,-,-,1,0.6673,-0.0252,---,0
ars_gsm8k_r1distill8b,math,min_spilled,0.516,0.516,+,+,0,0.5455,0.0294,++-,1
ars_gsm8k_r1distill8b,math,epr_energy,0.3007,0.6993,-,-,1,0.6785,-0.0208,---,0
ars_gsm8k_r1distill8b,math,min_energy,0.367,0.633,-,-,1,0.6052,-0.0278,---,0
ars_gsm8k_r1distill8b,math,sw_var_peak_energy,0.6156,0.6156,+,+,0,0.5884,-0.0272,+++,0
ars_gsm8k_r1distill8b,math,cusum_max_energy,0.5495,0.5495,+,+,0,0.5374,-0.0121,+++,0
ars_gsm8k_r1distill8b,math,mean_top1_logprob,0.6923,0.6923,+,+,0,0.6642,-0.0281,+++,0
