feature,cells,mean_top_inclusion,cells_absent_from_top,cells_in_best_subset,mean_lovo_cost,max_lovo_cost,cells_lovo_zero
high_band_power,25,0.026,12,0,0.0,0.0,25
low_band_power,25,0.0324,12,1,2e-05,0.00045,24
pe_mean,25,0.0416,6,1,7e-05,0.00164,24
sw_var_peak_spilled,25,0.0456,17,1,0.00013,0.00329,24
hurst_exponent,25,0.0576,14,1,0.00022,0.0054,24
min_spilled,25,0.0616,17,4,0.00024,0.00396,21
hl_ratio,25,0.0656,10,2,9e-05,0.00116,23
dominant_freq,25,0.0668,13,1,5e-05,0.00124,24
epr_spilled,25,0.0712,6,2,8e-05,0.00133,23
spectral_centroid,25,0.0712,14,2,0.00012,0.00217,23
stft_max_high_power,25,0.0712,14,1,0.0004,0.00996,24
stft_spectral_entropy,25,0.116,12,2,0.00193,0.04197,23
mean_top1_logprob,25,0.1192,0,1,1e-05,0.00015,24
cusum_max_spilled,25,0.1216,7,3,0.00012,0.00119,22
cusum_shift_idx,25,0.1276,14,4,0.00116,0.0134,21
sw_var_peak,25,0.1304,9,2,0.00014,0.00262,23
renyi_entropy_2,25,0.1364,0,1,1e-05,0.00029,24
cusum_max,25,0.1736,4,6,0.00121,0.02687,19
mean_logprob_entropy,25,0.18,0,0,0.0,0.0,25
epr,25,0.1804,0,3,0.0,5e-05,23
sw_var_peak_energy,25,0.1808,11,6,0.00069,0.0085,19
cusum_max_energy,25,0.1844,7,4,7e-05,0.00116,21
min_energy,25,0.2064,11,7,0.00159,0.02051,18
topk_tail_mass,25,0.2108,2,9,0.00062,0.00341,16
rpdi,25,0.2796,3,9,0.00186,0.01233,16
logprob_margin,25,0.29,4,9,0.00075,0.00406,16
varentropy,25,0.3312,0,10,0.00097,0.0152,15
epr_energy,25,0.372,7,9,0.00209,0.0116,16
trace_length,25,0.4152,6,8,0.0011,0.01332,17
spectral_entropy,25,0.4244,4,13,0.003,0.04397,12
