cell,group,n,p_used,pos_rate,gauge_ok,gauge_trials,gauge_worst_dev,allsigns_frac_wrong,skew_fused,lsml_K,A_allsigns_anchor,B_z2_anchor,C_z2_skew,D_raw_anchor,E_z2_oracle,fset
ars_gsm8k_r1distill8b,math,500,6,0.728,23,23,0.0,0.0,-0.8879,2,0.7623,0.7623,0.7623,0.7623,0.7623,GOOD_6
epr_triviaqa_mistral24b,QA,621,6,0.7552,23,23,0.0,0.0,0.779,2,0.7332,0.7332,0.7332,0.7332,0.7332,GOOD_6
inside_coqa_llama7b,QA,4504,6,0.147,23,23,0.0,0.1667,-0.0248,2,0.6674,0.6674,0.6674,0.6674,0.6674,GOOD_6
internalstates_gsm8k_qwen25_7b,math,500,6,0.294,23,23,0.0,0.0,-1.4883,2,0.7036,0.7036,0.7036,0.7036,0.7036,GOOD_6
lapeigvals_gsm8k_llama3b,math,1319,6,0.445,23,23,0.0,0.0,1.8166,4,0.7025,0.7025,0.7025,0.7025,0.7025,GOOD_6
lapeigvals_gsm8k_llama8b,math,500,6,0.724,23,23,0.0,0.0,2.1821,3,0.8186,0.8186,0.8186,0.8186,0.8186,GOOD_6
lapeigvals_gsm8k_mistral24b,math,1319,6,0.9174,23,23,0.0,0.1667,3.3318,3,0.8087,0.8087,0.8087,0.8087,0.8087,GOOD_6
lapeigvals_gsm8k_nemo,math,1319,6,0.8294,23,23,0.0,0.0,-2.5311,2,0.8013,0.8013,0.8013,0.8013,0.8013,GOOD_6
lapeigvals_gsm8k_phi35,math,1319,6,0.8476,23,23,0.0,0.0,-2.8084,2,0.8125,0.8125,0.8125,0.8125,0.8125,GOOD_6
losnet_hotpotqa_mistral7b,QA,500,6,0.338,23,23,0.0,0.0,0.3351,2,0.581,0.581,0.581,0.581,0.581,GOOD_6
math500_dsmath7b,math,300,6,0.19,23,23,0.0,0.0,0.0663,3,0.7868,0.7868,0.2132,0.7868,0.7868,GOOD_6
math500_qwenmath7b,math,300,6,0.2267,23,23,0.0,0.3333,-0.747,2,0.8901,0.8901,0.1099,0.8901,0.8901,GOOD_6
math500_r1distill8b,math,300,6,0.2867,23,23,0.0,0.0,-0.7385,3,0.8357,0.8357,0.1643,0.8357,0.8357,GOOD_6
math500_r1distill8b_mn4096,math,300,6,0.39,23,23,0.0,0.0,-0.715,2,0.8329,0.8329,0.1671,0.8329,0.8329,GOOD_6
noise_gsm8k_mistral7b,math,1319,6,0.4989,23,23,0.0,0.0,0.8063,2,0.7902,0.7902,0.7902,0.7902,0.7902,GOOD_6
noise_gsm8k_phi3mini,math,1319,6,0.7096,23,23,0.0,0.0,1.6599,2,0.6801,0.6801,0.6801,0.6801,0.6801,GOOD_6
sciq_llama8b,QA,198,6,0.6616,23,23,0.0,0.0,-0.1672,2,0.7477,0.7477,0.2523,0.7477,0.7477,GOOD_6
se_nq_open_llama8b,QA,8460,6,0.4852,23,23,0.0,0.0,0.9473,2,0.7303,0.7303,0.7303,0.7303,0.7303,GOOD_6
se_squad_v2_llama8b,QA,2933,6,0.2796,23,23,0.0,0.0,1.1394,2,0.811,0.811,0.811,0.811,0.811,GOOD_6
